"and %s more posts","e mais %s posts"
"and %s more products, listed in the XML sitemap","e mais %s produtos, listados no mapa do site XML"
"Attribute","Atributo"
"Availability","Disponibilidade"
"Backorder","Devolução"
"Blog","Blogue"
"Brand","Bandeira"
"Cache Lifetime (seconds)","Tempo de Vida do Cache (segundos)"
"Description","Descrição:"
"Enabled","Ativado"
"from %s to %s","de %s para %s"
"Image","Imagem:"
"Images","Imagens"
"In stock","Pronta entrega"
"Limited availability","Disponibilidade limitada"
"Markdown for AI agents","Markdown para agentes de IA"
"Not Found","Não Encontrado"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Um prefixo de rota por linha, como módulo/controlador/ação. Apenas essas páginas recebem uma versão markdown. Uma rota precisa de um renderizador declarado sobre o tipo global/contentnegotiation/renderers em config.xml."
"Options","Opções"
"Out of stock","Fora de estoque"
"Price","Quantidade"
"Product","Produto:"
"Products","produtos"
"Published","Publicado"
"regular price %s","preço normal %s"
"Routes","Rotas"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serve uma versão markdown de uma página quando a solicitação envia <code>Aceitar: text/markdown</code> ou quando a URL terminar com <code>. d</code>. Navegadores mantêm a página HTML. Páginas HTML anunciando a versão do markdown com um cabeçalho <code>Link</code>."
"Specifications","Especificações"
"Subcategories","Subcategorias"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","O markdown é armazenado em cache com o cache de saída de blocos HTML. Um produto, categoria, página ou post save limpa sua entrada. 0 desativa o cache."
"There are no posts yet.","Ainda não há posts."
"There are no products in this category.","Não há produtos nesta categoria."
"This page has no markdown version.","Esta página não tem uma versão markdown."
"Value","Valor"
