"# of Uses","Número de usos"
"%s tag(s) have been accepted for moderation.","%s tag(s) foram aceitos para moderação."
"<strong>Tag Name:</strong> %s","<strong>Nome da Tag:</strong> %s"
"Action","Ação"
"Add","Adicionar"
"Add New Tag","Adicionar nova tag"
"Add Tags","Adicionar tags"
"Add Your Tags:","Adicionar suas tags:"
"Add tag(s) to product","Adicione tag(s) ao produto"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Desejos"
"All Tags","Todas tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Você tem certeza que deseja excluir esta tag?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar para lista de tags"
"Base Popularity","Popularidade Base"
"Block Information","Informação do Bloco"
"CSV","CSV"
"Catalog Product View","Visualização de Produto de Catálogo"
"Change status","Alterar status"
"Click on a tag to view your corresponding products.","Clique na tag para visualizar seus produtos correspondentes."
"Country","País"
"Customer My Account My Tags List","Cliente Minha Conta Minhas Tags Lista"
"Customer My Account Tag View","Conta do Cliente Visualizar Tag"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes Submeteram esta Tag"
"Customers Tagged '%s'","Clientes tagged '%s'"
"Delete","Excluir"
"Delete Tag","Excluir tag"
"Disabled","Desabilitado"
"Edit Tag '%s'","Editar tag '%s'"
"Email","E-mail"
"First Name","Nome"
"General Information","Informações gerais"
"Grid","Grade"
"ID","Id."
"Info","Info"
"Last Name","Sobrenome"
"List","Lista"
"Manage Tags","Gerenciar Tags"
"Middle Name","Nome do Meio"
"My Recent Tags","Minhas tags recentes"
"My Tags","Minhas tags"
"Name","Nome"
"New Tag","Nova tag"
"No matches found.","Nenhum resultado encontrado."
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com as seguintes tags:"
"Pending","Pendente"
"Pending Tags","Tags pendentes"
"Popular","Popular"
"Popular Tags","Tags populares"
"Price","Preço"
"Product Name","Nome do produto"
"Product SKU","ID do produto"
"Product Tag API","API de Tag de Produto"
"Product Tags","Tags do produto"
"Products","Produtos"
"Products Tagged by Administrators","Produtos Marcados pelos Administradores"
"Products Tagged by Customers","Produtos Marcados pelos Clientes"
"Products Tagged with '%s'","Produtos tagged com '%s'"
"Products tagged with '%s'","Produtos tagged com '%s'"
"Rebuild Tag aggregation data","Reconstruir dados de agregação de tags"
"Remove","Remover"
"Remove product tag","Remover tag de produto"
"Retrieve list of tags by product","Recuperar lista de tags por produto"
"Retrieve product tag info","Recuperar informações de tag de produto"
"SKU","Código de Produto:"
"Save Tag","Salvar tag"
"Save and Continue Edit","Salvar e Continuar Editando"
"Status","Situação"
"Store View","Visão de Loja"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","Marca ""%s"" já foi adicionada ao produto."
"Tag ""%s"" has been added to the product.","Marca ""%s"" foi adicionada ao produto."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" foi rejeitada pelo administrador."
"Tag Aggregation Data","Dados de Agregação de Tag"
"Tag Name","Nome da tag"
"Tagged Products List","Lista de Produtos Marcados"
"Tags","Marcadores"
"Tags List (All Available)","Lista de Tags (Todas Disponíveis)"
"Tags List Before","Lista de Tags Anterior"
"Tags:","Etiquetas:"
"Telephone","Telefone"
"The tag has been deleted.","A tag foi excluída."
"There are no tags available.","Não há tags disponíveis."
"Unable to find any products tagged with '%s' in the current store","Não foi possível encontrar produtos com a tag '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Não foi possível excluir tag. Por favor, tente novamente mais tarde."
"Unable to save tag(s).","Não é possível salvar tag(s)."
"Update","Atualizar"
"Update product tag","Atualizar tag de produto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar tags. Use aspas simples (') para frases."
"View All Tags","Ver todas tags"
"View Customers","Ver clientes"
"View Products","Ver produtos"
"XML","XML"
"You have not tagged any products yet.","Você não adicionou tag em nenhum produto ainda."
"ZIP/Post Code","Código postal / CEP"
"[STORE VIEW]","[VISÃO DE LOJA]"
