"%s file does not exists or is not readable","Arquivo %s não existe ou não é legível"
"-- Please Select --","-- Por favor selecione --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Maho_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objeto adaptador deve ser uma instância de %s"
"Adapter type must be a non empty string","Tipo de adaptador deve ser uma string não vazia"
"Append Complex Data","Anexar Dados Complexos"
"Attribute Code","Código do Atributo"
"Attribute Label","Rótulo do atributo"
"Attribute does not has options, so filtering is impossible","O atributo não tem opções, portanto a filtragem é impossível"
"Begin data validation","Iniciar a validação de dados"
"Begin export of %s","Iniciar exportação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Iniciar importação de ""%s"" com comportamento ""%s"""
"CSV","CSV"
"Can not determine attribute filter type","Não é possível determinar o tipo de filtro de atributo"
"Can not find required columns: %s","Não é possível encontrar colunas necessárias: %s"
"Cannot get autoincrement value","Não foi possível obter o valor de auto-incremento"
"Check Data","Verificar dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Linhas verificadas: %d, entidades verificadas: %d, linhas inválidas: %d, total de erros: %d"
"Column names have duplicates","Os nomes das colunas têm duplicados"
"Column names is empty or is not an array","Os nomes de coluna estão vazios ou não são um array"
"Column names: ""%s"" are invalid","Nomes de coluna: ""%s"" são inválidos"
"Customers","Clientes"
"Data is invalid or file is not uploaded","Os dados são inválidos ou o arquivo não foi carregado"
"Delete Entities","Excluir Entidades"
"Destination directory is not writable","O diretório de destino não é gravável"
"Destination file is not writable","O arquivo de destino não é gravável"
"Destination file path must be a string","Caminho do arquivo de destino deve ser uma string"
"Done import data validation","Concluso validação de importação de dados"
"Duplicate Unique Attribute for '%s'","Duplicar Atributo Único para '%s'"
"Entity Type","Tipo de entidade"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entidade adaptador objeto deve ser uma instância de Maho_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entidade adaptador objeto deve ser uma instância de Maho_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","A entidade é desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Tipo de modelo de entidade deve ser uma instância de Maho_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Tipo de modelo de entidade deve ser uma instância de Maho_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: comportamentos são misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: códigos de entidade estão misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Erros limite (%d) alcançado. Por favor, corrija erros e reenvie arquivo."
"Escape CSV fields","Escapar campos CSV"
"Export","Exportar"
"Export File Format","Formato do arquivo de exportação"
"Export Settings","Exportar Configurações"
"Export has been done.","Exportação foi realizada."
"Exported %s rows.","Exportados %s linhas."
"File does not contain data.","Arquivo não contém dados."
