"Average Duration","Duração média"
"Average Pages","Média de páginas"
"Bounce Rate","Taxa de Rejeição"
"Browsers","Browsers"
"Devices","Dispositivos"
"Devices & Browsers","Dispositivos e Navegadores"
"Direct / No referrer","Direto / Nenhuma referência"
"Enable Log","Habilitar Log"
"Enable Log Cleaning","Ativar limpeza de logs"
"Error Email Recipient","Erro Destinatário do E-mail"
"Error Email Sender","Error Email Sender"
"Error Email Template","Erro modelo de E-mail"
"Exit Pages","Páginas de Saída"
"Exits","Saídas"
"Frequency","Frequência"
"Landing Pages","Páginas de Destino"
"Log","Registro"
"Log cleanup Warnings","Alertas de limpeza do registro"
"Logged in","Sessão iniciada"
"Login Conversion","Conversão de login"
"New vs Returning","Novos vs Retornando"
"No data","Não há dados"
"No language data available","Não há dados de idioma disponíveis"
"No page view data available","Sem dados de visualização de página disponíveis"
"No traffic source data available","Sem dados de tráfego de origem disponível"
"of visitors logged in","de visitantes logados"
"Online","Disponível"
"Page","Página"
"Returning","Retornando"
"Save Log, Days","Salvar Log, Dias"
"Session Metrics","Métricas da Sessão"
"Sessions","Sessões"
"Start Time","Horário de Início"
"Today","hoje"
"Top Pages","Principais Páginas"
"Total visitors","Visitantes totais"
"Traffic Sources","Fontes de Tráfego"
"Views","Visualizações"
"Visitors","Visitantes"
"Visitors only","Somente visitantes"
"Visits","Visitas"
"Week","semana"
