"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> foram encontrados usando o seguinte critério de busca"
"Advanced Search","Pesquisa Avançada"
"Advanced Search Form","Formulário de Busca Avançada"
"Advanced Search Result","Resultado de Busca Avançada"
"All","Todos"
"Applies for ""Like"" search type only.","Aplica-se apenas para tipo de pesquisa ""Como""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Navegação Em Camadas se os Resultados de Pesquisa Forem Menos de"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Definição de atributo alterada relacionada ao Índice de Pesquisa. Por favor, execute <a href=""%s"">Reconstruir Índice de Pesquisa</a> processo."
"Autogenerated Site Map","Mapa do Site Autogerado"
"Catalog Advanced Search","Busca Avançada do Catálogo"
"Catalog Search","Busca de Catálogo"
"Catalog Search Index","Índice de Busca de Catálogo"
"Don't see what you're looking for?","Não achou o que você está procurando?"
"Enter ""0"" to enable layered navigation for any number of results.","Digite ""0"" para habilitar navegação em camadas para qualquer número de resultados."
"Go","Ir"
"Go to Home Page","Ir para a página inicial"
"Grid","Grade"
"Home","Início"
"List","Lista"
"Maximum Query Length","Comprimento Máximo da Pesquisa"
"Maximum Query Words Count","Contagem máxima de palavras da query"
"Maximum Search query length is %s. Your query was cut.","Comprimento de consulta de pesquisa máximo é %s. Sua consulta foi cortada."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","O limite de contagem de palavras é %1$s. Na sua consulta de pesquisa, a parte seguinte foi cortada: %2$s."
"Minimal Query Length","Comprimento Mínimo da Pesquisa"
"Minimum Search query length is %s","Comprimento mínimo de consulta de pesquisa é %s"
"Modify your search","Modifique sua busca"
"No","Não"
"No items were found using the following search criteria.","Nenhum item foi encontrado usando os seguintes critérios de busca."
"Please specify at least one search term.","Por favor, especifique pelo menos um termo de busca."
"Popular Search Terms","Pesquisas Populares"
"Quick Search Form","Formulário de Busca Rápida"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa para texto do produto"
"Redirect to product page if search generates one result","Redirect to product page if search generates one result"
"Relevance","Relevância"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configurações de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de busca"
"Search entire store here...","Pesquisa em toda loja..."
"Search results for '%s'","Resultados da busca por '%s'"
"Search results for: '%s'","Resultados da busca por: '%s'"
"Search:","Pesquisar:"
"Show Autocomplete Results Count","Mostrar Contagem de Resultados de Autocompletar"
"Specified date is invalid.","Data especificada é inválida."
"Subscribe to Feed","Assinar Feed"
"There are no search terms available.","Não há nenhum termo de pesquisa disponível."
"Yes","Sim"
"Your search returns no results.","Sua busca não retornou resultados."
"up to %s","até %s"
"View all %s results","View all %s results"
