"%d Review(s)","Avaliações em %d"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Adicionar Nova Revisão"
"Administrator","Administrador"
"Allow Guests to Write Reviews","Permitir que os Visitantes Escrevam Comentários"
"All Reviews","Todos os Comentários"
"All Reviews of Customer `%s`","Todas as avaliações do cliente `%s`"
"All Reviews of Product `%s`","Todas as revisões do produto `%s`"
"Approved","Aceito"
"Are you sure?","Você tem certeza?"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Average Customer Rating:","Classificação Média do Cliente:"
"Back","Anterior"
"Back to My Reviews","Voltar para Minhas Avaliações"
"Be the First to Review","Seja o primeiro a analisar"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"Cancel","cancelar"
"Close","FECHAR"
"Created On","Criado Em"
"Customer","Cliente"
"Customer My Account Product Reviews","Avaliações de Produtos da Conta do Cliente"
"Customer My Account Review Details","Detalhes de Revisão da Conta do Cliente"
"Customer Reviews","Avaliações de Clientes"
"Customers Reviews","Comentários de clientes"
"Delete","excluir"
"Delete Review","Excluir Revisão"
"Detailed Rating","Classificação Detalhada"
"Edit Review '%s'","Editar Revisão '%s'"
"Guest","Visitante"
"ID","ID"
"Manage Ratings","Gerenciar Avaliações"
"My Product Reviews","Minhas Avaliações de Produto"
"My Recent Reviews","Minhas avaliações recentes"
"Name","Nome:"
"Name in Store","Nome na Loja"
"New Review","Nova Revisão"
"Nickname","Apelido"
"Nickname can't be empty","Apelido não pode estar vazio"
"Not Approved","Não Aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","PENDENTE"
"Pending Reviews","Comentários pendentes"
"Pending Reviews of Customer `%s`","Avaliações pendentes do cliente `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Por endereço IP. Padrão 5 por hora. 0 para desativar."
"Please select a rating for each category","Por favor, selecione uma avaliação para cada categoria"
"Posted By","Postado Por"
"Price","Quantidade"
"Product","Produto:"
"Product Name","Nome do Produto"
"Product Rating","Classificação do Produto"
"Product Reviews","Avaliações do Produto"
"Product SKU","SKU do produto"
"Products Reviews","Avaliações de Produtos"
"Qty","Quantidade"
"Rating:","Classificação:"
"Review","Avaliar"
"Review (submitted on %s):","Revisão (enviado em %s):"
"Review can't be empty","A avaliação não pode estar em branco"
"Review Details","Detalhes da Avaliação"
"Review Form Fields Before","Revisar Campos do Formulário Antes"
"Reviews","Avaliações"
"Reviews and Ratings","Avaliações e Avaliações"
"Review submit","Enviar avaliação"
"Review summary can't be empty","O resumo da avaliação não pode estar vazio"
"Save Review","Salvar Avaliação"
"SKU","Código"
"Status","SItuação"
"Submit Review","Enviar avaliação"
"Summary","Summary"
"Summary of Review","Resumo da Avaliação"
"Summary Rating","Classificação Resumida"
"This product has no reviews yet","Este produto ainda não tem avaliações"
"Title","Título"
"Type","tipo"
"Unable to post the review.","Não foi possível postar a avaliação."
"Update Status","Status de atualização"
"View All Reviews","Ver Todas as Avaliações"
"View Details","Visualizar Detalhes"
"Visible In","Visível em"
"Websites","Sites"
"Write a Review","Escrever uma avaliação"
"You're reviewing:","Você está avaliando:"
"You have submitted no reviews.","Você não enviou nenhuma avaliação."
"Your Rating:","Sua Classificação:"
"Your Review (submitted on %s):","Sua Avaliação (enviada em %s):"
"Your review has been accepted for moderation.","Sua avaliação foi aceita para moderação."
