"-- None --","-- Nenhum --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Adiciona agregateRating (valor de classificação e contagem de revisão) e nós de revisão individuais (nome do revisor e texto de revisão) ao esquema do produto quando os comentários estão habilitados."
"Brand Attribute","Atributo da Marca"
"Enable Structured Data","Ativar Dados Estruturados"
"GTIN Attribute","Atributo GTIN"
"Include Ratings & Reviews","Incluir Avaliações & Avaliações"
"Local Business","Negócio local"
"MPN Attribute","Atributo MPN"
"Online Store","Loja on-line"
"Organization","Cliente"
"Organization Type","Tipo de organização"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Saídas <strong>dados JSON-LD estruturados</strong> seguindo os requisitos schema.org e do Google, permitindo resultados ricos para produtos, breadcrumbs, informações de organização e pesquisa de site. Valide suas páginas com o Teste de Resultados <a href=""https://search.google.com/test/rich-results"" target=""_blank"">do Google Rich</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Atributo do produto que segura o número do item comercial global (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Atributo do produto que contém o número de peça do fabricante."
"Product attribute used for the schema.org ""brand"" property.","Atributo de produto usado na propriedade ""schema.org"" brand""."
"Product Schema","Esquema do Produto"
"Structured Data (schema.org)","Dados estruturados (schema.org)"
