"%s Screenshot","%s Screenshot"
"%s violation(s)","%s violação(ões)"
"Accessibility Scan","Verificação de acessibilidade"
"Accessibility Scan Report","Relatório de Verificação de Acessibilidade"
"Accessibility Violations","Violações de acessibilidade"
"Advanced","Avançado"
"Are you sure you want to delete this scan?","Tem certeza que deseja excluir esta verificação?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core não pôde avaliar automaticamente verificação(ões) %s (por exemplo, contraste de cores sobre uma imagem). Revise-os manualmente."
"Back","Anterior"
"CLI","CLI"
"Command failed (exit code %s): %s","O comando falhou (ex. código %s): %s"
"Command timed out after %s seconds: %s","Tempo limite do comando após %s segundos: %s"
"Complete","Complete"
"Completed","Concluído"
"Conformance level used when starting a scan without an explicit level.","Nível de transformação usado ao iniciar uma varredura sem um nível explícito."
"Critical","Crítica"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expressão cron. Padrão: <strong>0 3 * * *</strong> (dia 3h)."
"Cron Schedule","Cronograma Cron"
"Date","Encontro"
"Default WCAG Level","Nível WCAG padrão"
"Delete","excluir"
"Delete Scans After","Excluir digitalizações depois"
"Desktop","Computadores"
"Desktop Viewport","Visualização de Desktop"
"Enabled","Ativado"
"Export PDF","Exportar PDF"
"Failed","Falhou"
"Fix all of the following","Corrigir todos os seguintes"
"Fix any of the following","Conserte qualquer um dos seguintes"
"General Settings","Configurações Gerais"
"How to fix","Como consertar"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","URL de varredura inválida ""%s"": cada URL deve pertencer a uma das URLs base de loja configuradas"
"Learn more","Mais informações"
"Manual","Manualmente"
"Maximum time in seconds to wait for a single page scan.","Tempo máximo em segundos para esperar por uma única verificação de página."
"Minor","Menor"
"Mobile","Celular"
"Mobile Viewport","Mobile Viewport"
"Moderate","Moderado"
"Needs Review","Precisa de revisão"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Não foram encontradas violações detectáveis automaticamente. Verificações automatizadas cobrem apenas parte do WCAG, então ainda é recomendável testes manuais com um teclado e um leitor de tela."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s está instalado, mas o scanner requer a versão %s ou mais recente."
"Node.js Binary Path","Caminho binário do Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js não foi encontrado (procurando por ""%s""). Instale o Node. Para %s ou mais recente, ou defina seu caminho completo no Sistema > Configuração > Verificação de Acessibilidade."
"npm Binary Path","Caminho binário do npm"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm não foi encontrado (procurando por ""%s""). Instale-o com o Node. , ou defina seu caminho completo no Sistema > Configuração > Verificação de Acessibilidade."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Uma URL por linha. Cada URL deve pertencer a uma das URLs da loja configurada."
"Page Title","Título da página"
"Path to the node executable. Default: node","Caminho para o executável do nó. Padrão: node"
"Path to the npm executable. Default: npm","Caminho para o executável do npm. Padrão: npm"
"Pending","PENDENTE"
"Periodically scan the URLs below via cron, using the default WCAG level.","Examinar periodicamente as URLs abaixo via cron, usando o nível padrão de WCAG."
"Please provide a valid URL to scan","Forneça uma URL válida para a verificação"
"Run a New Scan","Executar uma nova digitalização"
"Running","Executando"
"Scan #%s","Escanear #%s"
"Scan failed","Escaneamento falhou"
"Scan failed: %s","Escaneamento falhou: %s"
"Scan History","Histórico de Varredura"
"Scan ID","ID de Escaneo"
"Scanning... this can take a couple of minutes.","Digitalizando... isto pode levar alguns minutos."
"Scan not found","Verificação não encontrada"
"Scan Results","Resultados de pesquisa"
"Scans older than this many days are deleted automatically. 0 keeps everything.","As verificações mais antigas do que estes dias são eliminadas automaticamente. 0 mantém tudo."
"Scan Timeout","Tempo limite de escaneamento"
"Scheduled","Agendado"
"Scheduled Scans","Análises agendadas"
"Selector","Seletor"
"Serious","Sério"
"Show on desktop screenshot","Mostrar na captura de tela da área de trabalho"
"Show on mobile screenshot","Mostrar na captura de tela móvel"
"Source","fonte"
"Started","Iniciado"
"Start Scan","Iniciar Escaneo"
"Status","SItuação"
"Summary","Summary"
"System","SISTEMA"
"Template","Modelo"
"Template Source","Origem do modelo"
"The scan has been deleted.","A verificação foi excluída."
"The scanner cannot run on this server yet:","O scanner ainda não pode ser executado neste servidor:"
"The scanner returned an unexpected result","O scanner retornou um resultado inesperado"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","O tempo de execução do scanner ainda não está instalado. Execute ""./maho accessibility:install"" pela linha de comando para instalá-lo."
"The URL to scan must belong to one of the configured store base URLs","A URL para escanear deve pertencer a uma das URLs da base de loja configurada"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Este relatório foi gerado com verificações automatizadas (axe-core), que detectam apenas um subconjunto de critérios de sucesso WCAG. Um relatório sem violações não garante conformidade; ainda são necessários testes manuais com um teclado e um leitor de tela."
"Total","Total:"
"Total Scans","Total de verificações"
"Total Violations","Violações Totais"
"Unable to acquire the scanner install lock","Não foi possível adquirir o bloqueio de instalação do scanner"
"Unable to copy the scanner script to %s","Não foi possível copiar o script de varredura para %s"
"Unable to create directory %s","Não foi possível criar o diretório %s"
"Unable to start process: %s","Não foi possível iniciar o processo: %s"
"URL","URL:"
"URLs to Scan","URLs para escanear"
"URL to scan","URL para escanear"
"URL to scan, e.g. https://store.example.com/","URL para escanear, por exemplo, https://store.example.com/"
"Violation #%s: %s","Violação #%s: %s"
"Violations","Violações"
"Violations (Latest Scan)","Violações (última verificação)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Nível A"
"WCAG 2.2 Level AA","AA de Nível WCAG 2.2"
"WCAG 2.2 Level AAA","WCAG 2.2 Nível AAA"
"WCAG Level","Nível WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Largura x altura em pixels CSS, escaneado com emulação móvel. Padrão: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Largura x altura em CSS pixels. Cada varredura executa um passe por visão. Padrão: 1280x1024"
