"-- No Role --","-- Nenhuma Função --"
"Access Token Lifetime","Token de Acesso Vitalício"
"Account Information","Informações da Conta"
"Active","ativo"
"Add New Role","Adicionar Nova Função"
"Add New User","Adicionar Novo Usuário"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL em /api/admin/graphql (requer autenticação de administrador)"
"All","TODOS"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Todos os protocolos de API estão <strong>desativados por padrão</strong>. Habilite apenas aqueles que você realmente usa, qualquer coisa off retorna 404 no ponto de entrada."
"API","API"
"API Cache","API Cache"
"API Key","Chave de API"
"API Protocols","API Protocols"
"API Role","Papel da API"
"API user has been deleted.","API de usuário foi excluído."
"API user has been saved.","API de usuário foi salvo."
"API User Information","API Informações de Usuário"
"API user not found.","API de usuário não encontrado."
"API v2 Roles","API v2 Roles"
"API v2 Users","Usuários da API v2"
"Assign Role","Atribuir Função"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autenticado através do login do cliente (e-mail + senha). Cada cliente só pode acessar seus próprios dados."
"Cache TTL (seconds)","TTL do Cache (segundos)"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Verificar para gerar novo client_id e segredo_cliente. As credenciais antigas deixarão de funcionar."
"Client Credentials","Credenciais de cliente"
"Client ID","ID do Cliente"
"Client ID: %s","ID do cliente: %s"
"Client Secret","Segredo do Cliente"
"Client Secret: %s","Segredo do cliente: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Lista de origens permitidas separadas por vírgulas. O padrão é armazenar a URL base se vazia."
"Contact Form","Formulário de contato"
"CORS Allowed Origins","Origens Permitidas CORS"
"Created","Criado"
"Custom","Personalizado"
"Customer Session Operations","Operações de sessão de cliente"
"Delete API User","Excluir usuário da API"
"Delete Role","Excluir Papel"
"Edit API User","Editar usuário da API"
"Edit API User '%s'","Editar Usuário API '%s'"
"Edit Role","Editar Permissão"
"Edit Role '%s'","Editar Papel '%s'"
"Email","e-mail"
"First Name","Primeiro nome"
"General Settings","Configurações Gerais"
"GraphQL, admin","GraphQL, administrador"
"GraphQL, public","Gráfico Público"
"Hidden (stored hashed). Regenerate if needed.","Oculto (hash armazenado). Regenerar se necessário."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Quanto tempo as respostas da API são armazenadas em cache. Padrão: 300 (5 minutos). Defina como 0 para desabilitar o cache."
"ID","ID"
"Inactive","Inativo"
"In seconds (default: 3600 = 1 hour)","Em segundos (padrão: 3600 = 1 hora)"
"In seconds (default: 86400 = 24 hours)","Em segundos (padrão: 86400 = 24 horas)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","Chave de assinatura JWT. Gerou automaticamente (aleatório) e armazenado criptografado no primeiro uso se deixado vazio."
"Last Name","Último Nome"
"Leave blank to keep the current key.","Deixe em branco para manter a chave atual."
"Leave empty to allow access to all stores.","Deixe em branco para permitir acesso a todas as lojas."
"Legacy JSON-RPC","JSON-RPC legado"
"Legacy REST (Magento 1)","REST antigo (Magento 1)"
"Legacy SOAP v1","SOAP v1 antigo"
"Legacy SOAP v2","SOAP v2 antigo"
"Legacy XML-RPC","Legacy XML-RPC"
