"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Você tem certeza?"
"critical","crítico"
"Date Added","Data de inclusão"
"Last Update","Última atualização"
"major","importante"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de Entrada de Mensagens"
"minor","secundário"
"notice","aviso"
"Notifications","Notificações"
"Please select messages.","Por favor, selecione as mensagens."
"Read Details","Ler Detalhes"
"Remove","Remover"
"Severity","Gravidade"
"Show List","Exibir Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","Total de %d registro(s) foram marcados como lidos."
"Total of %d record(s) have been removed.","Total de %d registro(s) foram removidos."
"Unable to proceed. Please, try again.","Não é possível prosseguir. Por favor, tente novamente."
"Update Frequency","Frequência de atualização"
"Wrong message type","Tipo de mensagem incorreto"
