"""Remember Me"" Cookie Lifetime","""Me Lembrar"" Cookie Vitalício"
"%s already exist.","%s já existe."
"%s already exists.","%s já existe."
"-- Please Select --","-- Por favor selecione --"
"<strong>Disabled:</strong> No deferral (default behavior)<br><strong>Defer Only:</strong> Moves all script tags to the end of the page, improving initial render performance<br><strong>Load on Intent:</strong> <strong style=""color:red"">Highly Experimental!</strong> Defers all scripts until user interaction (click, scroll, hover, etc.) - designed for pure vanilla JavaScript and may not work with legacy JavaScript libraries","<strong>Desativado:</strong> Sem indicação (comportamento padrão)<br><strong>A:</strong> Move todas as tags de script para o final da página, melhorando o desempenho de renderização<br><strong>Carregar na intenção:</strong> <strong style=""color:red"">Altamente Experimental!</strong> Protege todos os scripts até interação do usuário (clique, rolagem, passar o mouse, etc. - projetado para puro JavaScript vanilla e pode não funcionar com bibliotecas JavaScript legadas"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Aviso!</strong> Quando usar CDN, em alguns casos, o JavaScript pode não funcionar corretamente se CDN não estiver no seu subdomínio"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.)."
"A category object is required for determining the product request path.","Um objeto de categoria é necessário para determinar o caminho de solicitação do produto."
"Add Block Names to Hints","Adicionar Nomes dos Blocos às Dicas"
"Add Secret Key to URLs","Adicionar chave secreta às URLs"
"Add Store Code to Urls","Adicionar o Código da Loja aos Urls"
"Admin","Administrador"
"Admin Base URL","URL Base da Administração"
"Admin Theme","Tema do Administrador"
"Admin User Emails","E-mails de Usuários Administrativos"
"Advanced","Avançado"
"Advanced Cache Settings","Configurações avançadas de cache"
"Allow Countries","Permitir países"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Not all browsers support all these formats!","Tipos de arquivo permitidos: ICO, PNG, GIF, JPG, JPEG, APNG, WEBP, AVIF, SVG. Nem todos os navegadores suportam esses formatos!"
"Allowed IPs (comma separated)","IPs permitidos (separados por vírgula)"
"Allowed Shipping Countries","Países de Envio Permitidos"
"Allow Maho Backend to run in frame","Permitir que o Backend Maho execute em frame"
"Allow Maho Frontend to run in frame","Permitir que a função Maho Frontend seja executada com frame"
"Allows customers to stay logged in when switching between different stores.","Permite que os clientes permaneçam conectados ao alternar entre diferentes lojas."
"Allow Symlinks","Permitir Symlinks"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o próximo link no menu de paginação. Se estiver vazio, a imagem de seta padrão será usada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para links anteriores no menu de paginação. Se estiver vazio, a imagem de seta padrão será usada."
"Anchor symbol (#) is not supported in request path","Símbolo âncora (#) não é suportado no caminho da solicitação"
"Anchor symbol (#) is not supported in url rewrite suffix","Símbolo âncora (#) não é suportado no sufixo da url reescrita"
"Anchor Text for Next","Texto de âncora para página seguinte"
"Anchor Text for Previous","Texto de âncora para anterior"
"An error occured.","Ocorreu um erro."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar. Por favor, revise o log de erros."
"Are you sure?","Você tem certeza?"
"Are you sure you want to delete the selected email log entries?","Você tem certeza que deseja excluir os registros de e-mail selecionados?"
"Auto-redirect to Base URL","Redirecionar Automaticamente para o URL Base"
"Back","Anterior"
"Backup Options","Opções de backup"
"Base JavaScript URL","URL Base do JavaScript"
"Base Link URL","URL Base do Link"
"Base Media URL","URL Base da Mídia"
"Base Secure URL","URL Base Segura"
"Base Skin URL","URL Base da Skin"
"Base Unsecure URL","URL Base Insegura"
"Base URL","URL Base"
"Bcc","CCO"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de modificar a visão de loja, por favor, certifique-se de que não é usado no index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de modificar o código do site, certifique-se de que ele não é usado no index.php."
"Cache Storage Management","Gerenciamento de Armazenamento"
"Cache storage may contain additional data. Are you sure that you want flush it?","O armazenamento de cache pode conter dados adicionais. Tem certeza que deseja liberá-lo?"
"Can't retrieve entity config: %s","Não foi possível recuperar a entidade config: %s"
"Can't retrieve request object","Não foi possível recuperar objeto requisitado"
"Cancel","cancelar"
"Cannot complete this operation from non-admin area.","Não é possível concluir esta operação a partir de uma área não-administrativa."
"Can not create invoice. Order was not found.","Não foi possível criar a fatura. Pedido não encontrado."
"Card type does not match credit card number.","Tipo de cartão não corresponde ao número do cartão de crédito."
"Cc","Cc"
"Clean Log After (days)","Limpar Log depois (dias)"
"Code","Código"
"Controls how much referrer information is sent with requests","Controla quanta informação de referência é enviada com solicitações"
"Cookie Domain","Domínio do Cookie"
"Cookie Lifetime","Vitalício do Cookie"
"Cookie Path","Caminho do Cookie"
"Cookie Restriction Mode","Modo de restrição do Cookie"
"Copyright","Direitos autorais"
"Core","Principal"
"Could not write sanitized SVG file.","Não foi possível escrever arquivo SVG anitizado."
"Countries Options","Opções de países"
"Country","País/região"
"Create Store","Criar loja"
"Create Store View","Criar Visão de Loja"
"Create Website","Criar site"
"Credit card number does not match credit card type.","Número do cartão de crédito não corresponde ao tipo de cartão de crédito."
"Cron Expression for Cache Flushing","Expressão Cron para Flash em Cache"
"CSS Settings","CSS Settings"
"Current Package Name","Nome Atual do Pacote"
"Custom1 Contact Email","E-mail de contato PERSONALIZADO1"
"Custom1 Contact Name","Nome de contato PERSONALIZADO1"
"Custom2 Contact Email","E-mail de contato PERSONALIZADO2"
"Custom2 Contact Name","Nome de contato PERSONALIZADO2"
"Custom Admin Path","Caminho Personalizado p/ Admin"
"Custom Admin URL","URL Personalizada p/ Admin"
"Custom Design","Design Personalizado"
"Custom Email 1","E-mail Personalizado 1"
"Custom Email 2","E-mail Personalizado 2"
"Customer Support","Atendimento ao cliente"
"Custom Variables","Variáveis Personalizadas"
"Dashboard","Painel"
"Date","Encontro"
"Date From","Data de origem"
"Date To","Data Final"
"Debug","Debug"
"Default","Padrão"
"Default Country","País Padrão"
"Default Description","Descrição Padrão"
"Default Keywords","Palavras-chave padrão"
"Default No-route URL","URL Não-rota padrão"
"Default Pages","Páginas pré-definidas"
"Default Robots","Default Robots"
"Default Store","Loja Padrão"
"Default Store View","Visão de Loja Padrão"
"Default Title","Default Title"
"Default Web URL","Default Web URL"
"Defer Only","Adiar Apenas"
"Delete","excluir"
"Delete Store","Apagar Loja"
"Delete Store View","Excluir Visão de Loja"
"Delete Website","Excluir site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","A exclusão de um %1$s não excluirá as informações associadas com o %1$s (ex: categorias, produtos, etc. , mas o %1$s não poderá ser restaurado. Sugerimos que você crie um backup do banco de dados antes de excluir o %1$s."
"Design","Projetar"
"Design Change","Mudança de Design"
"Developer","Desenvolvedores"
"Developer Client Restrictions","Restrições do Desenvolvedor"
"Disable Modules Output","Desabilitar módulos de saída"
"Disallowed block name for frontend.","Nome do bloco não permitido para frontend."
"Disallowed template variable method.","Método de variável de template proibido."
"Display Demo Store Notice","Exibir Aviso de Loja de Demonstração"
"Duplicate Of Template Name","Duplicar Nome do Modelo"
"Edit Design Change","Editar Alteração de Design"
"Edit Store","Editar loja"
"Edit Store View","Editar Visão de Loja"
"Edit Website","Editar Site"
"Email - Footer","Email - Footer"
"Email - Header","E-mail - Cabeçalho"
"Email Body","Corpo do e-mail"
"Email Details","Detalhes E-mail"
"Email Footer Template","Modelo E-mail de Rodapé"
"Email Header Template","Email Template Cabeçalho"
"Email Log","Registro de e-mail"
"Email log entries older than this number of days will be automatically deleted.","O registro de e-mails com mais de este número de dias será automaticamente excluído."
"Email Log Entry","E-mail Registro de Log"
"Empty identifier field name","Nome do identificador de campo vazio"
"Empty main table name","Nome da tabela principal vazio"
"Enable Charts","Habilitar gráficos"
"Enabled","Ativado"
"Enable Email Logging","Habilitar registro de e-mail"
"Enable Email Queue","Ativar Fila de Email"
"Enable global search","Ativar a pesquisa global"
"Enable HSTS (HTTP Strict Transport Security)","Habilitar HSTS (HTTP Segurança de Transporte Estrito)"
"Enables browser XSS filtering. Note: Modern browsers prefer CSP over this header.","Habilita filtragem XSS no navegador. Nota: Navegadores modernos preferem CSP sobre este cabeçalho."
"Enable X-Content-Type-Options","Habilitar X-Content-Type-Options"
"Enable X-XSS-Protection","Habilitar proteção X-XSS-"
"Enabling ability to run Maho in a frame is not recommended for security reasons.","Não é recomendada a possibilidade de executar o Maho em um frame por razões de segurança."
"Error","ERRO"
"Error generating PDF: %s","Erro ao gerar PDF: %s"
"Error in file: ""%s"" - %s","Erro no arquivo: ""%s"" - %s"
"European Union Countries","Países da União Europeia"
"Excel XML","Excel XML"
"Facebook URL","URL do Facebook"
"Failed","Falhou"
"Favicon Icon","Ícone Favicon"
"File %s does not exist","O arquivo %s não existe"
"File %s is not readable","O arquivo %s não é legível"
"File is not a valid SVG.","Arquivo não é um SVG válido."
"File name is too long. Maximum length is %s.","O nome do arquivo é muito longo. O comprimento máximo é %s."
"File not found","Arquivo não encontrado"
"File system","Sistema de arquivos"
"File type for image conversions","Tipo de arquivo para conversões de imagem"
"File with an extension ""%s"" is protected and cannot be uploaded","Arquivo com a extensão ""%s"" está protegido e não pode ser carregado"
"First Day of Week","Primeiro dia da semana"
"Flush & Apply Updates","Limpar e aplicar atualizações"
"Flush Cache Storage","Liberar Cache de Armazenamento"
"Footer","Rodapé"
"Forces browsers to use HTTPS. Only works on HTTPS connections.","Força o navegador a usar HTTPS. Funciona apenas em conexões HTTPS."
"Forgot Password Email Sender","Remetente do E-mail de Senha Esquecida"
"Forgot Password Email Template","Template de E-mail de Senha Esquecida"
"From","De"
"Frontend","Frontend"
"Full URL to the official Facebook profile.","URL completa para o perfil oficial do Facebook."
"Full URL to the official Instagram profile.","URL completa para o perfil oficial do Instagram."
"Full URL to the official LinkedIn profile.","URL completa para o perfil oficial do LinkedIn."
"Full URL to the official X (Twitter) profile.","URL completa para o perfil oficial X (Twitter)."
"General","Gerais"
"General Contact","Contato Geral"
"General Contact Email","E-mail de contato geral"
"General Contact Name","Nome de contato geral"
"General Settings","Configurações Gerais"
"Get info about current Maho installation","Obter informações sobre a instalação atual do Maho"
"Global","Global"
"Header","Cabeçalho"
"Helper attributes should not be used in custom layout updates.","Atributos auxiliares não devem ser usados nas atualizações de layout personalizado."
"Host","Servidor"
"How long browsers should remember to use HTTPS. Default: 31536000 (1 year)","Quanto tempo os navegadores devem se lembrar de usar HTTPS. Padrão: 31536000 (1 ano)"
"How many links to display at once.","Quantos links exibir de uma só vez."
"HSTS Max Age (seconds)","HSTS Idade Máxima (segundos)"
"HTML filtration has failed.","Falha no filtro HTML."
"HTML Head","Cabeçalho HTML"
"HTML tags are not allowed","Tags HTML não são permitidas"
"ID","ID"
"ID Path for Specified Store","Caminho do ID para Loja Especificada"
"If empty, the ""Allow Countries"" list is used for shipping.","Se vazio, a lista ""Permitir País"" será usada para envio."
