"%s (Default Template from Locale)","%s (Modelo Padrão do Local)"
"%s cache type(s) disabled.","%stype(s) de cache desativado(s)."
"%s cache type(s) enabled.","%stype(s) de cache habilitado(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"(For US 2-letter state names)","(Para nomes de estados Americanos com 2 letras)"
"(If left empty will be auto-generated)","(Se deixado vazio será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe vazio para primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produtos serão adicionados/atualizados nesta loja se a coluna 'loja' estiver vazia ou faltando no arquivo de importação.)"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar o memory_limit do php antes de alterar este valor)"
"(\\t for tab)","(\\t para tabulação)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se o índice estiver em andamento, ele será interrompido e um novo processo de índice será iniciado."
"* Required Fields","* Campos Obrigatórios"
"-- Not Selected --","Não Selecionado"
"-- Please Select --","-- Por favor selecione --"
"-- Please select --","-- Selecione uma opção --"
"--Please Select--","-- Por favor, selecione --"
"-- Please Select a Category --","--Por Favor, Selecione uma Categoria--"
"-- Please Select Billing Agreement--","-- Por favor, Selecione um Acordo de Cobrança --"
"1 Hour","1 Hora"
"2 Hours","2 Horas"
"2FA verification code is invalid.","2FA verification code is invalid."
"2YTD","Acumulado nos últimos 2 anos"
"6 Hours","6 Horas"
"12 Hours","12 Horas"
"12h AM/PM","12 h AM/PM"
"24 Hours","24 Horas"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> erro 404</h1> <p>Página não encontrada.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acesso à sua conta"
"Abandoned Carts","Carrinhos abandonados"
"Access Denied","Acesso Negado"
"Access denied","Acesso negado"
"Access denied.","Acesso negado."
"Account Created in:","Conta criada no:"
"Account Created on (%s):","Conta criada em (%s):"
"Account Created on:","Conta criada em:"
"Account Information","Informações da Conta"
"Account Status","Status da Conta"
"Account status","Status da conta"
"Action","Ação"
"Actions","Ações"
"Actions XML","Ações XML"
"Active","Ativo"
"Add","Adicionar"
"Add after","Adicionar depois"
"Add Exception","Adicionar exceção"
"Add Field Mapping","Adicionar mapeamento de campos"
"Add Field with URL:","Adicionar campo com URL:"
"Additional Cache Management","Gerenciamento Adicional de Cache"
"Add New","Adicionar Novo"
"Add New Block","Adicionar novo bloco"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar novo perfil"
"Add New Role","Adicionar Nova Função"
"Add New Template","Adicionar novo template"
"Add New URL Rewrite","Adicionar Nova Reescrita de URL"
"Add New User","Adicionar Novo Usuário"
"Add New Variable","Adicionar nova variável"
"Add new variable","Adicionar nova variável"
"Add Products","Adicionar Produtos"
"Address Type:","Tipo de endereço:"
"Add URL Rewrite","Adicionar URL Rewrite"
"Add URL Rewrite for a Category","Adicionar Reescrita de URL para uma Categoria"
"Add URL Rewrite for a Product","Adicionar Reescrita de URL para um Produto"
"Admin","Administrador"
"Advanced Profiles","Perfis avançados"
"After authorization application will have access to you account.","Após autorização, o aplicativo terá acesso à sua conta."
"Alert","Alerta"
"All","Todos"
"All Allowed Countries","Todos os países permitido"
"All Cache","Todo Cache"
"All countries","Todos os Países"
"All fields","Todos campos"
"Allowed","Permitido"
"All possible rates were fetched, please click on ""Save"" to apply","Todas as taxas possíveis foram buscadas, por favor clique em ""Salvar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas as taxas foram buscadas, clique em ""Salvar"" para aplicar"
"All Reviews","Todas Avaliações"
"All Store Views","Todas as Visões de Loja"
"All Tags","Todas tags"
"All valid rates have been saved.","Todos os preços válidos foram salvos."
"All Websites","Todos os sites"
"Always (during development)","Sempre (durante o desenvolvimento)"
"Amounts","Montantes"
" and "," e "
"An error has occured while syncronizing media storages.","Ocorreu um erro ao sincronizar armazenamentos de mídia."
"An error occurred while adding condition.","Ocorreu um erro ao adicionar condição."
"An error occurred while clearing the configurable swatches image cache.","Ocorreu um erro ao limpar o cache de imagem de amostras configuráveis."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagem."
"An error occurred while clearing the minified CSS/JS cache.","An error occurred while clearing the minified CSS/JS cache."
"An error occurred while deleting email template data. Please review log and try again.","Ocorreu um erro ao deletar dados de modelo de email. Por favor, revise o log e tente novamente."
"An error occurred while deleting record(s).","Ocorreu um erro ao deletar registro(s)."
"An error occurred while deleting this role.","Ocorreu um erro ao apagar esta permissão."
"An error occurred while deleting this set.","Ocorreu um erro ao deletar este conjunto."
"An error occurred while deleting this template.","Ocorreu um erro ao deletar este modelo."
"An error occurred while deleting URL Rewrite.","Ocorreu um erro ao deletar Reescrita de URL."
"An error occurred while finishing process. Please refresh the cache","Ocorreu um erro ao finalizar o processo. Por favor, atualize o cache"
"An error occurred while logging in.","Ocorreu um erro ao fazer login."
"An error occurred while rebuilding the catalog index.","Ocorreu um erro ao reconstruir o índice do catálogo."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ocorreu um erro ao reconstruir o Status de Estoque do Catálogo."
"An error occurred while rebuilding the flat catalog category.","Ocorreu um erro ao reconstruir o catálogo de categoria plano."
"An error occurred while rebuilding the flat product catalog.","Ocorreu um erro ao reconstruir o catálogo de produtos plano."
"An error occurred while rebuilding the search index.","Ocorreu um erro ao reconstruir o índice de busca."
"An error occurred while refreshing roles.","Ocorreu um erro ao atualizar funções."
"An error occurred while refreshing the Catalog Rewrites.","Ocorreu um erro ao atualizar os Reescritos de Catálogo."
"An error occurred while refreshing the catalog rewrites.","Ocorreu um erro ao atualizar as reescritas de catálogo."
"An error occurred while refreshing the Layered Navigation indices.","Ocorreu um erro ao atualizar os índices de Navegação em Camadas."
"An error occurred while refreshing the layered navigation indices.","Ocorreu um erro ao atualizar os índices de navegação em camadas."
"An error occurred while saving account.","Ocorreu um erro ao salvar a conta."
"An error occurred while saving review.","Ocorreu um erro ao salvar avaliação."
"An error occurred while saving the customer.","Ocorreu um erro ao salvar o cliente."
"An error occurred while saving this configuration:","Ocorreu um erro ao salvar essa configuração:"
"An error occurred while saving this role.","Ocorreu um erro ao salvar a permissão."
"An error occurred while saving this template.","Ocorreu um erro ao salvar este modelo."
"An error occurred while saving URL Rewrite.","Ocorreu um erro ao salvar a Reescrita de URL."
"An error occurred while updating the selected review(s).","Ocorreu um erro ao atualizar a(s) avaliação(ões) selecionada(s)."
"Any","Qualquer"
"Any Attribute Set","Qualquer grupo de atributos"
"Any Group","Qualquer grupo"
"Any Status","Qualquer status"
"Any Type","Qualquer tipo"
"Any Visibility","Qualquer visibilidade"
"API Key","Chave de API"
"API Key Confirmation","Confirmação de Chave de API"
"Archive file name:","Nome do arquivo comprimido:"
"Area","Área"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"ASCII","ASCII"
"As low as:","Maiores quantidades:"
"Assigned","Atribuído"
"Associated Tags","Tags Associados"
"At least one currency has to be allowed.","Pelo menos uma moeda tem que ser permitida."
"Attributes","Atributos"
"Attribute Set Name:","Nome do grupo de atributos:"
"A user with the same user name or email already exists.","Um usuário com o mesmo nome de usuário ou e-mail já existe."
"Authorization confirmed","Autorização confirmada"
"Authorize","Autorizar"
"Authorize application","Autorizar aplicação"
"Authorized OAuth Tokens","Tokens de OAuth Autorizados"
"Automatic (equalize price ranges)","Automático (equalizar variação de preço)"
"Automatic (equalize product counts)","Automático (equalizar contagens de produto)"
"Average Order Amount","Média de valor de pedido"
"Average Orders","Média de pedidos"
"b","dz"
"Back","Voltar"
"Backend Locale","Localização Backend"
