"All Websites","Todos os sites"
"Apply Discounts To FPT","Aplicar descontos para FPT"
"Display Prices In Emails","Mostrar Preços em E-mails"
"Display Prices In Product Lists","Mostrar Preços nas Listas de Produtos"
"Display Prices In Sales Modules","Exibir Preços em Módulos de Vendas"
"Display Prices On Product View Page","Mostrar preços na página de visualização do produto"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluindo FPT"
"Excluding FPT, FPT description, final price","Excluindo FPT, descrição FPT, preço final"
"FPT Tax Configuration","Configuração de imposto FPT"
"Fixed Product Tax","Imposto fixo do produto"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Include FPT In Subtotal","Incluir FPT no Subtotal"
"Including FPT and FPT description","Incluindo descrição FPT e FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluindo descrição do FPT e do FPT [incl. IVA do FPT]"
"Including FPT only","Incluindo apenas FPT"
"Loaded and Displayed with Tax","Carregado e Exibido com Imposto"
"Not Taxed","Não tributado"
"Taxed","Impostos"
"Total","Total:"
"Total Incl. Tax","Total de impostos incluídos"
"Total excl. tax","Total sem impostos"
"Total incl. tax","Total de impostos incluídos"
"Total:","Total:"
