"Account Number","Numero da Conta"
"Container ID","ID do Contêiner"
"Enable","Habilitado"
"Enable GA4 Debug Real Time view for Development IP.","Habilitar GA4 Depurar Tempo Real para IP de Desenvolvimento."
"Enable GA4 User_id tracking for logged in customers.","Habilitar rastreamento GA4 User_id para clientes logados."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Gerenciador de tags do Google"
"Meta Pixel ID","Meta Pixel ID"
"Type","tipo"
"User ID tracking","Rastreamento ID do Usuário"
