"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","As regras de preço do catálogo do %d com base no atributo ""%s"" foram desativadas."
"-- All Active Rules --","-- Todas as Regras Ativas --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 por padrão, se não for definido. Os preços das regras mudam com o índice de regra do catálogo diário."
"Actions","Ações."
"Active","ativo"
"Add New Rule","Adicionar Nova Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Por favor, revise o log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar os dados da regra. Por favor, revise o log e tente novamente."
"Apply","Aplicar"
"Apply Rules","Aplicar regras de"
"Attribute Set","Conjunto de Atributos"
"Best Selling","Mais vendidos"
"Biggest Discount","Desconto maior"
"By Fixed Amount","Por valor fixo"
"By Percentage of the Original Price","Por porcentagem do preço original"
"Catalog","Catalogo"
"Catalog On Sale Products","Catálogo em promoção de produtos"
"Catalog Price Rule","Regra de Preço"
"Catalog Price Rules","Catálogo de Regras"
"Category","categoria"
"Conditions","condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Combinação de condições"
"Customer Groups","Grupos de Clientes"
"Date Expire","Data de validade"
"Date From","Data de origem"
"Date Start","Data de início"
"Date To","Data Final"
"Description","Descrição:"
"Discount Amount","Valor do desconto"
"Edit Rule","Editar regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Enable Discount to Subproducts","Habilitar Desconto para Subprodutos"
"Expiration Date","Data de Validade"
"From Date","Data de início"
"General Information","Informações Básicas"
"ID","ID"
"Inactive","Inativo"
"List of Products with an active Catalog Price Rule discount","Lista de produtos com desconto da regra de preço de catálogo ativo"
"Newest","Recentes"
"New Rule","Nova Regra"
"No","Não"
"Only In-Stock Products","Apenas produtos em estoque"
"On Sale","Em Promoção"
"On Sale Images and Names Template","Em Imagens de Venda e Templates de Nomes"
"On Sale Images Only Template","Modelo Somente em Imagens de Venda"
"On Sale Names Only Template","Modelo Somente de Nomes em Venda"
"On Sale Products Grid Template","Modelo de grade de produtos em venda"
"On Sale Products List Template","Modelo de lista de produtos em venda"
"Options","Opções"
"Order Products By","Encomendar Produtos por"
"Priority","Prioridade"
"Product Attribute","Atributos do Produto"
"Promotions","Promoções"
"Random","Aleatório"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restringir a uma única regra (por exemplo, ""Oferta do mês""). Deixe em branco para todas as regras ativas."
"Rule Information","Regra Informação"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e aplicar"
"Save and Continue Edit","Salvar e Continuar Editar"
"Start Date","Data Inicial"
"Status","SItuação"
"Stop Further Rules Processing","Parar o processamento de novas regras"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Há regras que foram alteradas mas não foram aplicadas. Por favor, clique em Aplicar Regras para ver o efeito imediato no catálogo."
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","As regras foram aplicadas."
"This rule no longer exists.","Esta permissão não existe mais."
"To Date","Data de término"
"To Fixed Amount","Para o valor fixo"
"To Percentage of the Original Price","Para Porcentagem do preço original"
"Type","tipo"
"Unable to apply rules.","Não é possível aplicar as regras."
"Unable to find a rule to delete.","Não é possível encontrar uma regra para excluir."
"Update Prices Using the Following Information","Atualize os preços usando as seguintes informações"
"Update product's %s %s: %s","Atualizar produto %s %s: %s"
"Website","site"
"Websites","Sites"
"Wrong rule specified","Regra errada especificada"
"Wrong rule specified.","Regra especificada errada."
"Yes","sim"
