"Action","Ação"
"Add Sitemap","Adicionar mapa do site"
"Always","Sempre"
"CMS Pages Options","Opções de Páginas CMS"
"Categories Options","Opções de categorias"
"Daily","Diário"
"Do not show in sitemap","Não mostrar no mapa do site"
"Edit Sitemap","Editar mapa do site"
"Enabled","Habilitado"
"Error Email Recipient","Erro no recipiente do E-mail"
"Error Email Sender","Erro no Serviço de E-mail"
"Error Email Template","Erro no template de E-mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Arquivo ""%s"" não pode ser salvo. Por favor, tenha certeza que o diretório ""%s"" tenha permissões de escrita pelo servidor web."
"Filename","Nome do arquivo"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Configurações de geração"
"Google Sitemap","Mapa do site do Google"
"Hourly","Horal"
"ID","Id."
"Last Time Generated","Gerado pela última vez"
"Link for Google","Link para o Google"
"Monthly","Mensal"
"Never","Nunca"
"New Sitemap","Novo mapa do site"
"Path","Caminho"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor, insira a pasta especificada ""%s"" antes de salvar o mapa do site"
"Please define correct path","Por favor, defina o caminho correto"
"Please enter a sitemap name with at most %s characters.","Por favor, entre com um nome de mapa do site com no máximo %s caracteres."
"Please make sure that ""%s"" is writable by web-server.","Por favor, tenha certeza que ""%s"" tenha permissões de escrita pelo servidor web"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor, utilize somente letras (a-z ou A-Z), números (0-9) ou sublinhado (_) no nome do arquivo. Espaços ou outros caracteres não são permitidos."
"Priority","Prioridade"
"Products Options","Opções de produtos"
"Show lastmod","Mostrar última modificação"
"Sitemap","Mapa do site"
"Sitemap generate Warnings","Mapa do site gerar avisos"
"Start Time","Hora de Início"
"Store View","Visão de Loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap ""%s"" has been generated.","O mapa do site ""%s"" foi gerado."
"The sitemap has been deleted.","O sitemap foi excluído."
"The sitemap has been saved.","O sitemap foi salvo."
"This sitemap no longer exists.","Este mapa do site já não existe."
"Unable to find a sitemap to delete.","Não foi possível encontrar um mapa do site para excluir."
"Unable to find a sitemap to generate.","Não foi possível encontrar um mapa do site para gerar."
"Unable to generate the sitemap.","Não é possível gerar o mapa do site."
"Valid values range: from 0.0 to 1.0.","Valores válidos variam: de 0,0 a 1,0."
"Weekly","Semanal"
"Yearly","Anual"
