"%s %s cycle.","%s %s cycle."
"* Required Fields","* Campos Obrigatórios"
"--Please Select--","-- Por favor, selecione --"
"3D Secure Card Validation","3D Secure Card Validation"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"Action","Ação"
"Add New Restriction","Add New Restriction"
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Apply the restriction only if the following conditions are met (leave blank for all)","Apply the restriction only if the following conditions are met (leave blank for all)"
"Are you sure?","Você tem certeza?"
"Authorize action is not available.","Authorize action is not available."
"Auto Bill on Next Cycle","Auto Bill on Next Cycle"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments)."
"Automatically Invoice All Items","Automatically Invoice All Items"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Bank Transfer Payment","Pagamento por Transferência Bancária"
"Billing Agreement status is not set.","Billing Agreement status is not set."
"Billing Amount","Billing Amount"
"Billing Frequency","Billing Frequency"
"Billing Period","Billing Period"
"Billing Period Unit","Billing Period Unit"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Cannot retrieve the payment method code."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Capture action is not available.","Capture action is not available."
"Card Verification Number","Código de Verificação do Cartão"
"Cart Attribute","Atributo de Carrinho"
"Cash On Delivery Payment","Pagamento Contra Entrega"
"Change status","Alterar status"
"Check / Money Order","Cheque / Dinheiro"
"Conditions","Condições"
"Conditions Combination","Combinação de Condições"
"Countries","Countries"
"Created At","Criado em"
"Credit Card Number","Número do Cartão de Crédito"
"Credit card number mismatch with credit card type.","Credit card number mismatch with credit card type."
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit card type is not allowed for this payment method.","Tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Credit Card Types","Tipo do Cartão de Crédito"
"Currency","Moeda"
"Currency code is undefined.","Currency code is undefined."
"Customer Groups","Grupos de Cliente"
"Customer ID is not set.","Customer ID is not set."
"Day","Dia"
"Debug Mode","Modo de depuração"
"Delete Restriction","Delete Restriction"
"Description","Descrição"
"Edit","Editar"
"Edit Restriction","Edit Restriction"
"Edit Restriction '%s'","Edit Restriction '%s'"
"Enabled","Habilitado"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"Expiration Date","Data de Validade"
"FOUND","ENCONTRADO"
"Full name of the person receiving the product or service paid for by the recurring payment.","Full name of the person receiving the product or service paid for by the recurring payment."
"General Information","Informações gerais"
"greater than","maior do que"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"Incorrect credit card expiration date.","Data de validade de cartão de crédito incorrecto."
"Initial Fee","Initial Fee"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Instructions","Instruções"
"Internal Reference ID","Internal Reference ID"
"Invalid Credit Card Number","Número inválido de cartão de crédito"
"is","é"
"is not","não é"
"Issue Number","Número de emissão"
"less than","menos que"
"Make Check Payable to","Passe o cheque à ordem de"
"Make Check payable to:","Passe o cheque à ordem de:"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Billing Cycles","Maximum Billing Cycles"
"Maximum Order Total","Total máximo de pedidos"
"Maximum Payment Failures","Maximum Payment Failures"
"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Minimum Order Total","Total mínimo do pedidos"
"Month","Mês"
"N/A","Não Disponível"
"Name","Nome"
"Name on Card","Name on Card"
"Name on the Card","Name on the Card"
"New Order Status","Novo status do pedido"
"New Restriction","New Restriction"
"NOT FOUND","NÃO ENCONTRADO"
"Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Number of Complete Orders","Number of Complete Orders"
"Order action is not available.","Order action is not available."
"Password","Senha"
"Payment from Applicable Countries","Pagamento de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Payment Method","Método de Pagamento"
"Payment method code is not set.","Payment method code is not set."
"Payment method code is undefined.","Payment method code is undefined."
"Payment Methods","Forma de pagamento"
"Payment profile is invalid:\n%s","Payment profile is invalid:\n%s"
"Payment Reference ID","Payment Reference ID"
"Payment Restrictions","Payment Restrictions"
"Payment Services","Serviços de Pagamento"
"Period frequency is wrong.","Period frequency is wrong."
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar."
"Please enter a valid credit card verification number.","Por favor, insira um número de verificação de cartão de crédito válido."
"Please select restriction(s).","Please select restriction(s)."
"Product Attribute","Atributo do Produto"
"Product attribute combination","Combinação de atributos de produto"
"Product Categories","Categorias de Produto"
"Products subselection","Sub-seleção de produtos"
"Purchase Order","Ordem de compra"
"Purchase Order Number","Número do pedido"
"Purchase Order Number:","Purchase Order Number:"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Recurring Profile Start Date","Recurring Profile Start Date"
"Recurring profile start date has invalid format.","Recurring profile start date has invalid format."
"Reference ID is not set.","Reference ID is not set."
"Refund action is not available.","Refund action is not available."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Repeats until suspended or canceled."
"Save Restriction","Save Restriction"
"Schedule Description","Schedule Description"
"Schedule description must be not empty.","Schedule description must be not empty."
"Selected payment type is not allowed for billing country.","A forma de pagamento selecionada não é aceita para o país indicado na cobrança."
"Send Check to","Enviar cheque para"
"Send Check to:","Enviar cheque para:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","Valor do envio"
"Shipping Country","País de Entrega"
"Shipping Method","Método de Envio"
"Shipping Postcode","Código de Postal de Entrega"
"Shipping Region","Região de Entrega"
"Shipping State/Province","Região/Distrito de Entrega"
"Short description of the recurring payment. By default equals to the product name.","Short description of the recurring payment. By default equals to the product name."
"Sort Order","Ordenação"
"Start Date","Data de Início"
"Start date has invalid format.","Start date has invalid format."
"Start date is undefined.","Start date is undefined."
"Status","Situação"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s"
"Stores","Lojas"
"Subscriber Name","Subscriber Name"
"Subtotal","Sub-total"
"Switch/Solo/Maestro Issue Number","Número de emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data de início Maestro/Switch/Solo"
"Tax Amount","Valor do imposto"
"Test Mode","Modo de Teste"
"The date when billing for the profile begins.","The date when billing for the profile begins."
"The number of billing cycles for payment period.","The number of billing cycles for payment period."
"The number of scheduled payments that can fail before the profile is automatically suspended.","The number of scheduled payments that can fail before the profile is automatically suspended."
"The payment restriction has been deleted.","The payment restriction has been deleted."
"The payment restriction has been saved.","The payment restriction has been saved."
"The payment review action is unavailable.","A ação de revisão de pagamento não está disponível."
"The requested Payment Method is not available.","O método de pagamento solicitado não está disponível."
"This restriction no longer exists.","This restriction no longer exists."
"Title","Título"
"total amount","montante total"
"Total Items Quantity","Quantidade Total de Itens"
"Total of %d record(s) were deleted.","Total of %d record(s) were deleted."
"Total of %d record(s) were updated.","Total of %d record(s) were updated."
"total quantity","quantidade total"
"Total Weight","Peso total"
"Trial Billing Amount","Trial Billing Amount"
"Trial billing amount is wrong.","Trial billing amount is wrong."
"Trial Billing Frequency","Trial Billing Frequency"
"Trial Billing Period Unit","Trial Billing Period Unit"
"Trial billing period unit is wrong.","Trial billing period unit is wrong."
"Trial Period","Trial Period"
"Trial period frequency is wrong.","Trial period frequency is wrong."
"Trial period max cycles is wrong.","Trial period max cycles is wrong."
"Two Weeks","Two Weeks"
"Type","Tipo"
"Unable to find a restriction to delete.","Unable to find a restriction to delete."
"Unable to save Billing Agreement:","Não foi possível gravar o Acordo de Faturamento:"
"Unit for billing during the subscription period.","Unit for billing during the subscription period."
"Void action is not available.","Void action is not available."
"Week","Week"
"What is this?","O que é isso?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance."
"Wrong %s specified.","Wrong %s specified."
"Wrong or empty billing amount specified.","Wrong or empty billing amount specified."
"Year","Ano"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
