"Action","Acão"
"Allow New Accounts via Social Sign-In","Permitir novas contas através de login social"
"Apple Service ID","ID de Serviço Apple"
"Connected Accounts","Contas conectadas"
"Connected On","Conectado em"
"Continue with Apple","Continuar com Apple"
"Continue with Facebook","Continue com o Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Crie um aplicativo no portal de desenvolvedor meta, habilite o login do Facebook para a Web e adicione o domínio da sua loja aos domínios permitidos."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Crie uma ID de serviço no portal do desenvolvedor da Apple. Registre o domínio da sua loja e adicione https://yourstore.com/customer/social/login como uma URL de retorno."
"Creating new accounts with social sign-in is not allowed. Please register first.","Criar novas contas com acesso social não é permitido. Por favor, registre-se primeiro."
"Customer Connected Accounts","Contas conectadas ao cliente"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Clientes se conectam com o botão de Serviços da Identidade Google. Crie um ID de Cliente OAuth no Console da Google Cloud e adicione a origem da sua loja para as origens JavaScript autorizadas."
"Email","e-mail"
"Enable Facebook Login","Habilitar login do Facebook"
"Enable Google One Tap","Habilitar Google One Tap"
"Enable Google Sign-In","Habilitar login do Google"
"Enable Sign in with Apple","Ativar o Login com Apple"
"Facebook App ID","ID App do Facebook"
"Facebook App Secret","Chave Segredo App Facebook"
"Failed Attempts Allowed per IP per Hour","Tentativas falhadas Permitidas por IP por hora"
"Google Client ID","ID do Cliente Google"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Quanto tempo uma entrada emitida permanece válida. Valores abaixo de 60 segundos são elevados para 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Quantas tentativas falhadas de acesso social um endereço IP pode fazer por hora. Defina 0 para desativar o limite."
"Invalid authentication token.","Token de autenticação inválido."
"Invalid form key. Please refresh the page and try again.","Chave de formulário inválida. Por favor, atualize a página e tente novamente."
"Linked Sign-In Providers","Provedores de Login vinculados"
"or","ou"
"Please complete the required fields of your profile.","Por favor, preencha os campos obrigatórios do seu perfil."
"Provider","Fornecedor"
"Provider Email","E-mail do provedor"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Mostra o prompt One Tap para retornar usuários do Google nas páginas de login e registro."
"Sign-in failed. Please try again later.","Falha ao entrar. Tente novamente mais tarde."
"Sign-In Nonce Lifetime (Seconds)","Tempo de Login em Nonce (Segundos)"
"Sign-in verification is temporarily unavailable. Please try again later.","A verificação de login está temporariamente indisponível. Tente novamente mais tarde."
"Social Login","Login social"
"The linked customer account no longer exists.","A conta de cliente vinculada não existe mais."
"The sign-in provider could not be unlinked.","O provedor de login não pode ser desvinculado."
"The sign-in provider has been unlinked.","O provedor de login foi desvinculado."
"This account is not active.","Esta conta não está ativa."
"This customer has no linked sign-in providers.","Este cliente não tem provedores de login vinculados."
"This sign-in method is not available.","Este método de login não está disponível."
"Too many attempts. Please try again later.","Muitas tentativas. Por favor, tente novamente mais tarde."
"Unknown sign-in provider.","Provedor de login desconhecido."
"Unlink","Desvincular"
"When disabled, only customers with an existing account can sign in with a social provider.","Quando desativado, somente clientes com uma conta existente podem fazer login com um provedor social."
"You can sign in with these connected providers.","Você pode fazer o login com estes provedores conectados."
"You have no connected sign-in providers.","Você não possui provedores de login conectados."
"Your account has been created.","Sua conta foi criada."
"Your sign-in attempt has expired. Please try again.","Sua tentativa de login expirou. Por favor, tente novamente."
