"* Required Fields","* Campos Obrigatórios"
"Auto Reply","Resposta Automática"
"Warning! Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","Aviso! Ativar essa função pode causar mensagens indesejadas a serem enviadas para pessoas cujos endereços de e-mail estão sendo usados abusivamente. Por favor, certifique-se de que você implementou medidas de segurança antes de ativar (por exemplo, CAPTCHA, HoneySpam)."
"Comment","Comente"
"Contact Form","Formulário de contato"
"Contact Form Auto Reply","Formulário de Contato Resposta Automática"
"Contact Information","Informações de Contato"
"Contact Us","Fale Conosco"
"Contact Us Form","Formulário de Contato"
"Contacts","Contatos"
"Email","E-mail"
"Email Options","Opções de e-mail"
"Email Sender","Remetente do e-mail"
"Email Template","Template de E-mail"
"Enable Contact Us","Habilitar 'Fale conosco'"
"Invalid Form Key. Please submit your request again.","Chave de Formulário Inválida. Por favor, envie sua solicitação novamente."
"Enable Auto Reply","Ativar Resposta Automática"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua dúvida foi enviada e será respondida o mais rápido possível. Obrigado por entrar em contato."
"Name","Nome"
"Send Emails To","Enviar E-mails para"
"Submit","Enviar"
"Telephone","Telefone"
"Unable to submit your request. Please try again later","Não é possível enviar sua solicitação. Tente novamente mais tarde."
