"Action","Acão"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Tem certeza que deseja restaurar esta versão? O conteúdo atual será salvo como uma nova versão primeiro."
"Back","Anterior"
"Blog module is not enabled.","Módulo Blog não está habilitado"
"Blog Post","Postagem do Blog"
"CMS Block","Bloco CMS"
"CMS Page","Página CMS"
"Content has been restored from version. The previous state was saved as a new version.","Conteúdo foi restaurado da versão. O estado anterior foi salvo como uma nova versão."
"Content Version History","Histórico de Versão"
"Content Versioning","Content Versioning"
"Date","Encontro"
"Delete versions older than this many days. Set to 0 for unlimited.","Exclua versões mais antigas do que esta quantidade de dias. Defina como 0 para ilimitado."
"Editor","Editores"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Número máximo de versões a manter por entidade. Ajuste para 0 para ilimitado."
"Max Version Age (Days)","Idade da Versão Máxima (Dias)"
"Max Versions Per Entity","Máximo de versões por entidade"
"No versions available. Versions are created when content is saved.","Não há versões disponíveis. Versões são criadas quando o conteúdo é salvo."
"No version specified.","Nenhuma versão especificada."
"Preview","Pré-visualizar"
"Restore","RESTAURAR"
"Snapshot Data","Dados de snapshot"
"Source entity not found.","Entidade de origem não encontrada."
"Version","Versão"
"Version %s","Versão %s"
"Version Details","Detalhes da versão"
"Version not found.","Versão não encontrada."
"Versions","Versões"
