"%s's Wishlist","Desejos de %s"
"%s - Discounts and Coupons","%s - Descontos e Cupons"
"%s - Special Products","%s - Produtos Especiais"
"%s has reached a quantity of %s.","%s atingiu a quantidade %s."
"%s RSS Feed","Feed RSS %s"
"Admin Catalog","Admin Catálogo"
"Admin Order","Ordem do administrador"
"Cannot retrieve the wishlist","Não foi possível recuperar a lista"
"Catalog","Catalogo"
"Category Feeds","Categoria Feeds"
"click <a href=""%s"">here</a> to view the review","clique em <a href=""%s"">aqui</a> para visualizar a revisão"
"Click for price","Clique para preço"
"Coupons/Discounts","Cupons/Descontos"
"Customer Name: %s","Nome do cliente: %s"
"Discount","desconto"
"Discount (%s)","Desconto (%s)"
"Enable RSS","Habilitar RSS"
"Error in processing xml. %s","Erro no processamento de xml. %s"
"From:","De:"
"Get Feed","Obter Feed"
"Gift Message","Mensagem do presente"
"Grand Total","Total geral"
"Low Stock Products","Produtos com estoque baixo"
"Message:","Mensagem:"
"Miscellaneous Feeds","Feeds Diversos"
"New Order Notification","Notificação de novo pedido"
"New Order Period (days)","Período do novo pedido (dias)"
"New Orders","Novos Pedidos"
"New Products","Novos produtos"
"New Products from %s","Novos produtos de %s"
"Order","Encomenda"
"Order #%s created at %s","Pedido #%s criado a %s"
"Pending product review(s)","Avaliação(ões) pendente(s) do produto"
"Product: ""%s"" review By: %s","Produto: ""%s""Revisão Por: %s"
"Product: <a href=""%s"">%s</a> <br>","Produto: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Produtos marcados com %s"
"Purchased From: %s","Comprado de: %s"
"Review: %s <br>","Avaliação: %s <br>"
"Review Notification","Notificação de revisão"
"Rss Config","Configuração de RSS"
"RSS Feeds","Feeds RSS"
"RSS Feeds List","Lista de RSS Feeds"
"Shipping &amp; Handling","Envio &amp; Manuseio"
"Special Products","Produtos Especiais"
"Stock Notification","Notificação de estoque"
"Store: %s <br>","Loja: %s <br>"
"Subtotal","Sub-total"
"Summary of review: %s <br>","Resumo da Avaliação: %s <br>"
"Tags Products","Tags de Produtos"
"Tax","Imposto"
"There are no Rss Feeds","Não há RSS Feeds"
"To:","Para:"
"Top Level Category","Categoria de nível superior"
"Wishlist","Favoritos"
