"-- Please Select --","-- Por favor selecione --"
"Account Created In Store","Conta criada na loja"
"Action","Acão"
"Active","ativo"
"Added to Cart Date","Adicionado à Data do Carrinho"
"Added to Wishlist Date","Adicionado à Data da Lista de Desejos"
"Add Email Step","Adicionar passo de e-mail"
"Add New Segment","Adicionar novo segmento"
"Address","Endereço"
"Address Information","Informação Endereço"
"Add Segment","Adicionar o segmento"
"Allow Overlapping Sequences","Permitir sequências sobrepostas"
"Allow starting new sequences while existing ones are still active for the same customer","Permitir iniciar novas sequências enquanto as já existentes ainda estiverem ativas para o mesmo cliente"
"Applied Promotion Rules","Aplicada Regras de Promoção"
"Are you sure?","Você tem certeza?"
"Are you sure you want to delete this sequence step?","Tem certeza que deseja excluir esta etapa da sequência?"
"Are you sure you want to refresh this segment?","Tem certeza de que deseja atualizar este segmento?"
"Assign to Website","Atribuir ao site"
"At least one email sequence is required when automation is enabled.","Pelo menos uma sequência de e-mail é necessária quando a automação está ativada."
"Automatic","Automático"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automático: Atualizado diariamente via cron. Manual: Deve ser atualizado manualmente."
"Average Days Between Orders","Média de dias entre pedidos"
"Average Order Value","Valor médio do pedido"
"Back to Segment","Voltar ao segmento"
"Base Row Total","Linha base total"
"Base Sales Rule","Regra de Vendas Base"
"Bundle Product","Pacote de Produto"
"Cart","Carrinho"
"Cart Created Date","Data da Criação do Carrinho"
"Cart Items","Itens do Carrinho"
"Cart Status","Situação do Carrinho"
"Cart Updated Date","Data da Atualização do Carrinho"
"Change status","Mudar Situação"
"Completed","Concluído"
"Conditions (leave blank for all customers)","Condições (deixe em branco para todos os clientes)"
"Configurable Product","Produto Configurável"
"Coupon expiration days","Dias de expiração do cupom"
"Coupon expiration days cannot be negative.","Dias de expiração do cupom não podem ser negativos."
"Coupon Generation Settings","Configurações de geração de cupom"
"Coupon Prefix","Prefixo do Cupom"
"Customer","Cliente"
"Customer ID is required.","ID do cliente é necessária."
"Customer Lifetime Value","Valor vitalício do cliente"
"Customer Personal Information","Dados Pessoais do Cliente"
"Customer Segment","Segmento de Clientes"
"Customer Since","Cliente desde"
"Customers in Segment","Clientes no Segmento"
"Customer Time-based","Tempo baseado no cliente"
"days","Dias"
"Days Inactive (No Login or Order)","Dias Inativos (Sem login ou pedido)"
"Days Since Added to Wishlist","Dias desde que foram adicionados à Lista de Desejos"
"Days Since First Order","Dias desde a primeira compra"
"Days Since Last Login","Dias desde a última conexão"
"Days Since Last Order","Dias desde a última compra"
"Days Since Last View","Dias desde a Última Visualização"
"Days Since Registration","Dias desde o registro"
"Days Until Birthday","Dias Até Aniversário"
"Days Without Purchase","Dias Sem Compra"
"Delay","Atraso"
"Delay (Minutes)","Atraso (Minutos)"
"Delay before sending","Atraso antes de enviar"
"Delay minutes cannot be negative.","Minutos de atraso não podem ser negativos."
"Delete","excluir"
"Delete Email Sequences","Excluir Sequências de E-mails"
"Delete Segment","Apagar Segmento"
"Delete Segments","Excluir Segmentos"
"Delete Step","Excluir passo"
"Disabled","Desabilitado"
"Downloadable Product","Produto para download"
"E-mails on Enter","E-mails ao entrar"
"E-mails on Exit","E-mails ao Sair"
"Edit","Alterar"
"Edit Email Sequence Step %d for ""%s""","Editar Sequência de Email Passo %d para ""%s"""
"Edit Segment","Editar Segmento"
"Edit Segment '%s'","Editar Segmento '%s'"
"Edit Sequence","Editar Sequência"
"Email Automation","Email Automation"
"Email Automation Settings","Configurações de automação de e-mail"
"Email Sequences","Sequências de e-mail"
"Email Template","Modelo De E-Mail"
"Enable/disable this sequence step","Ativar/desativar esta etapa sequencial"
