"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir para Convidados"
"An invalid email address for recipient was entered.","Um endereço de e-mail inválido foi inserido para o destinatário."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Back","Voltar"
"Catalog Product Email to a Friend","Catálogo Produto Email para um Amigo"
"Email Address","Endereço de e-mail"
"Email Address:","Endereço de e-mail:"
"Email Templates","Modelos de e-mail"
"Email to a Friend","Enviar por E-mail à um Amigo"
"Email:","E-mail:"
"Enabled","Habilitado"
"Invalid Sender Information","Informações inválidas do Remetente"
"Invalid sender email.","E-mail de remetente inválido."
"Limit Sending By","Limite de Envio por"
"Max Products Sent in 1 Hour","Máximo de produtos enviados em 1 hora"
"Max Recipients","Adicionar Destinatários"
"Maximum %d email addresses allowed.","Máximo %d endereços de e-mail permitido."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Não é possível enviar mais de %d e-mails de uma vez."
"Please define a correct Cookie instance.","Defina uma instância de Cookie correta."
"Please define a correct Product instance.","Defina uma instância de produto correta."
"Please define the correct Sender information.","Defina as informações de remetente corretas."
"Recipient:","Destinatário:"
"Remove Email","Remover e-mail"
"Select Email Template","Selecionar Template do E-mail"
"Send Email","Enviar e-mail"
"Send product to a friend","Enviar produto para um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns e-mails não foram enviados."
"The link to a friend was sent.","O link foi enviado para um amigo."
"The message cannot be empty.","A mensagem não pode ser vazia."
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser enviadas mais de %d vezes por hora"
"The sender name cannot be empty.","O nome do remetente não pode ser vazio."
"There were some problems with the data.","Houve alguns problemas com os dados."
"You have exceeded limit of %d sends in an hour","Você excedeu o limite de %d envios por hora"
