"Add","Adicionar"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanuméricos, caracteres de traço e sublinhado são recomendadas para nomes de arquivo. Caracteres impróprios são substituídos por '_'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"attachment","anexo"
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Data"
"Default Link Title","Título do Link padrão"
"Default Maximum Number of Downloads","Número máximo padrão de Downloads"
"Default Sample Title","Título de Amostra Pré-definido"
"Delete","Excluir"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout para Utilizadores Não Registrados se o Carrinho Contiver Itens com Download"
"Disable Sample","Disable Sample"
"download","baixar"
"Downloadable Information","Informações de Download"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Opções de produtos para download"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Excl. Impostos"
"File","Arquivo"
"File:","File:"
"From:","De:"
"Gift Message","Mensagem do presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","O checkout para utilizadores não registrados apenas funcionará com conteúdo partilhável."
"Incl. Tax","Imposto Incl."
"inline","inline"
"In stock","Em estoque"
"Invalid download link type.","Tipo de link do download inválido."
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid file path.","Invalid file path."
"Invoiced","Faturado"
"Links can be purchased separately","Links podem ser comprados separadamente"
"List","Lista"
"Max. Downloads","Máx. Downloads"
"Message:","Mensagem:"
"Move","Mover"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Meus produtos para download"
"Open Links in New Window","Abrir Links em nova janela"
"Order #","Pedido #"
"Ordered","Comprado"
"Order id cannot be null","Id de ordem não pode ser nulo"
"Order item id cannot be null","Item do Id do pedido não pode ser nulo"
"Order Item Status to Enable Downloads","Status do Item pedido para permitir Downloads"
"Out of stock","Fora de estoque"
"Pending","Pendente"
"Please log in to download your product.","Please log in to download your product."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please set resource file and link type.","Por favor, defina o arquivo de recurso e tipo de link."
"Please specify product link(s).","Por favor, especifique o(s) link(s) do produto."
"Price","Preço"
"Product downloadable links","Product downloadable links"
"Qty","Qtd"
"Refunded","Reembolsado"
"Remaining Downloads","Downloads Restantes "
"Remove","Remover"
"Remove Item","Remover Item"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Exemplo"
"sample","amostra"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Shareable","Compartilhável"
"Shipped","Enviado"
"SKU","Código de Produto:"
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpa, ocorreu um erro ao solicitar o conteúdo que desejava. Entre em contato com o dono da loja."
"Sort Order","Ordenação"
"Start Download","Iniciar Download"
"Status","Situação"
"Subtotal","Sub-total"
"The file does not exist.","The file does not exist."
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Update","Atualizar"
"URL:","URL:"
"Use Content-Disposition","Usar Disposição de Conteúdo"
"Use Default Value","Utilizar Valor Padrão"
"View Order","Visualizar pedido"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Você ainda não comprou qualquer produto para download."
