"Action","Handling"
"Allow New Accounts via Social Sign-In","Tillad nye konti via social indlogning"
"Apple Service ID","Apple Service ID"
"Connected Accounts","Tilsluttede Konti"
"Connected On","Tilsluttet Til"
"Continue with Apple","Fortsæt med Apple"
"Continue with Facebook","Fortsæt med Facebook"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Opret en app i Meta-udviklerportalen, aktivér Facebook-login til internettet, og tilføj dit butiksdomæne til de tilladte domæner."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Opret et tjeneste-id i Apple Developer portalen. Registrer dit butiksdomæne og tilføj https://yourstore.com/customer/social/login som en retur-URL."
"Creating new accounts with social sign-in is not allowed. Please register first.","Oprettelse af nye konti med socialt login er ikke tilladt. Registrer venligst først."
"Customer Connected Accounts","Kunde Tilsluttede Konti"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Kunder logger ind med Google Identity Services knappen. Opret et OAuth klient-id i Google Cloud-konsollen og tilføj din butiks oprindelse til de autoriserede JavaScript-oprindelser."
"Email","E-mail"
"Enable Facebook Login","Aktiver Facebook-login"
"Enable Google One Tap","Aktiver Google One Tap"
"Enable Google Sign-In","Aktiver Google Log Ind"
"Enable Sign in with Apple","Aktiver Log ind med Apple"
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Hemmelighed"
"Failed Attempts Allowed per IP per Hour","Mislykkede forsøg Tilladt per IP per time"
"Google Client ID","Google Klient ID"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Hvor længe en udstedt sign-in nonce forbliver gyldig. Værdier under 60 sekunder er hævet til 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Hvor mange mislykkede forsøg på social sign-in en IP-adresse kan lave per time. Sæt 0 for at deaktivere grænsen."
"Invalid authentication token.","Ugyldig godkendelses token."
"Invalid form key. Please refresh the page and try again.","Ugyldig formularnøgle. Opdater venligst siden og prøv igen."
"Linked Sign-In Providers","Tilknyttede Login-Udbydere"
"or","eller"
"Please complete the required fields of your profile.","Udfyld venligst de obligatoriske felter i din profil."
"Provider","Udbyder"
"Provider Email","Udbyder E-Mail"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Viser One Tap prompten for at returnere Google-brugere på login og registrere sider."
"Sign-in failed. Please try again later.","Log ind mislykkedes. Prøv igen senere."
"Sign-In Nonce Lifetime (Seconds)","Log Ind Ikke Livstid (Sekunder)"
"Sign-in verification is temporarily unavailable. Please try again later.","Login-in bekræftelse er midlertidigt utilgængelig. Prøv igen senere."
"Social Login","Social Login"
"The linked customer account no longer exists.","Den linkede kundekonto eksisterer ikke længere."
"The sign-in provider could not be unlinked.","Login-udbyderen kunne ikke afkobles."
"The sign-in provider has been unlinked.","Login-udbyderen er blevet afkoblet."
"This account is not active.","Denne konto er ikke aktiv."
"This customer has no linked sign-in providers.","Denne kunde har ingen linkede login-udbydere."
"This sign-in method is not available.","Denne login-metode er ikke tilgængelig."
"Too many attempts. Please try again later.","For mange forsøg. Prøv igen senere."
"Unknown sign-in provider.","Ukendt login-udbyder."
"Unlink","Afbryd"
"When disabled, only customers with an existing account can sign in with a social provider.","Når deaktiveret, kan kun kunder med en eksisterende konto logge ind med en social udbyder."
"You can sign in with these connected providers.","Du kan logge ind med disse forbundne udbydere."
"You have no connected sign-in providers.","Du har ingen forbundne login-udbydere."
"Your account has been created.","Din konto er blevet oprettet."
"Your sign-in attempt has expired. Please try again.","Dit login-forsøg er udløbet. Prøv venligst igen."
