"-- None --","-- Ingen --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Tilføjer aggregateRating (rating value and review count) og individuelle review nodes (reviewer name and review text) til produktet skemaet, når anmeldelser er aktiveret."
"Automatic (from Right of Withdrawal settings)","Automatisk (fra indstillingerne for tilbagetrækning)"
"Automatic emits a finite return window from the Right of Withdrawal settings when that feature is enabled, and nothing otherwise. Never advertise a policy the store does not honor.","Automatisk udsender et begrænset returvindue fra højre for Tilbagetrækning indstillinger, når denne funktion er aktiveret, og intet andet. Aldrig annoncere en politik butikken ikke ære."
"Brand Attribute","Mærke Attribut"
"Condition Attribute","Tilstand Attribut"
"Countries the return policy applies to. Leave empty to use the merchant country, or the shipping origin country when the merchant country is not set.","Lande som tilbagesendelsespolitikken gælder for. Lad feltet stå tomt for at bruge handelslandet eller det land, hvor handelslandet ikke er angivet."
"Customer Pays Return Shipping","Kunde Betaler Returforsendelse"
"Days between order and shipment. Both minimum and maximum are needed to emit handlingTime.","Dage mellem ordre og forsendelse. Både minimum og maksimum er nødvendige for at udlede håndteringstid."
"Days between shipment and delivery. Both minimum and maximum are needed to emit transitTime.","Dage mellem forsendelse og levering. Både minimum og maksimum er nødvendige for at udsende transitTime."
"Do Not Emit","Emit Ikke"
"Enable Structured Data","Aktiver Strukturerede Data"
"Finite Return Window","Afslut Vindue Tilbage"
"Flat shipping rate in base currency for the schema.org shippingDetails node. Leave empty to derive the rate from the active Flat Rate and Free Shipping carriers. Destination countries come from the carrier and store shipping country settings.","Fast forsendelsespris i basisvaluta for schema.org shippingDetaljer node. Lad være tom for at udlede satsen fra de aktive Flat Rate og Free Shipping carriers. Destinationslande kommer fra forsendelseslandet indstillinger og gemmer forsendelsesland."
"Free Return","Gratis Retur"
"GTIN Attribute","GTIN Attribut"
"Handling Time Maximum (days)","Håndteringstid Maksimum (dage)"
"Handling Time Minimum (days)","Håndteringstid Minimum (dage)"
"Include Ratings & Reviews","Inkludér Vurderinger Og Anmeldelser"
"Local Business","Lokal Virksomhed"
"MPN Attribute","MPN Attribut"
"Online Store","Online Butik"
"Organization","Organisation"
"Organization Type","Organisationstype"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Output <strong>JSON-LD strukturerede data</strong> efter schema.org og Googles krav, hvilket muliggør rige resultater for produkter, brødkrummer, organisationsinfo og webstedssøgning. Validér dine sider med <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Produktattribut med Global Trade Item Number (UPC/EAN/ISBN)."
"Product attribute holding the item condition (new, refurbished, used, damaged). Products without a value are emitted as new.","Produkt attribut holder elementet tilstand (ny, renoveret, brugt, beskadiget). Produkter uden værdi udledes som nye."
"Product attribute holding the Manufacturer Part Number.","Produktattribut med producentens delnummer."
"Product attribute used for the schema.org ""brand"" property.","Produktattribut brugt til schema.org ""brand"" egenskaben."
"Product Schema","Produkt Skema"
"Return at Kiosk","Tilbage i Kiosk"
"Return by Mail","Returnér via e-mail"
"Return Countries","Returlande"
"Return Fees","Returnér Gebyrer"
"Return in Store","Tilbage i butikken"
"Return Method","Returnering Metode"
"Return Policy","Returpolitik"
"Return Policy Type","Returpolitik Type"
"Returns Not Permitted","Returnering Ikke Tilladt"
"Return Window (days)","Returvindue (dage)"
"Shipping Details","Leverings Detaljer"
"Shipping Rate","Forsendelse Rate"
"Structured Data (schema.org)","Strukturerede Data (schema.org)"
"Transit Time Maximum (days)","Transit Tid Maksimum (dage)"
"Transit Time Minimum (days)","Transit Tid Minimum (Dage)"
"Unlimited Return Window","Ubegrænset Returvindue"
