"%s and greater","%s og større"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d vare(r)</strong> blev fundet ved hjælp af følgende søgekriterier"
"Advanced Search","Avanceret Søgning"
"Advanced Search Form","Avanceret Søgeformular"
"Advanced Search Result","Avanceret Søgeresultat"
"All","Alle"
"Applies for ""Like"" search type only.","Gælder kun for ""Like"" søgetype."
"Apply Layered Navigation if Search Results are Less Than","Anvend lagdelt navigation, hvis søgeresultaterne er mindre end"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribut indstilling ændring relateret til søgeindeks. Kør venligst <a href=""%s"">Genopbyg søgeindeks</a> -processen."
"Autogenerated Site Map","Autogenereret Site Map"
"Boost SKU Matches in Search Results","Boost SKU matcher i søgeresultater"
"Catalog Advanced Search","Katalog Avanceret Søgning"
"Catalog Search","Katalog Søgning"
"Catalog Search Index","Katalog Søgeindeks"
"Categories","Kategorier"
"Don't see what you're looking for?","Kan du ikke se, hvad du leder efter?"
"Enable Category Search in Autosuggest","Aktiver kategorisøgning i Autosuggest"
"Enter ""0"" to enable layered navigation for any number of results.","Angiv ""0"" for at aktivere lagdelt navigation for et vilkårligt antal resultater."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Gå til startside"
"Grid","Gitter"
"Home","Hjem"
"List","Liste"
"Maximum Categories in Autosuggest","Maksimum kategorier i Autosuggest"
"Maximum Query Length","Maksimal Forespørgselslængde"
"Maximum Query Words Count","Maksimalt Antal Forespørgselsord"
"Maximum Search query length is %s. Your query was cut.","Maksimal søgelængde er %s. Din forespørgsel blev klippet."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","Minimal Forespørgselslængde"
"Minimum Search query length is %s","Minimum søgelængde er %s"
"Modify your search","Ændre din søgning"
"No","Nej"
"No items were found using the following search criteria.","Ingen elementer blev fundet ved brug af følgende søgekriterier."
"Please specify at least one search term.","Angiv mindst et søgeord."
"Popular Search Terms","Populære Søgetermer"
"Products","Produkter"
"Quick Search Form","Hurtig Søgeformular"
"Rebuild Catalog product fulltext search index","Genopbyg Katalog produkt fuldtekst søgeindeks"
"Redirect to product page if search generates one result","Omdiriger til produktsiden, hvis søgning genererer et resultat"
"Relevance","Relevans"
"Results","Resultater"
"Search","Søg"
"Search:","Søg:"
"Search entire store here...","Søg i hele butikken her..."
"Search results for '%s'","Søgeresultater for '%s'"
"Search results for: '%s'","Søgeresultater for: '%s'"
"Search Settings","Indstillinger For Søg"
"Search Terms","Søg Vilkår"
"Search Type","Søg Type"
"Show Autocomplete Results Count","Vis Autofuldførelse Resultater Antal"
"Specified date is invalid.","Angivet dato er ugyldig."
"Subscribe to Feed","Abonnér på feed"
"up to %s","op til %s"
"View all %s results","Se alle %s resultater"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","Når aktiveret og SKU er søgbare, er produkter, der matcher af SKU boostet til toppen af søgeresultater."
"Yes","Ja"
"Your search returns no results.","Din søgning giver ingen resultater."
