"%s message(s) discarded.","%s besked(er) kasseret."
"%s message(s) re-queued.","%s besked igen i kø."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","%s besked(er) blev sprunget over: kun mislykkede eller fastgjorde beskeder uden en nyere kopi af deres dedupe nøgle kan hentes."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s kø besked(er) blev krævet af en arbejdstager der aldrig er færdig. De er ikke re-køen automatisk: <a href=""%s"">genprøv eller kassér dem</a>."
"0 keeps failed messages forever.","0 beholdt mislykkede beskeder for evigt."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 fjerner beskeder med det samme ved succes; en positiv værdi holder dem synlige i gitteret i disse mange dage."
"Action","Handling"
"Available","Tilgængelig"
"Available (UTC)","Tilgængelig (UTC)"
"Back","Tilbage"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Baggrundsbesked behandling. Maho cron holder en løsrevet ""kø:work"" arbejdstager kører per pool: en resident ""hurtig"" arbejdstager så korte job aldrig kø bag længe, plus en ""langsom"" fangst alle startede kun mens det har arbejde. Begge gengives inden for et minut, hvis de dør. Pools erklæres i config.xml under global/kø/puljer."
"Body (serialized)","Body (serialiseret)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Afsluttet"
"Discard","Kassér"
"Discard Messages","Kassér Beskeder"
"Each retry waits this many times longer than the previous one.","Hver genprøve venter dette mange gange længere end den foregående."
"Error","Fejl"
"Failed","Mislykkedes"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Mislykkede beskeder er genbehandlet dette mange gange med eksponentiel backoff, derefter markeret mislykkedes."
"ID","ID"
"Initial Retry Delay (seconds)","Første Forsøg Igen Forsinkelse (Sekunder)"
"Keep Completed Messages (days)","Behold Afsluttede Beskeder (Dage)"
"Keep Failed Messages (days)","Behold Mislykkede Beskeder (Dage)"
"Max Retries","Maks. Forsøg"
"Max Retry Delay (seconds)","Maks. Forsinkelse Prøv Igen (sekunder)"
"Message","Besked"
"Message #%s","Besked #%s"
"Message Class","Message Class"
"Message Details","Besked Detaljer"
"Message discarded.","Besked kasseret."
"Message not found.","Besked ikke fundet."
"Message Queue","Besked Kø"
"Message re-queued.","Besked re-kø."
"Pending","Afventer"
"Permanently delete the selected messages?","Slet de valgte beskeder permanent?"
"Permanently delete this message?","Slet denne besked permanent?"
"Processed (UTC)","Behandlet (UTC)"
"Processing","Behandler"
"Queue","Kø"
"Queued","I Kø"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Genkø de markerede beskeder?"
"Re-queue this message?","Genkø denne besked?"
"Retries","Forsøg"
"Retry","Forsøg igen"
"Retry Delay Multiplier","Forsøg Forsinkelse Multiplikator Igen"
"Retry Messages","Forsøg Beskeder Igen"
"Status","Status"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Beskeden blev ikke hentet: Kun mislykkede eller fastlåste beskeder uden en nyere kopi af deres dedupe nøgle kan hentes."
"Upper bound for the backoff. 0 means no bound.","Øvre grænse for backoff. 0 betyder ingen grænse."
"View","Vis"
"View Messages","Vis Beskeder"
