"Action","Handling"
"Activities","Aktiviteter"
"Activity Information","Aktivitet Information"
"Activity Log","Aktivitetslog"
"Activity log entry not found","Aktivitetslogindtastning ikke fundet"
"Admin Activity Log","Admin Aktivitetslog"
"Back","Tilbage"
"Configuration","Konfiguration"
"Create","Opret"
"CSV","CSV"
"Date/Time","Dato/Tid"
"Days to Keep Logs","Dage til at beholde logfiler"
"Delete","Slet"
"Enable Admin Activity Log","Aktiver Admin Aktivitetslog"
"Entity","Enhed"
"Entity Type","Enhedstype"
"Excel XML","Excel XML"
"Failed","Mislykkedes"
"Failure Reason","Fejl Årsag"
"General Settings","Generelle Indstillinger"
"ID","ID"
"IP Address","Ip Adresse"
"Log Delete Actions","Log Slet Handlinger"
"Log Failed Login Attempts","Log Mislykkedes Login Forsøg"
"Login","Login"
"Login Activity","Log Ind Aktivitet"
"Log Login/Logout Activity","Log Log Ind/Log Ud-Aktivitet"
"Log Mass Actions","Log Massehandlinger"
"Logout","Log Ud"
"Log Page Visits","Log Sidebesøg"
"Log Save Actions","Log Gem Handlinger"
"Number of days to keep activity logs. Set to 0 to keep forever.","Antal dage der skal opbevares aktivitetslogs. Sæt til 0 for at holde for evigt."
"Request URL","Anmod Om URL"
"Status","Status"
"Success","Succes"
"System","System"
"Type","Type"
"Update","Opdater"
"URL","URL"
"Username","Brugernavn"
"View","Vis"
"View Activity Log","Vis Aktivitetslog"
"View Activity Log Entry #%s","Vis Aktivitetslog Indgang #%s"
"View Login Activity","Se Login Aktivitet"
