"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Tilføj Ny Bedømmelse"
"Assigned Options","Tildelte Indstillinger"
"Be the first to review this product","Vær den første til at anmelde dette produkt"
"Default Value","Standard Værdi"
"Delete Rating","Slet Bedømmelse"
"Edit Rating","Rediger Bedømmelse"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Hvis du ikke angiver en rating titel for en butik, vil standardværdien blive brugt."
"Manage Ratings","Administrer Vurderinger"
"New Rating","Ny Bedømmelse"
"Option Label","Valgmulighed Etiket"
"Option Title","Valgmulighed Titel"
"Option Title:","Valgmulighed Titel:"
"Please select one of each ratings above","Vælg en af hver bedømmelse ovenfor"
"Rating Information","Bedømmelse Information"
"Rating isn't Available","Bedømmelse er ikke tilgængelig"
"Rating Name","Bedømmelse Navn"
"Rating Title","Vurdering Titel"
"Rating Visibility","Bedømmelse Synlighed"
"Rating with the same title","Bedømmelse med samme titel"
"Save Rating","Gem Bedømmelse"
"Sort Order","Sortér Ordre"
"Visible In","Synlig Ind"
