"%s's Wishlist","%s's ønskeseddel"
"%s - Discounts and Coupons","%s - Rabatter og rabatkoder"
"%s - Special Products","%s - Specielle Produkter"
"%s has reached a quantity of %s.","%s har nået et antal på %s."
"%s RSS Feed","%s RSS Feed"
"Admin Catalog","Admin Katalog"
"Admin Order","Administrator Ordre"
"Cannot retrieve the wishlist","Kan ikke hente ønskelisten"
"Catalog","Katalog"
"Category Feeds","Kategori Feeds"
"click <a href=""%s"">here</a> to view the review","klik på <a href=""%s"">her</a> for at se anmeldelsen"
"Click for price","Klik for pris"
"Comment: %s<br>","Kommentar: %s<br>"
"Coupons/Discounts","Kuponer/Rabatter"
"Current Status: %s<br>","Nuværende Status: %s<br>"
"Customer Name: %s","Kunde Navn: %s"
"Customer Order Notification","Notifikation Om Kundens Ordre"
"Customer Order Status Notification","Underretning Om Kundens Ordrestatus"
"Details for %s #%s","Detaljer for %s #%s"
"Discount","Rabat"
"Discount (%s)","Rabat (%s)"
"Enable RSS","Aktiver RSS"
"Enabling can increase security risk by exposing some order details.","Aktivering kan øge sikkerhedsrisikoen ved at udsætte nogle ordredetaljer."
"Error in processing xml. %s","Fejl i behandling af xml. %s"
"From:","Fra:"
"Get Feed","Hent Feed"
"Gift Message","Gave Besked"
"Grand Total","Total"
"Low Stock Products","Produkter Med Lavt Lager"
"Message:","Besked:"
"Miscellaneous Feeds","Diverse Feeds"
"New Order Notification","Ny Ordre Notifikation"
"New Order Period (days)","Ny Ordreperiode (dage)"
"New Orders","Nye Ordrer"
"New Products","Nye Produkter"
"New Products from %s","Nye produkter fra %s"
"Notified Date: %s<br>","Anmeldt Dato: %s<br>"
"Order","Ordre"
"Order #%s created at %s","Ordre #%s oprettet hos %s"
"Order # %s Notification(s)","Ordre # %s Notifikation(er)"
"Pending product review(s)","Afventende produktanmeldelse(r)"
"Product: ""%s"" review By: %s","Produkt: ""%s"" anmeldelse Af: %s"
"Product: <a href=""%s"">%s</a> <br>","Produkt: <a href=""%s"">%s</a> <br>"
"Products tagged with %s","Produkter med etiketten %s"
"Purchased From: %s","Købt Fra: %s"
"Review: %s <br>","Anmeldelse: %s <br>"
"Review Notification","Anmeldelse Af Gennemgang"
"Rss Config","Rss Konfiguration"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","RSS Feeds Liste"
"Shipping &amp; Handling","Forsendelse &amp; Håndtering"
"Special Products","Særlige Produkter"
"Stock Notification","Underretning Om Lager"
"Store: %s <br>","Butik: %s <br>"
"Subtotal","Subtotal"
"Summary of review: %s <br>","Oversigt over gennemgang: %s <br>"
"Tags Products","Tags Produkter"
"Tax","Moms"
"There are no Rss Feeds","Der er ingen RSS-feeds"
"To:","Til:"
"Top Level Category","Top Niveau Kategori"
"Total: %s<br>","Total: %s<br>"
"Wishlist","Ønskeliste"
