"Abandoned Carts","Forladte Kurve"
"Abandoned carts","Forladte indkøbskurve"
"Action","Handling"
"Add to Cart","Føj til kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Tilføj til ønskeseddel"
"All Time","Al Tid"
"Any","Alle"
"Applied Coupon","Anvendt Kupon"
"Applies to Any of the Specified Order Statuses","Gælder for enhver af de angivne ordrestatusser"
"Are you sure?","Er du sikker?"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Er du sikker på, at du vil opdatere livstidsstatistikker? Der kan være ydelseseffekt under denne operation."
"Avg. Approved Rating","Gennemsnitlig Godkendt Vurdering"
"Avg. Rating","Gns. Bedømmelse"
"Bestsellers","Bestsellers"
"Bestsellers Grid Template","Bestsellers Gitterskabelon"
"Bestsellers Images and Names Template","Bestsellers Billeder og Navne Skabelon"
"Bestsellers Images Only Template","Kun Skabelon Til Bestseller-Billeder"
"Bestsellers List Template","Bestsellers Liste Skabelon"
"Bestsellers Names Only Template","Kun Navne På Bestsellers Skabelon"
"Carts","Kurve"
"Catalog Category (Without Subcategories)","Katalog Kategori (Uden Underkategorier)"
"Compared Product Images Only Template","Sammenlignede Produkt Billeder Kun Skabelon"
"Compared Product Names Only Template","Sammenlignede Produktnavne Kun Skabelon"
"Compared Products Grid Template","Sammenlignede Produkter Gitterskabelon"
"Compared Products Images and Names Template","Sammenlignede produkter Billeder og Navne Skabelon"
"Compared Products List Template","Sammenlignede Produkter Liste Skabelon"
"Coupons","Kuponer"
"Coupons Usage Report","Rabatkoder Brug Rapport"
"Created At","Oprettet Den"
"CSV","CSV"
"Current Month Starts","Denne Måned Starter"
"Customer","Kunde"
"Customer Name","Kunde Navn"
"Customers","Kunder"
"Customers by Number of Orders","Kunder efter antal ordrer"
"Customers by number of orders","Kunder efter antal ordrer"
"Customers by Orders Total","Kunder efter ordrer i alt"
"Customers by orders total","Kunder efter ordrer i alt"
"Customers Report","Kunder Rapport"
"Customers Reviews","Kunder Anmeldelser"
"Customers Tags","Kunder Tags"
"Customer Tags","Kunde Tags"
"Dashboard","Instrumentbræt"
"Day","Dag"
"Default Recently Compared Products Count","Standard For Nyligt Sammenlignede Produkter Antal"
