"-- Please Select --","-- Vælg Venligst --"
"0 = never expires. Can be overridden per product.","0 = udløber aldrig. Kan tilsidesættes pr. produkt."
"Action","Handling"
"Active","Aktiv"
"Add a message...","Tilføj en besked..."
"Add New Gift Card","Tilføj Nyt Gavekort"
"Admin Comment","Admin Kommentar"
"Allow Gift Message","Tillad Gave Besked"
"Allow Message","Tillad Besked"
"All Websites","Alle Websteder"
"Amount","Beløb"
"Amount Range","Beløb Område"
"An error occurred. Please try again.","Der opstod en fejl. Prøv venligst igen."
"Applied Gift Cards:","Anvendte Gavekort:"
"Apply","Anvend"
"Apply Gift Card","Anvend Gavekort"
"Applying...","Anvender..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo Efter"
"Balance Before","Saldo Før"
"Can be overridden per product.","Kan tilsidesættes pr. produkt."
"Cannot apply gift card.","Kan ikke anvende gavekort."
"Cannot remove gift card.","Kan ikke fjerne gavekort."
"Card Type","Kort Type"
"Check","Tjek"
"Check Balance","Tjek Saldo"
"Checking...","Kontrollerer..."
"Code","Kode"
"Code Length","Kode Længde"
"Code Prefix (e.g., GC)","Kode Præfiks (f.eks. GC)"
"Comma-separated values (e.g., 25,50,100)","Kommaseparerede værdier (f.eks. 25,50,100)"
"Created","Oprettet"
"Created %d gift card product(s): %s","Lavet %d gavekort produkt(er): %s"
"Created At","Oprettet Den"
"Create Gift Card Products","Opret Gavekort Produkter"
"Current Balance","Nuværende Saldo"
"Custom Amount","Tilpasset Beløb"
"Date","Dato"
"Default: %s","Standard: %s"
"Default Expiry (days)","Standard Udløbsdato (dage)"
"Delete","Slet"
"Delete Gift Card","Slet Gavekort"
"Disabled","Deaktiveret"
"Edit","Rediger"
"Edit Gift Card '%s'","Rediger Gavekort '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Redigér dette for manuelt at justere balancen. Brug ""Admin kommentar"" for at forklare justeringen."
"Email Sender","E-Mail Afsender"
"Email Settings","Email Indstillinger"
"Email Template","Email Skabelon"
"Enable Gift Cards","Aktiver Gavekort"
"Enter gift card code","Indtast gavekort kode"
"Error generating gift card PDF: %s","Fejl under generering af gavekort PDF: %s"
"Expired","Udløbet"
"Expires","Udløber"
"Expires At","Udløber Ved"
"Fixed + Range","Fast + Område"
"Fixed Amount(s)","Fast Beløb"
"Fixed Amounts","Faste Beløb"
"From","Fra"
"From:","Fra:"
"Gift Card","Gavekort"
"Gift card ""%s"" has been fully used.","Gavekort ""%s"" er fuldt brugt."
"Gift card ""%s"" has expired.","Gavekort ""%s"" er udløbet."
"Gift card ""%s"" is already applied.","Gavekort ""%s"" er allerede anvendt."
"Gift card ""%s"" is not active.","Gavekort ""%s"" er ikke aktiv."
"Gift card ""%s"" is not valid.","Gavekort ""%s"" er ikke gyldigt."
"Gift card ""%s"" is not valid for this website.","Gavekort ""%s"" er ikke gyldig for denne hjemmeside."
"Gift card ""%s"" was applied.","Gavekort ""%s"" blev anvendt."
"Gift card amount cannot be less than %s","Gavekort beløb kan ikke være mindre end %s"
"Gift card amount cannot be more than %s","Gavekort beløb kan ikke være mere end %s"
"Gift Card Code","Gavekort Kode"
"Gift Card History","Gavekort Historik"
"Gift Card Information","Gavekort Information"
"Gift card not found.","Gavekort ikke fundet."
"Gift Card Notification Email","Gavekort Notifikation E-Mail"
"Gift Card Options","Gavekort Indstillinger"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Gavekort produkter kan ikke tilføjes, når et gavekort kode anvendes. Fjern venligst gavekort koden først."
"Gift Cards","Gavekort"
"Gift cards cannot be used to purchase gift card products.","Gavekort kan ikke bruges til at købe gavekort produkter."
"Gift Cards Configuration","Konfiguration Af Gavekort"
"Gift Card Transaction History","Gavekort Transaktion Historik"
"Gift card was removed.","Gavekort blev fjernet."
"Gift Certificates","Gavekort"
"Inactive","Inaktiv"
"Initial Balance","Oprindelig Saldo"
"Invalid form key. Please refresh the page and try again.","Ugyldig formularnøgle. Opdater venligst siden og prøv igen."
"Invalid gift card code.","Ugyldig gavekort kode."
"Invalid request.","Ugyldig anmodning."
"Leave blank for immediate delivery","Efterlad blank for umiddelbar levering"
"Leave empty to use system default. 0 = never expires.","Efterlad blank for at bruge systemets standard. 0 = udløber aldrig."
"Lifetime (days)","Levetid (dage)"
"Lost cards not replaced","Mistede kort er ikke erstattet"
"Manage Gift Cards","Administrer Gavekort"
"Maximum Amount","Maksimal Beløb"
"Message:","Besked:"
"Minimum Amount","Minimum Beløb"
"New Gift Card","Nyt Gavekort"
"Not redeemable for cash","Ikke indløst for kontanter"
"Optional","Valgfri"
"Order #","Ordre #"
"Order History","Ordre Historik"
"Other Amount","Andre Beløb"
"Personal Message","Personlig Besked"
"Please enter a gift card code.","Indtast venligst en gavekort-kode."
"Please select a valid gift card amount","Vælg venligst et gyldigt gavekort beløb"
"Please select gift card(s).","Vælg gavekort."
"Price varies","Prisen varierer"
"Print PDF","Print PDF"
"QR Code & Barcode","QR Code & Barcode"
"Recipient Email","Modtager E-Mail"
"Recipient Name","Modtager Navn"
"Refund Expiration Extension (days)","Refundering Udløbsforlængelse (dage)"
"Refund to Gift Card","Tilbagebetaling til gavekort"
"Remove","Fjern"
"Save And Continue Edit","Gem Og Fortsæt Redigering"
"Save Gift Card","Gem Gavekort"
"Schedule Delivery","Planlæg Levering"
"Select Amount","Vælg Beløb"
"Send Email","Send E-Mail"
"Send gift card email to %s?","Send gavekort e-mail til %s?"
"Show Barcode (Code128)","Show Barcode (Code128)"
"Show QR Code","Show QR Code"
"Status","Status"
"The gift card has been deleted.","Gavekort er blevet slettet."
"The gift card has been saved.","Gavekortet er gemt."
"This gift card no longer exists.","Dette gavekort eksisterer ikke længere."
"This is a required field.","Dette er et obligatorisk felt."
"To","Til"
"Too many attempts. Please wait a moment and try again.","For mange forsøg. Vent et øjeblik og prøv igen."
"Total: %s","Total: %s"
"Unable to check balance.","Kan ikke tjekke saldoen."
"Unable to find a gift card to delete.","Kan ikke finde et gavekort at slette."
"Unknown","Ukendt"
"Updated At","Opdateret Den"
"Used","Brugt"
"Use Default (%s)","Brug Standard (%s)"
"View","Vis"
"Website","Hjemmeside"
"When refunding to an expired gift card, extend expiration by this many days. 0 = no extension (card stays expired but balance is restored).","Ved tilbagebetaling til et udløbet gavekort, forlænges udløb med disse mange dage. 0 = ingen forlængelse (kortet forbliver udløbet, men saldoen genoprettes)."
"Your Email","Din E-Mail"
"Your Name","Dit Navn"
