"-- Please Select --","-- Vælg Venligst --"
"Account Created In Store","Konto Oprettet I Butik"
"Action","Handling"
"Active","Aktiv"
"Added to Cart Date","Føjet til Indkøbskurv Dato"
"Added to Wishlist Date","Tilføjet til ønskeseddel dato"
"Add Email Step","Tilføj E-Mail Trin"
"Add New Segment","Tilføj Nyt Segment"
"Address","Adresse"
"Address Information","Adresse Information"
"Add Segment","Tilføj Segment"
"Allow Overlapping Sequences","Tillad Overlappende Sekvenser"
"Allow starting new sequences while existing ones are still active for the same customer","Tillad start af nye sekvenser, mens eksisterende er stadig aktive for den samme kunde"
"Applied Promotion Rules","Anvendte Kampagneregler"
"Are you sure?","Er du sikker?"
"Are you sure you want to delete this sequence step?","Er du sikker på, at du vil slette dette sekvenstrin?"
"Are you sure you want to refresh this segment?","Er du sikker på, at du vil opdatere dette segment?"
"Assign to Website","Tildel til hjemmeside"
"At least one email sequence is required when automation is enabled.","Mindst én e-mailsekvens er påkrævet, når automatisering er aktiveret."
"Automatic","Automatisk"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatisk: Refreshed dagligt via cron. Manual: Skal opdateres manuelt."
"Average Days Between Orders","Gennemsnitlig Dage Mellem Ordrer"
"Average Order Value","Gennemsnitlig Ordreværdi"
"Back to Segment","Tilbage til Segment"
"Base Row Total","Basis Række I Alt"
"Base Sales Rule","Grundlæggende Salgsregel"
"Bundle Product","Bundt Produkt"
"Cart","Kurv"
"Cart Created Date","Indkøbskurv Oprettet Dato"
"Cart Items","Indkøbskurv Varer"
"Cart Status","Indkøbskurv Status"
"Cart Updated Date","Indkøbskurv Opdateret Dato"
"Change status","Skift status"
"Completed","Afsluttet"
"Conditions (leave blank for all customers)","Betingelser (lad være tom for alle kunder)"
"Configurable Product","Konfigurerbart Produkt"
"Coupon expiration days","Kupon udløbsdage"
"Coupon expiration days cannot be negative.","Kupon udløbsdage kan ikke være negative."
"Coupon Generation Settings","Indstillinger For Kupon Generering"
"Coupon Prefix","Kupon Præfiks"
"Customer","Kunde"
"Customer ID is required.","Kunde ID er påkrævet."
"Customer Lifetime Value","Kunde Levetid Værdi"
"Customer Personal Information","Kunde Personlige Oplysninger"
"Customer Segment","Kunde Segment"
"Customer Since","Kunde Siden"
"Customers in Segment","Kunder i segmentet"
"Customer Time-based","Kunde Tidsbaseret"
"days","dage"
"Days Inactive (No Login or Order)","Dage inaktiv (ingen login eller ordre)"
