"Action","Handling"
"Add Sitemap","Tilføj Sitemap"
"Always","Altid"
"Categories Options","Kategorier Indstillinger"
"CMS Pages Options","Indstillinger For Cms Sider"
"Daily","Dagligt"
"Do not show in sitemap","Vis ikke i sitemap"
"Edit Sitemap","Rediger Sitemap"
"Enabled","Aktiveret"
"Error Email Recipient","Fejl E-Mail Modtager"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fejl E-Mail Skabelon"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kan ikke gemmes. Sørg for, at mappen ""%s"" er skrivbar for webserveren."
"Filename","Filnavn"
"Frequency","Frekvens"
"Generate","Generer"
"Generation Settings","Indstillinger For Generering"
"Google Sitemap","Google Sitemap"
"Hourly","Time"
"ID","ID"
"Include Images","Inkluder Billeder"
"Last Time Generated","Sidst Genereret"
"Link for Google","Link til Google"
"Maximum URLs per Sitemap File","Maksimum URL'er pr. Sitemap fil"
"Monthly","Månedligt"
"Never","Aldrig"
"New Sitemap","Ny Sitemap"
"Path","Sti"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Opret venligst den angivne mappe ""%s"" i din offentlige mappe, før du gemmer sitemap."
"Please define correct path","Definér venligst korrekt sti"
"Please enter a sitemap name with at most %s characters.","Angiv venligst et sitemap navn med højst %s tegn."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Sørg for, at ""%s"" i din offentlige mappe er skrivbar af web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Brug kun bogstaver (a-z eller A-Z), tal (0-9) eller understregningstegn (_) i filnavnet. Ingen mellemrum eller andre tegn er tilladt."
"Priority","Prioritet"
"Products Options","Produkter Indstillinger"
"Show lastmod","Show lastmod"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap generere advarsler"
"Split sitemap files when they exceed this number of URLs","Opdel sitemap filer, når de overstiger dette antal URL'er"
"Start Time","Start Tid"
"Store View","Butik Visning"
"The priority must be between 0 and 1.","Prioriteten skal være mellem 0 og 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" er blevet genereret."
"The sitemap has been deleted.","Sitemap er blevet slettet."
"The sitemap has been saved.","Sitemap er blevet gemt."
"This sitemap no longer exists.","Dette sitemap eksisterer ikke længere."
"Unable to find a sitemap to delete.","Kan ikke finde et sitemap at slette."
"Unable to find a sitemap to generate.","Kan ikke finde et sitemap at generere."
"Unable to generate the sitemap.","Kan ikke generere sitemap."
"Valid values range: from 0.0 to 1.0.","Gyldige værdier: fra 0,0 til 1,0."
"Weekly","Ugentlig"
"Yearly","Årligt"
