"and %s more posts","og %s flere indlæg"
"and %s more products, listed in the XML sitemap","og %s flere produkter, listet i XML sitemap"
"Attribute","Attribut"
"Availability","Tilgængelighed"
"Backorder","Backorder"
"Blog","Blog"
"Brand","Mærke"
"Cache Lifetime (seconds)","Cache Levetid (sekunder)"
"Description","Varebeskrivelse"
"Enabled","Aktiveret"
"from %s to %s","fra %s til %s"
"Image","Billede"
"Images","Billeder"
"In stock","På lager"
"Limited availability","Begrænset tilgængelighed"
"Markdown for AI agents","Markdown for AI-agenter"
"Not Found","Ikke Fundet"
"One route prefix per line, as module/controller/action. Only these pages get a markdown version. A route needs a renderer declared under global/contentnegotiation/renderers in a config.xml.","Et rutepræfiks pr. linje, som modul/controller/handling. Kun disse sider får en markdown version. En rute skal have en renderer erklæret under global/contentnegotiation/renderers i en config.xml."
"Options","Indstillinger"
"Out of stock","Ikke på lager"
"Price","Pris"
"Product","Produkt"
"Products","Produkter"
"Published","Publiceret"
"regular price %s","regelmæssig pris %s"
"Routes","Ruter"
"Serves a markdown version of a page when the request sends <code>Accept: text/markdown</code> or when the URL ends with <code>.md</code>. Browsers keep the HTML page. HTML pages announce the markdown version with a <code>Link</code> header.","Serverer en markdown version af en side, når anmodningen sender <code>Accepter: text/markdown</code> eller når URL'en slutter med <code>. d</code>. Browsere beholder HTML-siden. HTML-sider annoncerer markdown versionen med en <code>Link</code> header."
"Specifications","Specifikationer"
"Subcategories","Underkategorier"
"The markdown is cached with the Blocks HTML output cache. A product, category, page or post save clears its entry. 0 disables the cache.","Markdown er cachet med Blokerer HTML-output cache. Et produkt, kategori, side eller post gemmer rydder sin indgang. 0 deaktiverer cachen."
"There are no posts yet.","Der er ingen indlæg endnu."
"There are no products in this category.","Der er ingen produkter i denne kategori."
"This page has no markdown version.","Denne side har ingen markdown version."
"Value","Værdi"
