"Account Number","Kontonr."
"Container ID","Container ID"
"Enable","Aktiver"
"Enable GA4 Debug Real Time view for Development IP.","Aktiver GA4 Debug Real Time visning til Udvikling IP"
"Enable GA4 User_id tracking for logged in customers.","Aktiver GA4 User_id sporing for kunder der er logget ind."
"Facebook Meta Pixel","Facebook Meta Pixel"
"Google Analytics","Google Analytics"
"Google Analytics 4","Google Analytics 4"
"Google API","Google API"
"Google Tag Manager","Google Tag Manager"
"Meta Pixel ID","Meta Pixel ID"
"Type","Type"
"User ID tracking","Bruger ID sporing"
