"-- All Categories --","-- Alle Kategorier --"
"-- Top Level --","-- Topniveau --"
"-- Use System Default --","-- Brug Systemets Standard --"
"86400 by default, if not set. Saving a post refreshes it.","86400 som standard, hvis ikke angivet. Gemmer et indlæg opdaterer det."
"A category with URL key ""%s"" already exists under the same parent.","En kategori med URL-nøgle ""%s"" findes allerede under den samme overordnede kategori."
"Add Category","Tilføj Kategori"
"Add Post","Tilføj Indlæg"
"Blog","Blog"
"Blog Categories","Blog Kategorier"
"Blog Category","Blog Kategori"
"Blog Post","Blog Indlæg"
"Blog Post API","Blog Indlæg API"
"Blog Posts","Blog Indlæg"
"Blog Posts Grid Template","Blog Indlæg Gitter Skabelon"
"Blog Recent Posts","Blog Seneste Indlæg"
"Cache Lifetime (Seconds)","Cache Levetid (sekunder)"
"Categories","Kategorier"
"Category","Kategori"
"Category Information","Kategori Information"
"Category Posts","Kategori Indlæg"
"Category URL Prefix","Kategori Url Præfiks"
"Category was successfully deleted","Kategori blev slettet"
"Category was successfully saved","Kategori blev gemt"
"Create blog post","Opret blogindlæg"
"Create new post","Opret nyt indlæg"
"Delete Category","Slet Kategori"
"Delete Post","Slet Indlæg"
"Delete post","Slet indlæg"
"Edit Category","Rediger Kategori"
"Edit Category '%s'","Rediger Kategori '%s'"
"Edit Post","Rediger Indlæg"
"Edit Post '%s'","Rediger Indlæg '%s'"
"Enable Blog Search in Autosuggest","Aktiver blogsøgning i Autosuggest"
"Enable Categories","Aktiver Kategorier"
"General","Generelt"
"General Information","Generel Information"
"Get post info","Hent indlæg info"
"Get post list","Hent postliste"
"Include Images","Inkluder Billeder"
"Level","Niveau"
"Maximum Blog Posts in Autosuggest","Maksimum blogindlæg i Autosuggest"
"Meta Information","Meta Information"
"Meta Title","Meta Titel"
"New Category","Ny Kategori"
"New Post","Nyt Indlæg"
"Number of Posts to Display","Antal indlæg der skal vises"
"Parent Category","Overordnet Kategori"
"Please select category(s)","Vælg venligst kategori(er)"
"Please select post(s)","Vælg venligst indlæg"
"Position","Placering"
"Post Categories","Indlæg Kategorier"
"Post Content","Indlæg Indhold"
"Post Information","Indlæg Information"
"Posts","Indlæg"
"Posts in this category and its subcategories. Leave empty for all posts.","Indlæg i denne kategori og dens underkategorier. Efterlad blank for alle indlæg."
"Posts per Page","Indlæg pr. side"
"Post was successfully deleted","Indlægget blev slettet"
"Post was successfully saved","Indlægget blev gemt"
"Publishing Date","Publicering Dato"
"Remove blog post","Fjern blogindlæg"
"Retrieve blog post info","Hent blog indlæg info"
"Retrieve blog posts","Hent blogindlæg"
"Save Category","Gem Kategori"
"Save Post","Gem Indlæg"
"Show in Navigation","Vis i Navigation"
"Shown above the posts. Leave empty for no title.","Vist over indlæggene. Efterlad blank for ingen titel."
"Template","Skabelon"
"The latest published blog posts, optionally from one category","De seneste offentliggjorte blogindlæg, eventuelt fra en kategori"
"There are no blog posts in this category.","Der er ingen blogindlæg i denne kategori."
"There are no blog posts to display.","Der er ingen blogindlæg at vise."
"This category no longer exists.","Denne kategori eksisterer ikke længere."
"This post no longer exists.","Dette indlæg eksisterer ikke længere."
"Title","Titel"
"Total of %d category(s) were deleted","Total af %d kategori(er) blev slettet"
"Total of %d post(s) were deleted","Total af %d indlæg blev slettet"
"Update blog post","Opdater blogindlæg"
"Update post","Opdater indlæg"
"URL Prefix","Url Præfiks"
