"%s %s cycle.","%s %s cyklus."
"%s (unavailable)","%s (utilgængelig)"
"* Required Fields","* Obligatoriske Felter"
"--Please Select--","--Vælg Venligst"
"3D Secure Card Validation","3D Secure Card Validering"
"<label>Make Check payable to:</label> %s","<label>Gør Check til betaling til:</label> %s"
"Action","Handling"
"Add New Restriction","Tilføj Ny Begrænsning"
"Allow Initial Fee Failure","Tillad Indledende Gebyr Fejl"
"An internal reference ID is required to save the payment profile.","Et internt reference-ID er påkrævet for at gemme betalingsprofilen."
"Apply the restriction only if the following conditions are met (leave blank for all)","Anvend kun begrænsningen, hvis følgende betingelser er opfyldt (lad være blank for alle)"
"Are you sure?","Er du sikker?"
"Authorize action is not available.","Godkend handling er ikke tilgængelig."
"Auto Bill on Next Cycle","Automatisk regning på næste cyklus"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatisk regning det udestående saldo beløb i den næste fakturering cyklus (hvis der var mislykkede betalinger)."
"Automatically Invoice All Items","Faktura Automatisk Alle Elementer"
"Bank Transfer Payment","Betaling For Bankoverførsel"
"Billing Agreement status is not set.","Faktureringsaftale status er ikke angivet."
"Billing Amount","Faktureringsbeløb"
"Billing Frequency","Fakturering Frekvens"
"Billing Period","Faktureringsperiode"
"Billing Period Unit","Faktureringsperiode Enhed"
"Billing period unit is not defined or wrong.","Faktureringsperiode enhed er ikke defineret eller forkert."
"Cannot retrieve the payment info model object.","Kan ikke hente betalingsinfo model objekt."
"Cannot retrieve the payment information object instance.","Kan ikke hente betalingsmåden objekt instans."
"Cannot retrieve the payment method code.","Kan ikke hente betalingsmetodens kode."
"Cannot retrieve the payment method model object.","Kan ikke hente betalingsmetode model objekt."
"Capture action is not available.","Optagelseshandling er ikke tilgængelig."
"Card Verification Number","Kort Verifikationsnummer"
"Cart Attribute","Egenskab For Indkøbskurv"
"Cash On Delivery Payment","Kontant På Leveringsbetaling"
"Change status","Skift status"
"Check / Money Order","Check / Pengeordre"
"Conditions","Betingelser"
"Conditions Combination","Betingelser Kombination"
"Countries","Lande"
"Created At","Oprettet Den"
"Credit Card Number","Kreditkort Nummer"
"Credit card number mismatch with credit card type.","Kreditkortnummer matcher ikke med kreditkorttypen."
"Credit Card Type","Kreditkort Type"
"Credit card type is not allowed for this payment method.","Kreditkorttype er ikke tilladt for denne betalingsmetode."
"Credit Card Types","Kreditkort Typer"
"Currency","Valuta"
"Currency code is undefined.","Valuta kode er udefineret."
"Customer Groups","Kundegrupper"
"Customer ID is not set.","Kunde ID er ikke angivet."
"Day","Dag"
"Debug Mode","Fejlfindingstilstand"
"Delete Restriction","Slet Begrænsning"
"Description","Varebeskrivelse"
"Edit","Rediger"
"Edit Restriction","Rediger Begrænsning"
"Edit Restriction '%s'","Rediger Begrænsning '%s'"
"Enabled","Aktiveret"
"equals or greater than","er lig med eller større end"
"equals or less than","er lig med eller mindre end"
"Expiration Date","Udløbsdato"
"FOUND","FUNDET"
"Full name of the person receiving the product or service paid for by the recurring payment.","Fulde navn på den person, der modtager produktet eller tjenesteydelsen betalt af den tilbagevendende betaling."
"General Information","Generel Information"
"greater than","større end"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Hvis %s %s %s for et underudvalg af varer i indkøbskurven, der matcher %s af disse betingelser:"
"If an item is %s in the cart with %s of these conditions true:","Hvis en vare er %s i kurven med %s af disse betingelser sand:"
"Incorrect credit card expiration date.","Forkert udløbsdato for kreditkort."
"Initial Fee","Oprindeligt Gebyr"
"Initial non-recurring payment amount due immediately upon profile creation.","Oprindelig ikke-tilbagevendende betalingsbeløb forfalder umiddelbart ved profiloprettelse."
"Instructions","Instruktioner"
"Internal Reference ID","Intern Reference ID"
"Invalid Credit Card Number","Ugyldigt Kreditkortnummer"
"is","er"
"is not","er ikke"
"Issue Number","Issue Nummer"
"less than","mindre end"
"Make Check Payable to","Gør Check Payable til"
"Make Check payable to:","Gør tjek betalt til:"
"Make Check payable to: %s","Gør Check til betaling til: %s"
"Maximum Billing Cycles","Maksimum Faktureringscyklus"
