"3D Secure","3D Sikker"
"3D Secure Card Validation","3D Secure Card Validering"
"Accepted Currency","Accepteret Valuta"
"Allow Partial Authorization","Tillad Delvis Godkendelse"
"amount %s","beløb %s"
"API Login ID","API Login ID"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Er du sikker på du vil annullere din betaling? Klik på OK for at annullere din betaling og frigive beløbet i venteposition. Klik på Annuller for at indtaste et andet kreditkort og fortsætte med din betaling."
"authorize","Godkend"
"Authorize.net (Deprecated)","Authorize.net (opdateret)"
"Authorize.Net Transaction ID %s","Authorize.Net Transaktion ID %s"
"Authorize and Capture","Godkend og optag"
"authorize and capture","autorisér og optag"
"Authorize Only","Kun Godkend"
"Cancel","Annuller"
"capture","indfang"
"Credit Card: xxxx-%s","Kreditkort: xxxx-%s"
"Credit Card Types","Kreditkort Typer"
"Credit Card Verification","Kreditkort Verifikation"
"Debug","Debug"
"Email Customer","Email Kunde"
"Enabled","Aktiveret"
"Error in payment gateway.","Fejl i betalingsgateway."
"failed","mislykkedes"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway handlinger er låst, fordi gateway ikke kan fuldføre en eller flere af transaktionerne. Log venligst ind på din Authorize.Net-konto for manuelt at løse problemet."
"Gateway error: %s","Gateway error: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Hvis tom, vil en standardværdi blive brugt. Brugerdefineret URL kan leveres ved CardinalCommerce aftale."
"Invalid amount for authorization.","Ugyldigt beløb til godkendelse."
"Invalid amount for capture.","Ugyldigt beløb til billedtekster."
"Invalid amount for partial authorization.","Ugyldigt beløb for delvis godkendelse."
"Invalid amount for refund.","Ugyldigt beløb til tilbagebetaling."
"Invalid split tenderId ID.","Ugyldigt split tenderId ID."
"Maximum Order Total","Maksimal Ordre I Alt"
"Merchant's Email","Købmands E-Mail"
"Minimum Order Total","Minimum Ordre Total"
"New Order Status","Ny Ordrestatus"
"Parent Authorize.Net transaction (ID %s) expired","Overordnet Authorize.Nettotransaktion (ID %s) udløbet"
"Payment Action","Betalings Handling"
"Payment authorization error.","Fejl i betalingsgodkendelse."
"Payment canceling error.","Betaling annullering fejl."
"Payment capturing error.","Fejl i indfangning af betaling."
"Payment from Applicable Countries","Betaling fra gældende lande"
"Payment from Specific Countries","Betaling fra specifikke lande"
"Payment partial authorization error.","Betaling delvis autorisationsfejl."
"Payment refunding error.","Fejl i refusion af betaling."
"Payment updating error.","Fejl ved opdatering af betaling."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Behandlet Beløb"
"refund","tilbagebetaling"
"Remaining Balance","Resterende Saldo"
"Severe 3D Secure Card Validation","Alvorlig 3D Secure Card Validering"
"Severe Validation Removes Chargeback Liability on Merchant","Svær validering Fjerner Chargeback ansvar på forhandler"
"Shopping cart contents and/or address has been changed.","Indholdet i indkøbskurven og/eller adressen er blevet ændret."
"Sort Order","Sortér Ordre"
"successful","lykkedes"
"Test Mode","Testtilstand"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Beløbet på dit kreditkort er ikke tilstrækkeligt til at gennemføre dit køb. Det tilgængelige beløb er sat i vente. For at fuldføre dit køb klik OK og angive yderligere kreditkortnummer. For at annullere købet og frigive beløbet på hold, skal du klikke på Annullér."
"There was an error canceling transactions. Please contact us or try again later.","Der opstod en fejl under annullering af transaktioner. Kontakt os eller prøv igen senere."
"Title","Titel"
"Transaction Key","Transaktionsnøgle"
"void","ugyldig"
"You have reached the maximum number of credit card allowed to be used for the payment.","Du har nået det maksimale antal kreditkort, der er tilladt at bruge til betalingen."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Du har nået det maksimale antal kreditkort, der kan bruges til en betaling. De tilgængelige beløb på alle anvendte kort var utilstrækkelige til at fuldføre betalingen. Betalingen er blevet annulleret og beløb i venteposition er blevet frigivet."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Dit kreditkort er blevet afvist. Klik OK for at angive et andet kreditkort for at fuldføre dit køb. Klik på Annuller for at frigive det beløb, der er i vente, og vælg en anden betalingsmetode."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Din ordre er ikke blevet placeret, fordi indholdet af indkøbskurven og/eller adressen er blevet ændret. Godkendte beløb fra din tidligere betaling, der var tilbage indtil er nu frigivet. Gå venligst gennem betalingsprocessen for din seneste kurv indhold."
"Your payment has been cancelled. All authorized amounts have been released.","Din betaling er blevet annulleret. Alle godkendte beløb er blevet frigivet."
