"%s Index process is working now. Please try run this process later.","%s Indeks proces virker nu. Prøv at køre denne proces senere."
"'%s' Index Process Information","'%s' Indeks Procesinformation"
"Action","Handling"
"Already running, skipped.","Allerede kørende, sprunget over."
"Cannot initialize the indexer process.","Kan ikke initialisere indekseringsprocessen."
"Change Index Mode","Skift Indeks Tilstand"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Klik her for at gå til <a href=""%s"">Cache Management</a> og opdatere cache typer."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Klik her for at gå til <a href=""%s"">Index Management</a> og genopbygge de nødvendige indekser."
"Close","Luk"
"Delete","Slet"
"Description","Varebeskrivelse"
"Disable","Deaktivér"
"Enable","Aktiver"
"General","Generelt"
"Index","Indeks"
"Index Description","Indeks Beskrivelse"
"Indexer code is not defined.","Indekseringskode er ikke defineret."
"Indexer model is not defined.","Indexer model er ikke defineret."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Indekseringsmodel bør udvide Mage_Index_Model_Indexer_Abstract."
"Index Management","Indeks Håndtering"
"Index Mode","Indeks Tilstand"
"Index mode","Indeks tilstand"
"Index Name","Indeks Navn"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Manuel Opdatering"
"Mode","Tilstand"
"Never","Aldrig"
"No","Nej"
"Not started.","Ikke startet."
"One or more of the Indexes are not up to date:","Et eller flere af indekserne er ikke up to date:"
"Please select Index(es)","Vælg venligst Indekser"
"Please select Indexes","Vælg venligst Indekser"
"Process Information","Behandl Information"
"Processing","Behandler"
"Process is locked.","Processen er låst."
"Ready","Klar"
"Refresh","Opdater"
"Reindex All","Genindeks Alle"
"Reindex complete","Genindeks fuldført"
"Reindex Data","Genindeksér Data"
"Reindex did not complete","Reindex blev ikke fuldført"
"Reindex finished with errors","Reindex færdig med fejl"
"Reindex Required","Reindex Kræves"
"Request failed","Anmodning mislykkedes"
"Revoke","Revoke"
"Status","Status"
"System","System"
"The index has been saved.","Indekset er blevet gemt."
"The reindex process was interrupted.","Reindex processen blev afbrudt."
"There was a problem with reindexing process.","Der var et problem med genindekseringsprocessen."
"There was a problem with saving process.","Der var et problem med at gemme processen."
"Total of %d index(es) have changed index mode.","Samlet antal af %d indekser har ændret indekstilstand."
"Unable to create directory var/%s.","Kan ikke oprette mappe var/%s."
"Unknown reindex run.","Ukendt reindex kørsel."
"Updated At","Opdateret Den"
"Update on Save","Opdatér på Gem"
"Update Required","Opdatering Påkrævet"
"Yes","Ja"
