"* Required Fields","* Obligatoriske Felter"
"-- No API Access --","-- Ingen API-adgang --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> anmoder om adgang til din konto"
"Admin","Administrator"
"Admin API Access","Admin API-adgang"
"After authorization application will have access to you account.","Efter godkendelse ansøgning vil have adgang til dig konto."
"An error occurred.","Der opstod en fejl."
"An error occurred. Your authorization request is invalid.","Der opstod en fejl. Din anmodning om tilladelse er ugyldig."
"An error occurred on confirm authorize.","Der opstod en fejl under bekræftelsesgodkendelsen."
"An error occurred on delete action.","Der opstod en fejl under sletning handling."
"An error occurred on reject authorize.","Der opstod en fejl ved afvisning af godkendelse."
"An error occurred on saving consumer data.","Der opstod en fejl ved lagring af forbrugerdata."
"An error occurred on update revoke status.","Der opstod en fejl under opdatering tilbagekalde status."
"An error occurred while deleting the consumer.","Der opstod en fejl under sletning af forbruger."
"API Role","API Rolle"
"Application Name","Applikationens Navn"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Tildel en API-rolle for at tildele tilladelser. Administrer roller på System > API > Roller."
"Authorization confirmed","Godkendelse bekræftet"
"Authorization confirmed.","Autorisation bekræftet."
"Authorize","Godkend"
"Authorize application","Godkend applikation"
"Authorized Tokens","Autoriserede Tokens"
"Callback URL","Callback URL"
"Cleanup Probability","Oprydning Sandsynlighed"
"Cleanup Settings","Oprydning Indstillinger"
"Close","Luk"
"Confirmation Of Authorization","Bekræftelse Af Tilladelse"
"Confirm token authorization for admin","Bekræft godkendelse af token for admin"
"Confirm token authorization Pop Up for admin","Bekræft godkendelse af token Pop Up til admin"
"Consumer Information","Forbrugerinformation"
"Consumer Name","Forbrugerens Navn"
"Consumers","Forbrugere"
"Created At","Oprettet Den"
"Current Admin Password","Nuværende Administratoradgangskode"
"Customer","Kunde"
"Delete","Slet"
"deleted","slettet"
"Disable","Deaktivér"
"Disabled","Deaktiveret"
"Edit","Rediger"
"Edit Consumer","Rediger Forbruger"
"Email","E-mail"
"Email Address","E-Mail Adresse"
"Enable","Aktiver"
"Enabled","Aktiveret"
"enabled","aktiveret"
"Entry with ID #%s not found.","Indgang med ID #%s ikke fundet."
"Expiration Period","Udløbsperiode"
"Expires","Udløber"
"Expires At","Udløber Ved"
"Give the verifier code to application administrator","Giv verifikatorkoden til applikationsadministrator"
"ID","ID"
"Invalid ID parameter.","Ugyldig ID parameter."
"Key","Nøgle"
"Last Used","Sidst Brugt"
"Leave empty for no expiration","Efterlad tom for ingen udløbsdato"
"Log In","Log Ind"
"Login","Login"
"Log in as admin","Log ind som administrator"
"Log in to use <strong>%s</strong>","Log ind for at bruge <strong>%s</strong>"
"My Applications","Mine Applikationer"
"My Apps","Mine Apps"
"Name","Navn"
"New Consumer","Ny Forbruger"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Mine Apps"
"OAuth authorization for admin","OAuth godkendelse til admin"
"OAuth authorization simple for admin","OAuth godkendelse enkel for admin"
"OAuth Authorized Tokens","OAuth Godkendte Tokens"
"OAuth Consumers","OAuth Forbrugere"
"Password","Adgangskode"
"Permissions","Rettigheder"
"Please login to proceed authorization.","Log venligst ind for at fortsætte godkendelsen."
"Please select needed row(s).","Vælg venligst nødvendige rækker."
"Please select revoke status.","Vælg venligst tilbagekalde status."
"Protocol","Protocol"
"Reject","Afvis"
"Rejected Callback URL","Afviste Tilbagekalds-URL"
"Rejection Of Authorization","Afvisning Af Tilladelse"
"Reject token authorization for admin","Afvis token godkendelse for admin"
"Reject token authorization Pop Up for admin","Afvis token godkendelse Pop Up for admin"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Rolle Navn"
"Save","Gem"
"Save and Continue Edit","Gem og fortsæt redigering"
"Secret","Hemmelighed"
"Selected entries enabled.","Valgte poster aktiveret."
"Selected entries has been deleted.","Valgte poster er blevet slettet."
"Selected entries revoked.","Valgte poster tilbagekaldt."
"Select stores this consumer can access. Leave empty for all stores.","Vælg butikker denne forbruger kan få adgang. Efterlad blank for alle butikker."
"Status","Status"
"Store Access","Adgang Til Butik"
"System","System"
"The application access request is rejected.","Anmodningen om adgang til ansøgningen afvises."
"The consumer has been deleted.","Forbrugeren er blevet slettet."
"The consumer has been saved.","Forbrugeren er blevet frelst."
"Token Status Change","Token Status Ændring"
"Token Status Change Email Template","Token Status Skift Email Skabelon"
"Unable to find a consumer.","Kan ikke finde en forbruger."
"User ID","Bruger ID"
"User Name","Bruger Navn"
"User Type","Bruger Type"
"Verifier code: %s","Bekræftelseskode: %s"
