"Alert Email Sender","Alarm E-Mail Afsender"
"Alert subscription has been saved.","Advarselsabonnement er blevet gemt."
"Allow Alert When Product Comes Back in Stock","Tillad advarsel når varen kommer tilbage på lager"
"Allow Alert When Product Price Changes","Tillad Advarsel Når Produkt Pris Ændringer"
"Click here not to receive alerts for this product","Klik her for ikke at modtage advarsler for denne vare"
"Error Email Recipient","Fejl E-Mail Modtager"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fejl E-Mail Skabelon"
"Frequency","Frekvens"
"Not enough parameters.","Ikke nok parametre."
"Price:","Pris:"
"Price Alert Email Template","Prisadvarsel Email Skabelon"
"Product Alerts","Produkt Advarsler"
"Product alerts Cron error","Produkt advarsler Cron fejl"
"Product Alerts Run Settings","Produkt Advarsler Kør Indstillinger"
"Product price alert","Produkt pris alarm"
"Product stock alert","Produkt lager alarm"
"Regular Price:","Regelmæssig Pris:"
"Sign up for price alert","Tilmeld dig for prisadvarsel"
"Sign up to get notified when this product is back in stock","Tilmeld dig for at få besked, når denne vare er på lager igen"
"Special price:","Særlig pris:"
"Start Time","Start Tid"
"Stock Alert Email Template","Stock Alert Email Skabelon"
"The alert subscription has been deleted.","Advarselsabonnementet er blevet slettet."
"The alert subscription has been saved.","Advarselsabonnementet er blevet gemt."
"The product is not found.","Produktet blev ikke fundet."
"The product was not found.","Produktet blev ikke fundet."
"Unable to update the alert subscription.","Kan ikke opdatere advarselsabonnementet."
"Unsubscribe from all price alerts","Afmeld alle prisadvarsler"
"Unsubscribe from all stock alerts","Afmeld alle lagervarsler"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Du modtager denne besked, fordi du abonnerer på at modtage advarsler, når følgende produkter er på lager igen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du modtager denne besked, fordi du abonnerede på at modtage advarsler, når priserne for følgende produkter ændres:"
"You will no longer receive price alerts for this product.","Du vil ikke længere modtage prisadvarsler for denne vare."
"You will no longer receive stock alerts.","Du vil ikke længere modtage lagervarsler."
"You will no longer receive stock alerts for this product.","Du vil ikke længere modtage lagervarsler for denne vare."
