"%d product(s) were updated","%d produkt(er) blev opdateret"
"%s (Default Template from Locale)","%s (Standard skabelon fra Locale)"
"%s cache type(s) disabled.","%s cache type(r) deaktiveret."
"%s cache type(s) enabled.","%s cache type(r) aktiveret."
"%s cache type(s) refreshed.","%s cache type(r) opdateret."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For type ""Lokal Server"" skal bruge relativ sti til Magento installere var/eksport eller var/import, f.eks. var/eksport, var/import, var/eksport/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For navn på 2 bogstaver i USA)"
"(If left empty will be auto-generated)","(Hvis efterladt tomt vil blive autogenereret)"
"(Leave empty for first spreadsheet)","(Tomt for første regneark)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter vil blive tilføjet/opdateret til denne butik, hvis 'butik'-kolonnen er tom eller mangler i importfilen)."
"(Starting with)","(Starter med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Når 'Nej', vil kun kortlagte felter blive importeret. Brug 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du skal øge php memory_limit før du ændrer denne værdi)"
"(\\t for tab)","(\\t for faneblad)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Hvis indeksering er i gang, vil det blive dræbt og ny indeksering proces vil begynde."
"* Required Fields","* Obligatoriske Felter"
"-- Not Selected --","-- Ikke Valgt --"
"-- Please Select --","-- Vælg Venligst --"
"-- Please select --","-- Vælg venligst --"
"--Please Select--","--Vælg Venligst"
"-- Please Select a Category --","-- Vælg venligst en kategori --"
"-- Please Select Billing Agreement--","-- Vælg venligst Faktureringsaftale --"
"1 Hour","1 Time"
"2 Hours","2 Timer"
"2FA verification code:","2FA verifikationskode:"
"2FA verification code is invalid.","2FA bekræftelseskode er ugyldig."
"2YTD","2YTD"
"6 Hours","6 Timer"
"12 Hours","12 Timer"
"12h AM/PM","12t AM/PM"
"24 Hours","24 Timer"
"24h","24t"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fejl</h1><p>Siden blev ikke fundet.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> anmoder om adgang til din konto"
"Abandoned Carts","Forladte Kurve"
"Access Denied","Adgang Nægtet"
"Access denied","Adgang nægtet"
"Access denied.","Adgang nægtet."
"Account Created in:","Konto oprettet i:"
"Account Created on (%s):","Konto oprettet den (%s):"
"Account Created on:","Konto oprettet den:"
"Account Information","Konto Oplysninger"
"Account Status","Konto Status"
"Account status","Konto status"
"Action","Handling"
"Actions","Handlinger"
"Actions XML","Handlinger XML"
"Active","Aktiv"
"Add","Tilføj"
"Add after","Tilføj efter"
"Add Exception","Tilføj Undtagelse"
"Add Field Mapping","Tilføj Feltkortlægning"
"Add Field with URL:","Tilføj felt med URL:"
"Additional Cache Management","Yderligere Cache Håndtering"
"Add New","Tilføj Ny"
"Add New Block","Tilføj Ny Blok"
"Add New Image","Tilføj Nyt Billede"
"Add New Profile","Tilføj Ny Profil"
"Add New Role","Tilføj Ny Rolle"
"Add New Template","Tilføj Ny Skabelon"
"Add New URL Rewrite","Tilføj Ny URL Omskrivning"
"Add New User","Tilføj Ny Bruger"
"Add New Variable","Tilføj Ny Variabel"
"Add new variable","Tilføj ny variabel"
"Add Products","Tilføj Produkter"
"Address Type:","Adresse Type:"
"Add URL Rewrite","Tilføj URL Omskrivning"
"Add URL Rewrite for a Category","Tilføj URL omskrivning for en kategori"
"Add URL Rewrite for a Product","Tilføj URL omskrivning for et produkt"
"Admin","Administrator"
"Advanced Profiles","Avancerede Profiler"
"After authorization application will have access to you account.","Efter godkendelse ansøgning vil have adgang til dig konto."
"Alert","Advarsel"
"All","Alle"
"All Allowed Countries","Alle Tilladte Lande"
"All Cache","Alle Cache"
"All countries","Alle lande"
"All fields","Alle felter"
"Allowed","Tilladt"
"All possible rates were fetched, please click on ""Save"" to apply","Alle mulige satser blev hentet, klik venligst på ""Gem"" for at anvende"
"All rates were fetched, please click on ""Save"" to apply","Alle priser blev hentet, klik venligst på ""Gem"" for at anvende"
"All Reviews","Alle Anmeldelser"
"All Store Views","Alle Butiksvisninger"
"All Tags","Alle Tags"
"All valid rates have been saved.","Alle gyldige priser er blevet gemt."
"All Websites","Alle Websteder"
"Alt text:","Alt tekst:"
"Always (during development)","Altid (under udvikling)"
"Amounts","Beløb"
" and "," og "
"An error occurred: %s","Der opstod en fejl: %s"
"An error occurred while adding condition.","Der opstod en fejl under tilføjelse af tilstand."
"An error occurred while clearing the configurable swatches image cache.","Der opstod en fejl under rydning af den konfigurerbare swatches billede cache."
"An error occurred while clearing the image cache.","Der opstod en fejl under rydning af billedcachen."
"An error occurred while clearing the minified CSS/JS cache.","Der opstod en fejl under rydning af minified CSS/JS cache."
"An error occurred while deleting email log entries.","Der opstod en fejl under sletning af e-mail log poster."
"An error occurred while deleting email template data. Please review log and try again.","Der opstod en fejl under sletning af e-mail skabelon data. Gennemgå log og prøv igen."
"An error occurred while deleting record(s).","Der opstod en fejl under sletning af optagelser."
"An error occurred while deleting this role.","Der opstod en fejl under sletning af denne rolle."
"An error occurred while deleting this set.","Der opstod en fejl under sletning af dette sæt."
"An error occurred while deleting this template.","Der opstod en fejl under sletning af skabelonen."
"An error occurred while deleting URL Rewrite.","Der opstod en fejl under sletning af URL omskrivning."
"An error occurred while finishing process. Please refresh the cache","Der opstod en fejl under afslutning af processen. Opdater venligst cachen"
"An error occurred while logging in.","Der opstod en fejl under logning."
"An error occurred while rebuilding the catalog index.","Der opstod en fejl under genopbygning af katalogindeks."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Der opstod en fejl under genopbygningen af KatalogLagerbeholdning."
"An error occurred while rebuilding the flat catalog category.","Der opstod en fejl under genopbygning af kategorien fladt katalog."
"An error occurred while rebuilding the flat product catalog.","Der opstod en fejl under genopbygningen af det flade varekatalog."
"An error occurred while rebuilding the search index.","Der opstod en fejl under genopbygning af søgeindekset."
