"Add","Tilføj"
"Add links and samples to downloadable product","Tilføj links og prøver til produkt som kan downloades"
"Add New Row","Tilføj Ny Række"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanumeriske, bindestreg og understregningstegn anbefales til filnavne. Ukorrekte tegn erstattes med '_'."
"An error occurred while getting the requested content.","Der opstod en fejl under hentning af det ønskede indhold."
"An error occurred while getting the requested content. Please contact the store owner.","Der opstod en fejl under hentning af det ønskede indhold. Kontakt venligst butiksejeren."
"An error occurred while saving the file(s).","Der opstod en fejl under lagring af filerne."
"attachment","vedhæftet fil"
"Availability:","Tilgængelighed:"
"Back","Tilbage"
"Canceled","Annulleret"
"Cannot connect to remote host, error: %s.","Kan ikke forbinde til ekstern vært, fejl: %s."
"Catalog Product View (Downloadable)","Katalog Produktvisning (Downloadable)"
"Category API","Kategori API"
"Customer My Account Downloadable Items","Kunde Min Konto Downloadbare Elementer"
"Date","Dato"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Standard Maksimalt antal downloads"
"Default Sample Title","Standard Prøve Titel"
"Delete","Slet"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deaktivér gæste Checkout hvis Indkøbskurv indeholder Hentbare Elementer"
"Disable Sample","Deaktivér Prøve"
"download","download"
"Downloadable Information","Downloadbare Oplysninger"
"Downloadable Product","Produkt Kan Downloades"
"Downloadable Product Options","Produkt Indstillinger For Downloadning"
"Edit","Rediger"
"Edit item parameters","Rediger element parametre"
"Excl. Tax","Ekskl. Moms"
"File","Fil"
"File:","Fil:"
"From:","Fra:"
"Gift Message","Gave Besked"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine produkter</a>"
"Guest checkout will only work with shareable.","Gæste checkout vil kun arbejde med delbar."
"Incl. Tax","Inkl. Moms"
"inline","inline"
"In stock","På lager"
"Invalid download link type.","Ugyldig downloadlink type."
"Invalid download URL host.","Ugyldig download URL vært."
"Invalid download URL scheme.","Ugyldig download-URL ordning."
"Invalid file path.","Ugyldig filsti."
"Invoiced","Faktureret"
"Links can be purchased separately","Links kan købes separat"
"List","Liste"
"Max. Downloads","Maks. Downloads"
"Message:","Besked:"
"Move","Flyt"
"Move to wishlist","Flyt til ønskeliste"
"My Downloadable Products","Mine Hentbare Produkter"
"Open Links in New Window","Åbn link i nyt vindue"
"Order #","Ordre #"
"Ordered","Bestilt"
"Order id cannot be null","Ordre id kan ikke være nul"
"Order item id cannot be null","Ordre vare ID kan ikke være nul"
"Order Item Status to Enable Downloads","Ordreelement Status til at aktivere downloads"
"Out of stock","Ikke på lager"
"Pending","Afventer"
"Please log in to download your product.","Log ind for at downloade dit produkt."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Log ind for at downloade dit produkt eller købe <a href=""%s"">%s</a>."
"Please set resource file and link type.","Angiv ressource fil og link type."
"Please specify product link(s).","Angiv venligst produktlink(er)."
"Price","Pris"
"Product downloadable links","Produkt downloadbare links"
"Qty","Antal"
"Refunded","Refunderet"
"Remaining Downloads","Resterende Downloads"
"Remove","Fjern"
"Remove Item","Fjern Element"
"Remove links and samples from downloadable product","Fjern links og prøver fra produkt til download"
"Requested link does not exist.","Ønskede link findes ikke."
"Retrieve links and samples list from downloadable product","Hent links og prøver liste fra produkt til download"
"Sample","Prøve"
"sample","prøve"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Shareable","Delbar"
"Shipped","Afsendt"
"SKU","Varenummer"
"Sorry, there was an error getting requested content. Please contact the store owner.","Beklager, der opstod en fejl under hentning af det ønskede indhold. Kontakt venligst butiksejeren."
"Sort Order","Sortér Ordre"
"Start Download","Start Download"
"Status","Status"
"Subtotal","Subtotal"
"The file does not exist.","Filen findes ikke."
"The link has expired.","Linket er udløbet."
"The link is not available.","Linket er ikke tilgængeligt."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Der er filer der blev valgt, men ikke uploadet endnu. Upload eller fjern dem først"
"Title","Titel"
"To:","Til:"
"U","U"
"Unlimited","Ubegrænset"
"Update","Opdater"
"URL:","URL:"
"Use Content-Disposition","Brug Indhold Disposition"
"Use Default Value","Brug Standardværdi"
"View Order","Vis Ordre"
"What's this?","Hvad er dette?"
"You have not purchased any downloadable products yet.","Du har ikke købt nogen produkter til download endnu."
