"# of Use","# af brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s-%s of %s","%s-%s af %s"
"%s and above","%s og derover"
"%s Item(s)","%s Element(er)"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"* Required Fields","* Obligatoriske Felter"
"-- Please Select --","-- Vælg Venligst --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 som standard, hvis ikke angivet. For at opdatere med det samme, Ryd blokkene HTML Output Cache."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Udfaset.</strong> Flat Catalog vil blive fjernet i en fremtidig version. Moderne databaser kræver ikke længere denne optimering."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Advarsel!</strong> Anvendelse af MAP som standard vil skjule alle produktpriser på frontend."
"Action","Handling"
"Active Filters","Aktive Filtre"
"Actual Price","Faktisk Pris"
"Add","Tilføj"
"Add Attribute","Tilføj Egenskab"
"Add attribute into attribute set","Tilføj attribut til attribut sæt"
"Add Design Change","Tilføj Designændring"
"Add Group","Tilføj Gruppe"
"Add group into attribute set","Tilføj gruppe til attribut sæt"
"Add Group Price","Tilføj Gruppepris"
"Additional Information","Yderligere Oplysninger"
"Additional Views","Yderligere Visninger"
"Add New","Tilføj Ny"
"Add New Attribute","Tilføj Ny Attribut"
"Add New Attribute Set","Tilføj Nyt Attributsæt"
"Add new custom option into product","Tilføj ny brugerdefineret indstilling til produkt"
"Add New Group","Tilføj Ny Gruppe"
"Add New Images","Tilføj Nye Billeder"
"Add New Option","Tilføj Ny Valgmulighed"
"Add New Row","Tilføj Ny Række"
"Add New Search Term","Tilføj Ny Søgeterm"
"Add New Set","Tilføj Nyt Sæt"
"Add new values into custom option","Tilføj nye værdier til brugerdefineret indstilling"
"Add NOINDEX,FOLLOW to Filtered Layered Navigation Pages","Tilføj NOINDEX, FOLLOW til filtrerede lagdelte navigationssider"
