"* Required Fields","* Obligatoriske Felter"
"0 disables the limit.","0 deaktiverer grænsen."
"<strong style=""color:red"">Warning!</strong> Enabling this feature may cause unwanted messages to be sent to people whose email addresses are being used abusively. Please make sure that you have implemented security measures before enabling (e.g. CAPTCHA, HoneySpam).","<strong style=""color:red"">Advarsel!</strong> Aktivering af denne funktion kan medføre, at uønskede beskeder sendes til personer, hvis e-mailadresser bruges misbrug. Sørg for, at du har implementeret sikkerhedsforanstaltninger, før du aktiverer (f.eks. CAPTCHA, HoneySpam)."
"Abuse Protection","Misbrug Beskyttelse"
"Adds a hidden field that bots fill in, zero dependency, works everywhere.","Tilføjer et skjult felt som bots udfylder, nul afhængighed, virker overalt."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Tilføjer et usynligt fælde felt. Indsendelser, der udfylder det, bliver lydløst tabt som bot trafik."
"Allow headless frontends to submit contact forms via the API.","Tillad hovedløse frontends at indsende kontaktformularer via API'en."
"API Submissions","Api Indlæg"
"Auto-Reply Emails per Recipient per Hour","Auto-svar e-mails pr. modtager pr. time"
"Auto Reply","Automatisk Svar"
"Caps how many auto-reply emails a single address can receive per hour. The merchant notification is still sent. Defeats email-bombing of third parties. 0 disables the limit.","Caps, hvor mange auto-svar e-mails en enkelt adresse kan modtage i timen. Forhandleren notifikation er stadig sendt. Beskyder email-bombning af tredjeparter. 0 deaktiverer grænsen."
"Comment","Kommentar"
"Contact Form","Kontaktformular"
"Contact form (web + API)","Kontaktformular (web + API)"
"Contact Form Auto Reply","Kontakt Formular Automatisk Svar"
"Contact Information","Kontakt Information"
"Contacts","Kontakter"
"Contact Us","Kontakt Os"
"Contact Us Form","Kontakt Os Form"
"Email","E-mail"
"Email Options","E-Mail Indstillinger"
"Email Sender","E-Mail Afsender"
"Email Template","Email Skabelon"
"Enable Auto Reply","Aktivér Automatisk Svar"
"Enable Contact API","Aktiver KontaktAPI"
"Enable Contact Us","Aktiver Kontakt Os"
"Enable Honeypot Field","Aktiver Honeypot Felt"
"Honeypot Field","Honeypot Felt"
"Invalid Form Key. Please submit your request again.","Ugyldig formularnøgle. Indsend venligst din anmodning igen."
"Invisible background measures (honeypot, rate limits) that blunt spam and email-bombing without inconveniencing real customers. Do not set the limits so low that legitimate visitors are blocked.","Usynlige baggrundsforanstaltninger (honeypot, sats grænser), der stumpe spam og email-bombning uden gener rigtige kunder. Sæt ikke grænserne så lav, at legitime besøgende blokeres."
"Name","Navn"
"Per email address. Default 3 per hour. 0 to disable.","Pr. e-mail adresse. Standard 3 i timen. 0 for at deaktivere."
"Send Emails To","Send E-Mails Til"
"Settings for contact-form submissions made via the REST/GraphQL API (used by headless storefronts).","Indstillinger for kontaktformularer foretaget via REST/GraphQL API (bruges af headless storefronts)."
"Submissions per IP per Hour","Indlæg pr. IP pr. time"
"Submit","Indsend"
"Telephone","Telefon"
"Too many requests. Please wait a moment and try again.","For mange anmodninger. Vent et øjeblik og prøv igen."
"Unable to submit your request. Please try again later","Kan ikke indsende din anmodning. Prøv igen senere"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Din forespørgsel blev indsendt og vil blive besvaret så hurtigt som muligt. Tak fordi du kontaktede os."
