"%d items","%d varer"
"-- Please Select --","-- Vælg Venligst --"
"Actions","Handlinger"
"Add Layout Update","Tilføj Layout Opdatering"
"Add New Widget Instance","Tilføj Ny Widget Instans"
"All","Alle"
"All Pages","Alle Sider"
"All Product Types","Alle Produkttyper"
"Anchor Categories","Anker Kategorier"
"An error occurred during POST data validation: %s","Der opstod en fejl under POST data-validering: %s"
"An error occurred during saving a widget: %s","Der opstod en fejl under lagring af widget: %s"
"Apply","Anvend"
"Assign to Store Views","Tildel til butiksvisninger"
"Big Image","Stort Billede"
"Block Reference","Bloker Reference"
"Categories","Kategorier"
"Choose...","Vælg..."
"Close","Luk"
"CMS","CMS"
"Continue","Fortsæt"
"Default Template","Standard Skabelon"
"Delete","Slet"
"Design Package/Theme","Design Pakke/Tema"
"Error occurs during loading chooser.","Der opstod en fejl under indlæsning af vælger."
"Export to:","Eksporter til:"
"Frontend Properties","Frontend Egenskaber"
"Generic Pages","Generiske Sider"
"Go to Next page","Gå til næste side"
"Go to Previous page","Gå til forrige side"
"Images","Billeder"
"Insert Widget...","Insert Widget..."
"Items per page","Elementer pr. side"
"Layout Updates","Layout Opdateringer"
"Manage Widget Instances","Administrer Widget Instanser"
"New Instance","Ny Instans"
"New Widget Instance","Ny Widget Instans"
"Next page","Næste side"
"Non-Anchor Categories","Ikke-Anker Kategorier"
"Not Selected","Ikke Valgt"
"of %s","af %s"
"Open Chooser","Åbn Vælger"
"Page","Side"
"per page","pr. side"
"Please Select Block Reference First","Vælg Blokreference Først"
"Previous page","Forrige side"
"Products","Produkter"
"Remove Layout Update","Fjern Layout Opdatering"
"Save and Continue Edit","Gem og fortsæt redigering"
"Select All","Vælg Alle"
"selected","valgt"
"Settings","Indstillinger"
"Sort Order","Sortér Ordre"
"Sort Order of widget instances in the same block reference","Sorter rækkefølge af widget instanser i samme blok reference"
"Specific %s","Specifik %s"
"Specified Page","Angivet Side"
"Template","Skabelon"
"The information in this tab has been changed.","Oplysningerne i dette faneblad er blevet ændret."
"The widget instance has been deleted.","Widget instans er blevet slettet."
"The widget instance has been saved.","Widget instans er blevet gemt."
"This tab contains invalid data. Please solve the problem before saving.","Denne fane indeholder ugyldige data. Løs problemet før du gemmer."
"Thumbnail","Thumbnail"
"Type","Type"
"View","Vis"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instans"
"Widget instance is not full complete to create.","Widget instans er ikke komplet for at skabe."
"Widget Instance Title","Widget Instans Titel"
"Widget Options","Widget Indstillinger"
"Widgets","Widgets"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget type er ikke angivet"
"Wrong widget instance specified.","Forkert widget instans angivet."
