"All Websites","Alle Websteder"
"Apply Discounts To FPT","Anvend Rabatter Til FPT"
"Display Prices In Emails","Vis Priser I E-Mails"
"Display Prices In Product Lists","Vis Priser I Produktlister"
"Display Prices In Sales Modules","Vis Priser I Salg Moduler"
"Display Prices On Product View Page","Vis Priser På Produktvisningsside"
"Enable FPT","Aktiver FPT"
"Excluding FPT","Eksklusive FPT"
"Excluding FPT, FPT description, final price","Ekskl. FPT, FPT beskrivelse, endelig pris"
"Fixed Product Tax","Fast Produkt Moms"
"Fixed Product Taxes","Faste Produktskatter"
"FPT Tax Configuration","FPT Momskonfiguration"
"Include FPT In Subtotal","Inkluder FPT I Subtotal"
"Including FPT and FPT description","Inklusiv FPT og FPT beskrivelse"
"Including FPT and FPT description [incl. FPT VAT]","Inklusive FPT og FPT beskrivelse [inkl. FPT Moms)"
"Including FPT only","Kun inklusive FPT"
"Loaded and Displayed with Tax","Indlæst og vises med moms"
"Not Taxed","Ikke Skat"
"Taxed","Afgift"
"Total","I Alt"
"Total Incl. Tax","Total Inkl. Moms"
"Total incl. tax","Total inkl. moms"
