"%s was added to your shopping cart.","%s blev tilføjet til din indkøbskurv."
"%s was updated in your shopping cart.","%s blev opdateret i din indkøbskurv."
"(Excl. Tax)","(Ekskl. Moms)"
"(Incl. Tax)","(Inkl. Moms)"
"* Required Fields","* Obligatoriske Felter"
"Add coupon code for shopping cart","Tilføj rabatkode til indkøbskurv"
"Add gift messages to shopping cart","Tilføj gavebeskeder til indkøbskurven"
"Additional Product Info","Yderligere Produktinformation"
"Add New Address","Tilføj Ny Adresse"
"Add New Condition","Tilføj Ny Betingelse"
"Add product(s) to shopping cart","Tilføj produkt(er) til indkøbskurv"
"Add product to shopping cart","Tilføj vare til indkøbskurv"
"Address","Adresse"
"Add to Cart","Føj til kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Tilføj til ønskeseddel"
"After Adding a Product Redirect to Shopping Cart","Efter tilføjelse af en Product Redirect til indkøbskurven"
"Allow Guest Checkout","Tillad Gæste Checkout"
"An error occurred. Please try again.","Der opstod en fejl. Prøv venligst igen."
"An error occurred in the process of payment","Der opstod en fejl i processen med betaling"
"An error occurred while deleting this condition.","Der opstod en fejl under sletning af denne betingelse."
"An error occurred while placing your order. Please try again.","Der opstod en fejl under placering af din ordre. Prøv venligst igen."
"An error occurred while saving this condition.","Der opstod en fejl under lagring af denne betingelse."
"Apply","Anvend"
"Applying...","Anvender..."
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at du vil fjerne denne vare fra indkøbskurven?"
"Back","Tilbage"
"Billing Address","Faktureringsadresse"
"Billing Information","Faktureringsoplysninger"
"Cancel","Annuller"
"Cannot add item to the shopping cart.","Kan ikke tilføje vare til indkøbskurven."
"Cannot add the item to shopping cart","Kan ikke tilføje varen til indkøbskurven"
"Cannot add the item to shopping cart.","Kan ikke tilføje varen til indkøbskurven."
"Cannot configure product.","Kan ikke konfigurere produktet."
"Cannot process the item.","Kan ikke behandle elementet."
"Can not remove the item.","Kan ikke fjerne varen."
"Cannot remove the item.","Kan ikke fjerne elementet."
"Can not save item.","Kan ikke gemme element."
"Cannot update shopping cart.","Kan ikke opdatere indkøbskurv."
"Cannot update the item.","Kan ikke opdatere elementet."
"Card Verification Number Visual Reference","Kort Verifikationsnummer Visuel Reference"
"Cart","Kurv"
"Cart Item Counter","Indkøbskurv Vare Tæller"
"Cart Product API","Indkøbskurv Produkt API"
"Cart Subtotal:","Indkøbskurv Subtotal:"
"Change","Skift"
"Change Billing Address","Skift Faktureringsadresse"
"Checkbox Text","Afkrydsningsfelt Tekst"
"Checkout","Checkout"
"Checkout Conditions","Checkout Betingelser"
"Checkout Forms Extra","Checkout Forms Ekstra"
"Checkout Options","Checkout Indstillinger"
"Checkout Progress Wrapper","Checkout Fremskridt Wrapper"
"Checkout Terms and Conditions","Checkout Vilkår og betingelser"
"City","By"
"Clear Shopping Cart","Ryd Indkøbskurv"
"Click <a href=""%s"">here</a> to continue shopping.","Klik på <a href=""%s"">her</a> for at fortsætte med at shoppe."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik på <a href=""%s"" onclick=""this.target='_blank'"">her for at udskrive</a> en kopi af din ordrebekræftelse."
"Close","Luk"
"Company","Virksomhed"
"Condition Name","Betingelse Navn"
"Configurable Product Image","Konfigurerbart Produktbillede"
"Configure Cart Item","Indstil Indkøbskurv"
"Confirm Password","Bekræft Adgangskode"
"Content","Indhold"
"Content Height","Indhold Højde"
"Content Height (css)","Indhold Højde (css)"
"Continue","Fortsæt"
"Continue Shopping","Fortsæt Indkøb"
"Controls how the item count is calculated in the cart icon badge.","Kontrollerer, hvordan elementantallet beregnes i ikonet kurv badge."
"Count Method","Tæl Metode"
"Country","Land"
"Coupon:","Kupon:"
"Coupon code ""%s"" was applied.","Kuponkode ""%s"" blev anvendt."
"Coupon code was removed.","Rabatkoden blev fjernet."
"Create an order from shopping cart","Opret en ordre fra indkøbskurven"
"Create shopping cart","Opret indkøbskurv"
"Customer's information","Kundens oplysninger"
"Customer Address is not valid.","Kundens adresse er ikke gyldig."
"Customer Information","Kunde Information"
"Delete Condition","Slet Betingelse"
"Details","Detaljer"
"Disabled","Deaktiveret"
"Discount code or gift card","Rabat kode eller gavekort"
"Discounts","Rabatter"
"Display number of items in wishlist","Vis antal varer i ønskelisten"
"Displays all checkout steps on a single page in a 2-column layout","Viser alle checkout-trin på en enkelt side i et layout med 2 kolonner"
"Edit","Rediger"
"Edit Address","Rediger Adresse"
"Edit Condition","Rediger Betingelse"
"Edit item parameters","Rediger element parametre"
"Edit Terms and Conditions","Rediger vilkår og betingelser"
"Email Address","E-Mail Adresse"
"Empty Shopping Cart Content Before","Tøm Indkøbskurv Før"
"Enabled","Aktiveret"
"Enable One-Step Checkout","Aktiver Ét Trin Checkout"
"Enable Onepage Checkout","Aktiver Onepage Checkout"
"Enable Terms and Conditions","Aktiver vilkår og betingelser"
"Enter discount code","Indtast rabatkode"
"Enter promo code","Indtast rabatkode"
"Estimate","Estimat"
"Estimate Shipping and Tax","Anslået forsendelse og moms"
"Excl. Tax","Ekskl. Moms"
"Failed to save billing address. Please try again.","Faktureringsadressen kunne ikke gemmes. Prøv venligst igen."
"Forgot your password?","Glemt din adgangskode?"
"Get list of available payment methods","Hent liste over tilgængelige betalingsmetoder"
"Get list of available shipping methods","Hent liste over tilgængelige forsendelsesmetoder"
"Get list of products in shopping cart","Hent liste over produkter i indkøbskurven"
"Get terms and conditions","Få vilkår og betingelser"
"Get total prices for shopping cart","Få samlede priser for indkøbskurv"
"Gift card ""%s"" was removed.","Gavekort ""%s"" blev fjernet."
"Gift Card:","Gavekort:"
"Gift Message","Gave Besked"
"Grouped Product Image","Grupperet Produkt Billede"
"Have an account?","Har du en konto?"
"HTML","HTML"
"ID","ID"
"If customer accounts are disabled in the frontend, guest checkout must remain enabled.","Hvis kundekonti er deaktiveret i fronten, skal gæstebetaling forblive aktiveret."
"Incl. Tax","Inkl. Moms"
"Invalid data.","Ugyldige data."
"Invalid form key. Please refresh the page.","Ugyldig formularnøgle. Opdater venligst siden."
"Invalid method: %s","Ugyldig metode: %s"
"Invalid shipping method.","Ugyldig forsendelsesmetode."
"Items","Varer"
"Items After","Elementer Efter"
"Items Before","Varer Før"
"Item was removed successfully.","Elementet blev fjernet med succes."
"Item was updated successfully.","Elementet blev opdateret."
"Load customer quote error","Indlæs kunde tilbud fejl"
"Loading next step...","Indlæser næste trin..."
"Login","Login"
"Manage Terms and Conditions","Administrer vilkår og betingelser"
"Mini-cart promotion block","Kampagneblok til mini-indkøbskurv"
"Minimum order amount is %s","Minimum ordrebeløb er %s"
"Move","Flyt"
"Move to Wishlist","Flyt til ønskeseddel"
"Move to wishlist","Flyt til ønskeliste"
"New Address","Ny Adresse"
"New Condition","Ny Betingelse"
"New Terms and Conditions","Nye vilkår og betingelser"
"No Payment Methods","Ingen Betalingsmetoder"
"ok","ok"
"One item of products do not have identifier or sku","En vare har ikke identifikator eller sku"
"One item of products is not belong any of quote item","En vare af produkter er ikke tilhøre nogen af tilbud vare"
"One Page Checkout","Én Side Checkout"
"One Page Checkout Failure","Én Side Checkout Fejl"
"One Page Checkout Overview","Én Side Checkout Oversigt"
"One Page Checkout Success","En Side Checkout Succes"
"One Step Checkout","Et Trin Checkout"
"or","eller"
"Order #","Ordre #"
"Order Review","Ordre Anmeldelse"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","SAMLET VIL BORTSKAFFELSE INDEN DU EFTER ORDEREN"
"Password","Adgangskode"
"Payment Failed Email Reciever","Betaling Mislykkedes E-Mail Opskrift"
"Payment Failed Emails","Betaling Mislykkedes E-Mails"
"Payment Failed Email Sender","Betaling Mislykkedes E-Mail Afsender"
"Payment Failed Template","Betaling Mislykkedes Skabelon"
"Payment Information","Betalings Oplysninger"
"Payment Method","Betalingsmetode"
"Payment method information","Oplysninger om betalingsmetode"
"Payment Methods After Checkout Button","Betalingsmetoder Efter Checkout Knap"
"Payment Methods Before Checkout Button","Betalingsmetoder Før Checkout Knap"
"Payment methods in shopping cart","Betalingsmetoder i indkøbskurv"
"Payment profile # %s: ""%s"".","Betalingsprofil # %s: ""%s""."
"Place Order","Afgiv Ordre"
"Please agree to all the terms and conditions before placing the order.","Vær venlig at acceptere alle vilkår og betingelser, før du afgiver ordren."
"Please choose to register or to checkout as a guest","Vælg venligst at registrere dig eller tjekke ud som gæst"
"Please enter a promo code.","Angiv venligst en rabatkode."
"Please select a payment method.","Vælg venligst en betalingsmetode."
"Please select a shipping method.","Vælg venligst en forsendelsesmetode."
"Please select region, state or province","Vælg region, stat eller provins"
"Please select shipping and payment methods before placing your order.","Vælg forsendelses- og betalingsmetoder, før du placerer din ordre."
"Please specify payment method.","Angiv venligst betalingsmetode."
"Please specify shipping method.","Angiv venligst forsendelsesmetode."
"Price","Pris"
"Proceed to Checkout","Fortsæt til kassen"
"Product","Produkt"
"Product Name","Produkt Navn"
"Product not found.","Produktet blev ikke fundet."
"Products","Produkter"
"Promo code ""%s"" is not valid.","Rabatkode ""%s"" er ikke gyldig."
"Qty","Antal"
"Qty:","Antal:"
"Quantity","Mængde"
"Quantity was recalculated from %d to %d","Antal blev genberegnet fra %d til %d"
"Quote item does not exist.","Tilbudselement findes ikke."
"Quote item is not found.","Tilbud blev ikke fundet."
"Quote Lifetime (days)","Tilbud Levetid (dage)"
"Register","Registrer"
"Remove","Fjern"
"Remove coupon code from shopping cart","Fjern rabatkode fra indkøbskurven"
"Remove Item","Fjern Element"
"Remove product(s) from shopping cart","Fjern vare(r) fra indkøbskurven"
"Remove product from shopping cart","Fjern produkt fra indkøbskurven"
"Remove This Item","Fjern Dette Element"
"Retrieve information about shopping cart","Hent information om indkøbskurven"
"Sales","Salg"
"Save Condition","Gem Betingelse"
"Save in address book","Gem i adressebogen"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Select a billing address from your address book or enter a new address.","Vælg en faktureringsadresse fra din adressebog eller indtast en ny adresse."
"Select a shipping address from your address book or enter a new address.","Vælg en leveringsadresse fra din adressebog eller indtast en ny adresse."
"Send Payment Failed Email Copy Method","Send Betaling Mislykkedes E-Mail Kopieringsmetode"
"Send Payment Failed Email Copy To","Send Betaling Mislykkedes E-Mail Kopiering Til"
"Separate by "","".","Adskil med "",""."
"Set customer's addresses in shopping cart","Angiv kundens adresser i indkøbskurven"
"Set customer for shopping cart","Angiv kunde for indkøbskurv"
"Set payment method","Angiv betalingsmetode"
"Set shipping method","Angiv forsendelsesmetode"
"Shipping Address","Leverings Adresse"
"Shipping Information","Leveringsoplysninger"
"Shipping information","Leveringsoplysninger"
"Shipping Method","Leveringsmetode"
"Shipping method has not been selected yet","Leveringsmetode er ikke blevet valgt endnu"
"Shipping Methods","Leveringsmetoder"
"Shipping methods in shopping cart","Leveringsmetoder i indkøbskurv"
"Ship to different address","Send til anden adresse"
"Ship to this address","Send til denne adresse"
"Shopping Cart","Indkøbskurv"
"Shopping cart ability to set coupon code","Indkøbskurv evne til at angive kuponkode"
"Shopping Cart is Empty","Indkøbskurven er tom"
"Shopping cart items","Indkøbskurv varer"
"Shopping Cart Items After","Indkøbskurv Elementer Efter"
"Shopping Cart Items Before","Indkøbskurv Varer Før"
"Shopping Cart Sidebar Extra Actions","Indkøbskurv Sidebar Ekstra Handlinger"
"Show Content as","Vis indhold som"
"Shows only logo header during checkout, removes navigation and footer for a distraction-free experience","Viser kun logooverskrift under kassen, fjerner navigation og sidefod for en distraktionsfri oplevelse"
"SKU","Varenummer"
