"%d country(s) were skipped because they no longer exist.","%d land(e) blev sprunget over, fordi de ikke længere eksisterer."
"%d region(s) were skipped because they have existing region names.","%d region(er) blev sprunget over, fordi de har eksisterende regionsnavne."
"-- Please select --","-- Vælg venligst --"
"A country with this ID already exists.","Et land med dette id findes allerede."
"Add New Country","Tilføj Nyt Land"
"Add New Region","Tilføj Nyt Område"
"Add Translation","Tilføj Oversættelse"
"Allowed Currencies","Tilladte Valutaer"
"An invalid base currency has been entered.","En ugyldig basisvaluta er blevet indtastet."
"API Access Key","API Adgangsnøgle"
"API Key","API Nøgle"
"A region name for this locale and region combination already exists.","Et regionsnavn for denne landestandard og regionskombination findes allerede."
"A region with code ""%s"" already exists in this country.","En region med kode ""%s"" findes allerede i dette land."
"Are you sure you want to delete the selected countries?","Er du sikker på, at du vil slette de valgte lande?"
"Are you sure you want to delete the selected region names?","Er du sikker på, at du vil slette de valgte regionsnavne?"
"Are you sure you want to delete the selected regions?","Er du sikker på, at du vil slette de valgte regioner?"
"Are you sure you want to delete this country?","Er du sikker på, at du vil slette dette land?"
"Are you sure you want to delete this region?","Er du sikker på, at du vil slette denne region?"
"Base Currency","Basis Valuta"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot delete region with existing region names. Please delete all region names first.","Kan ikke slette region med eksisterende regionsnavne. Slet venligst alle regionsnavne først."
"Choose popular countries that should be grouped on top of the country select.","Vælg populære lande, der skal grupperes på toppen af det valgte land."
"Close","Luk"
"Connection Timeout in Seconds","Tilslutningstimeout i sekunder"
"Countries","Lande"
"Country","Land"
"Country and Format Type combination should be unique","Lande- og formattypekombinationen bør være unik"
"Country API","Land API"
"Country ID","Land ID"
"Country ID cannot be changed after creation","Land ID kan ikke ændres efter oprettelse"
"Country ID is required.","Land ID er påkrævet."
"Country ID must be exactly 2 uppercase letters.","Land ID skal være præcis 2 store bogstaver."
"Country Information","Land Information"
"Country is required.","Land er påkrævet."
"Country Name","Land Navn"
"Currency","Valuta"
"Currency Options","Valuta Indstillinger"
"Currency rates can't be retrieved.","Valutakurser kan ikke hentes."
"Currency rate service error: %s","Valuta rate service fejl: %s"
"Currency Setup","Valuta Opsætning"
"Currency Update Warnings","Advarsler Om Valuta Opdatering"
"Default: only add new locales","Standard: Tilføj kun nye landestandarder"
"Default Display Currency","Standard Visningsvaluta"
"Default Name","Standard Navn"
"Default name cannot be longer than 255 characters.","Standard navn kan ikke være længere end 255 tegn."
"Default name for this region in English","Standard navn for dette område på engelsk"
"Default name is required.","Standard navn er påkrævet."
"Delete Country","Slet Land"
"Delete Region","Slet Region"
"Directory","Mappe"
"Directory Management","Håndtering Af Mappe"
"Display not required State","Vis ikke påkrævet tilstand"
"Edit Country","Rediger Land"
"Edit Country ""%s""","Rediger Land ""%s"""
"Edit Region","Rediger Region"
"Edit Region ""%s""","Rediger Region ""%s"""
"Enabled","Aktiveret"
"Error:","Fejl:"
"Error Email Recipient","Fejl E-Mail Modtager"
"Error Email Sender","Error Email Sender"
"Error Email Template","Fejl E-Mail Skabelon"
"ExchangeRate-API","ExchangeRate-API"
"FATAL ERROR:","FATAL FEJL:"
"Fixer API","Fixer API"
"Frankfurter","Frankfurter"
"Frequency","Frekvens"
"Hold Ctrl/Cmd to select multiple countries","Hold Ctrl/Cmd nede for at vælge flere lande"
