"Add","Tilføj"
"ALL","ALLE"
"ANY","ENESTE"
"Apply","Anvend"
"by","af"
"Conditions Combination","Betingelser Kombination"
"contains","indeholder"
"Customer Groups must be specified.","Kundegrupper skal angives."
"does not contain","indeholder ikke"
"End Date must be greater than Start Date.","Slutdato skal være større end startdato."
"equals or greater than","er lig med eller større end"
"equals or less than","er lig med eller mindre end"
"FALSE","FALSK"
"from","fra"
"greater than","større end"
"If %s of these conditions are %s:","Hvis %s af disse betingelser er %s:"
"Invalid discount amount.","Ugyldigt rabatbeløb."
"is","er"
"is not","er ikke"
"is not one of","er ikke en af"
"is one of","er en af"
"less than","mindre end"
"Open Chooser","Åbn Vælger"
"Perform following actions","Udfør følgende handlinger"
"Please choose a condition to add...","Vælg venligst en betingelse at tilføje..."
"Please choose an action to add...","Vælg venligst en handling at tilføje..."
"Remove","Fjern"
"There is no information about associated entity type ""%s"".","Der er ingen oplysninger om tilknyttet enhedstype ""%s""."
"to","til"
"TRUE","SANDT"
"Websites must be specified.","Websteder skal angives."
