"%s items queued for embedding.","%s elementer i kø til indlejring."
"Action","Handling"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: kunne ikke opdatere modeller for %s. Se exception.log."
"AI: refreshed %d models for %s.","AI: opdaterede %d modeller for %s."
"AI Configuration","Ai Konfiguration"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI Brug"
"already queued","allerede i kø"
"Async Queue","Async Kø"
"Auto-embed Categories","Auto-indlejrede Kategorier"
"Auto-embed Products","Auto-indlejrede Produkter"
"Back","Tilbage"
"Background","Baggrund"
"Blocked Input Patterns","Blokerede Indgangsmønstre"
"Calls","Opkald"
"Cancelled","Annulleret"
"Categories (%s active)","Kategorier (%s aktiv)"
"Complete","Complete"
"Completed","Afsluttet"
"Completion","Afslutning"
"Consumer","Forbruger"
"Context","Kontekst"
"Current Configuration","Nuværende Konfiguration"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Standard Pladsholder Højde"
"Default Placeholder Width","Standard Pladsholder Bredde"
"Disabled","Deaktiveret"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","f.eks. openai/gpt-4o, antropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Indlejringer"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Indlejringer er deaktiveret. Aktiver dem under System &gt; AI &gt; Indlejr indstillinger før kø."
"Embed Provider","Indlejr Udbyder"
"Embed Status","Indlejr Status"
"Enable Async Queue","Aktiver Asynk Kø"
"Enabled","Aktiveret"
"Enable Embeddings","Aktiver Indlejringer"
"Enable Image Generation","Aktiver Billedgenerering"
"Error","Fejl"
"Error: ","Fejl: "
"Estimated completion: ~%d hours %d minutes.","Anslået færdiggørelse: ~%d timer %d minutter."
"Estimated completion: ~%d minutes.","Anslået færdiggørelse: ~%d minutter."
"Failed","Mislykkedes"
"Failed to fetch models. See exception.log for details.","Kunne ikke hente modeller. Se exception.log for detaljer."
"Fetching...","Henter..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Flag svar, der indeholder e-mail-adresser, telefonnumre eller SSN'er."
"Google Embed Model","Google Indlejr Model"
"ID","ID"
"Image","Billede"
"Image Generation","Generering Af Billede"
"Image Provider","Billed Udbyder"
"Input Tokens","Input Tokens"
"Interactive","Interaktiv"
"In Tokens","I Tokens"
"Log Requests","Log Forespørgsler"
"Max seconds a task can run before being marked as failed.","Maks. sekunder en opgave kan køre, før den markeres som mislykkedes."
"Max Tasks Per Cron Run","Maks. Opgaver Pr. Cron Kør"
"Messages","Beskeder"
"Mistral Embed Model","Mistral Indlejret Model"
"Model","Model"
"Must be installed locally via `ollama pull`.","Skal installeres lokalt via `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Ingen elementer var i kø. Sørg for at produkter/kategorier har tekstindhold."
"Ollama Embed Model","Ollama Indlejret Model"
"One regex per line. Matching inputs will be rejected.","En regex pr. linje. Matchende input vil blive afvist."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-kompatibelt endepunkt, f.eks. https://api.example.com/v1"
"OpenAI Embed Model","OpenAI Indlejr Model"
"OpenAI Image Model","OpenAI Billedmodel"
"Output Tokens","Output Tokens"
"Out Tokens","Ud Tokens"
"Pending","Afventer"
"Pending Embed Tasks","Ventende Indlejrede Opgaver"
"PII Detection","PI- Detektering"
"Placeholder URL Pattern","Pladsholder URL Mønster"
"Platform","Platform"
"Platform / Model","Platform / Model"
"Priority","Prioritet"
"Processing","Behandler"
"Products (%s enabled)","Produkter (%s aktiveret)"
"Prompt Injection Detection","Øjeblikkelig Injektionsdetektion"
"Queue","Kø"
"Queue an embedding task whenever a category is saved.","Kø en indlejringsopgave når en kategori gemmes."
"Queue an embedding task whenever a product is saved.","Kø en indlejringsopgave, når et produkt gemmes."
"Queue Cron Schedule","Kø Cron Skema"
"Queued","I Kø"
"Queue for Embedding","Kø til indlejring"
"Queue Status","Kø Status"
"Refresh Models","Opdater Modeller"
"Response","Respons"
"Retries","Forsøg"
"Return a placeholder image URL when image generation is disabled or fails.","Returner en pladsholderbillede URL når billedgenerering er deaktiveret eller mislykkes."
"Safety & Guardrails","Sikkerhed & Guardrails"
"Sanitize HTML Output","Sanitize HTML Output"
"Scan user inputs for prompt injection attempts before sending to AI.","Scan brugerindgange til prompte injektionsforsøg før du sender til AI."
"Status","Status"
"Store ID","Butik ID"
"Strip dangerous tags/attributes from AI responses used as HTML.","Fjern farlige tags/attributter fra AI-svar, der bruges som HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Opgave #%s"
"Task Details","Opgave Detaljer"
"Task History","Opgavehistorik"
"Task not found.","Opgave ikke fundet."
"Task Timeout (seconds)","Opgave Timeout (sekunder)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","Async køen er deaktiveret. Aktiver den under System &gt; AI &gt; Kø indstillinger eller opgaver vil aldrig blive behandlet."
"This queues %s products and %s categories (%s tasks total) for background processing.","Denne køer %s produkter og %s kategorier (%s opgaver i alt) til baggrundsbehandling."
"This will queue all selected items for embedding. Continue?","Dette vil kø alle markerede elementer til indlejring. Fortsæt?"
"Type","Type"
"Usage","Brug"
"Use Placeholder Fallback","Brug Pladsholder Fallback"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Brug {w} og {h} tokens til bredde/højde. f.eks. https://placehold.co/{w}x{h} eller https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vektorstørrelse. 0 = model default. OpenAI og Google support native trunkation; andre afkortes efter hentning."
