"Action","Handling"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Er du sikker på, at du vil gendanne denne version? Det aktuelle indhold vil blive gemt som en ny version først."
"Back","Tilbage"
"Blog module is not enabled.","Blog modul er ikke aktiveret."
"Blog Post","Blog Indlæg"
"CMS Block","Cms Blok"
"CMS Page","Cms Side"
"Content has been restored from version. The previous state was saved as a new version.","Indholdet er blevet gendannet fra version. Den tidligere tilstand blev gemt som en ny version."
"Content Version History","Indhold Versionshistorik"
"Content Versioning","Content Versioning"
"Date","Dato"
"Delete versions older than this many days. Set to 0 for unlimited.","Slet versioner ældre end de mange dage. Sæt til 0 for ubegrænset."
"Editor","Editor"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Maksimalt antal versioner der skal beholdes per enhed. Sæt til 0 for ubegrænset."
"Max Version Age (Days)","Maks. Versionsalder (dage)"
"Max Versions Per Entity","Maks. Versioner Pr. Enhed"
"No versions available. Versions are created when content is saved.","Ingen versioner tilgængelige. Versioner oprettes, når indholdet gemmes."
"No version specified.","Ingen version angivet."
"Preview","Eksempelvisning"
"Restore","Gendan"
"Snapshot Data","Snapshot Data"
"Source entity not found.","Kildeenhed ikke fundet."
"Version","Version"
"Version %s","Version %s"
"Version Details","Version Detaljer"
"Version not found.","Version ikke fundet."
"Versions","Versioner"
