"# of Uses","# af Anvendelser"
"%s tag(s) have been accepted for moderation.","%s tag(s) er blevet accepteret til moderation."
"<strong>Tag Name:</strong> %s","<strong>Tag Navn:</strong> %s"
"Action","Handling"
"Add","Tilføj"
"Add New Tag","Tilføj Nyt Tag"
"Add tag(s) to product","Tilføj tag(s) til produkt"
"Add Tags","Tilføj Tags"
"Add to Cart","Føj til kurv"
"Add to Wishlist","Tilføj til ønskeseddel"
"Add Your Tags:","Tilføj Dine Mærker:"
"All Tags","Alle Tags"
"Approved","Godkendt"
"Are you sure?","Er du sikker?"
"Are you sure you want to delete this tag?","Er du sikker på du vil slette dette tag?"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Back","Tilbage"
"Back to Tags List","Tilbage til liste over tags"
"Base Popularity","Basis Popularitet"
"Block Information","Bloker Information"
"Catalog Product View","Katalog Produktvisning"
"Change status","Skift status"
"Click on a tag to view your corresponding products.","Klik på et tag for at se dine tilsvarende produkter."
"Country","Land"
"CSV","CSV"
"Customer My Account My Tags List","Kunde Min Konto Min Tags Liste"
"Customer My Account Tag View","Kunde Min Konto Tag Visning"
"Customers","Kunder"
"Customer Since","Kunde Siden"
"Customers Submitted this Tag","Kunder Indsendt dette tag"
"Customers Tagged '%s'","Kunder Tagged '%s'"
"Delete","Slet"
"Delete Tag","Slet Tag"
"Disabled","Deaktiveret"
"Edit Tag '%s'","Rediger Tag '%s'"
"Email","E-mail"
"Enable Adding Tags in Frontend","Aktiver tilføjelse af tags i frontend"
"First Name","Fornavn"
"General Information","Generel Information"
"Grid","Gitter"
"ID","ID"
"Info","Info"
"Last Name","Efternavn"
"List","Liste"
"Manage Tags","Administrer Tags"
"Middle Name","Midterste Navn"
"My Recent Tags","Mine Seneste Tags"
"My Tags","Mine Tags"
"Name","Navn"
"New Tag","Nyt Tag"
"No matches found.","Ingen matches fundet."
"Pending","Afventer"
"Pending Tags","Afventende Tags"
"Popular","Populær"
"Popular Tags","Populære Tags"
"Price","Pris"
"Product Name","Produkt Navn"
"Products","Produkter"
"Product SKU","Produkt Varenummer"
"Products Tagged by Administrators","Produkter Tagget af Administratorer"
"Products Tagged by Customers","Produkter Tagget af kunder"
"Products Tagged with '%s'","Produkter Tagget med '%s'"
"Products tagged with '%s'","Produkter med etiketten '%s'"
"Product Tag API","Produkt Tag API"
"Product Tags","Produkt Tags"
"Rebuild Tag aggregation data","Genopbyg tagaggregeringsdata"
"Remove","Fjern"
"Remove product tag","Fjern produkt tag"
"Retrieve list of tags by product","Hent liste over tags efter produkt"
"Retrieve product tag info","Hent produkt tag info"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Tag","Gem Mærke"
"SKU","Varenummer"
"Status","Status"
"Store View","Butik Visning"
"Tag","Mærke"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" er allerede blevet tilføjet til produktet."
"Tag ""%s"" has been added to the product.","Tag ""%s"" er blevet tilføjet til produktet."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" er blevet afvist af administrator."
"Tag Aggregation Data","Mærke Sammenlægningsdata"
"Tagged Products List","Tagged Produkter Liste"
"Tag Name","Tag Navn"
"Tags","Mærker"
"Tags:","Mærker:"
"Tags List (All Available)","Tags Liste (Alle Tilgængelige)"
"Tags List Before","Tags Liste Før"
"Telephone","Telefon"
"There are no tags available.","Der er ingen tilgængelige tags."
"The tag has been deleted.","Tagget er blevet slettet."
"Unable to find any products tagged with '%s' in the current store","Kan ikke finde produkter tagget med '%s' i den aktuelle butik"
"Unable to remove tag. Please, try again later.","Kan ikke fjerne tag. Prøv venligst igen senere."
"Unable to save tag(s).","tag(-e) kan ikke gemmes."
"Update","Opdater"
"Update product tag","Opdater produkt tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Brug mellemrum til at adskille tags. Brug enkelte citater (') til sætninger."
"View All Tags","Vis Alle Tags"
"View Customers","Vis Kunder"
"View Products","Se Produkter"
"XML","XML"
"You have not tagged any products yet.","Du har ikke tagget nogen produkter endnu."
"ZIP/Post Code","Postnummer"
"[STORE VIEW]","[OPBEVARING VIEW]"
