"""Remember Me"" Default Value","""Husk Mig"" Standardværdi"
"* Required Fields","* Obligatoriske Felter"
"2FA Verification Code","2FA Bekræftelseskode"
"2FA verification code is invalid.","2FA bekræftelseskode er ugyldig."
"Accept Format-valid VAT When VIES Unavailable","Accepter Formatgyldig Moms Når VIES Ikke Tilgængelig"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Kontobekræftelse er påkrævet. Tjek venligst din e-mail for bekræftelseslink. For at sende bekræftelsesmailen igen, bedes du <a href=""%s"">klikke her</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Kontobekræftelse er påkrævet. Tjek venligst din e-mail for bekræftelseslinket. For at gensende bekræftelsesmailen bedes du <a href=""%s"">klikke her</a>."
"Account Dashboard","Konto Dashboard"
"Account Information","Konto Oplysninger"
"Account Options","Kontoindstillinger"
"Account Sharing Options","Indstillinger For Kontodeling"
"Action","Handling"
"Added From","Tilføjet Fra"
"Additional Address Entries","Yderligere Adresseindgange"
"Add New Address","Tilføj Ny Adresse"
"Add New Customer","Tilføj Ny Kunde"
"Add New Customer Group","Tilføj Ny Kundegruppe"
"Address","Adresse"
"Address Book","Adressebog"
"Addresses","Adresser"
"Address Information","Adresse Information"
"Address Templates","Adresse Skabeloner"
"Admin","Administrator"
"All","Alle"
"All countries","Alle lande"
"ALL GROUPS","ALLE GRUPPER"
"Allow customers to login via a secure link sent to their email instead of using a password.","Tillad kunder at logge ind via et sikkert link, der sendes til deres e-mail i stedet for at bruge en adgangskode."
"Allow Two-Factor Authentication","Tillad To-Faktor Autentificering"
"All Store Views","Alle Butiksvisninger"
"Always optional.","Altid valgfri."
"Amount","Beløb"
"An error occurred during validation. Please try again.","Der opstod en fejl under valideringen. Prøv venligst igen."
"An error occurred while deleting the address.","Der opstod en fejl under sletning af adressen."
"An error occurred while retrieving the option value: %s.","Der opstod en fejl under hentning af indstillingsværdien: %s."
"An error occurred while saving the collection, aborting. Error: %s","Der opstod en fejl under lagring af samlingen, afbrydelse. Fejl: %s"
"An error occurred while updating two-factor authentication.","Der opstod en fejl under opdatering af to-faktor godkendelse."
"An invalid option ID is specified for %s (%s), skipping the record.","Et ugyldigt indstillings-ID er angivet for %s (%s), og overspring posten."
"Approved","Godkendt"
"Are you sure?","Er du sikker?"
"Are you sure that you want to remove this item?","Er du sikker på, at du vil fjerne dette element?"
"Are you sure you want to cancel adding of this address?","Er du sikker på du vil annullere tilføjelsen af denne adresse?"
"Are you sure you want to delete this address?","Er du sikker på du vil slette denne adresse?"
"Assign a Customer Group","Tildel en kundegruppe"
"Average Sale","Gennemsnitlig Salg"
"Back","Tilbage"
"Bad request.","Dårlig anmodning."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Baseret på momsnummeret, vil kunden tilhøre kundegruppen %s."
"Bill to Name","Faktura til navn"
"Bought From","Købt Fra"
"By Email","Via E-Mail"
"By IP","Efter IP"
"By IP and Email","Efter IP og e-mail"
"Cache Lifetime (hours)","Cache Levetid (timer)"
"Cancel","Annuller"
"Cannot save address.","Kan ikke gemme adresse."
"Cannot save a new password.","Kan ikke gemme en ny adgangskode."
"Cannot save the customer.","Kan ikke gemme kunden."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Kan ikke dele kundekonti globalt, fordi nogle kundekonti med de samme e-mails findes på flere hjemmesider og ikke kan indflettes."
"Change Account Data","Skift Kontodata"
