"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s er blevet tilføjet til din ønskeliste. Klik på <a href=""%2$s"">her</a> for at fortsætte med at handle."
"%1$s has been updated in your wishlist.","%1$s er blevet opdateret på din ønskeliste."
"%d product(s) have been added to shopping cart: %s.","%d produkt(er) er blevet tilføjet til indkøbskurv: %s."
"%s's Wishlist","%s's ønskeseddel"
"%s for ""%s"".","%s for ""%s""."
"%s has been moved to wishlist %s","%s er blevet flyttet til ønskeliste %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s er blevet flyttet til ønskeliste %s. Bemærk, at uploadede filer skal uploades igen, når du tilføjer til kurven."
"%s was added to your shopping cart.","%s blev tilføjet til din indkøbskurv."
"* Required Fields","* Obligatoriske Felter"
"Add All to Cart","Tilføj alle til kurv"
"Added From","Tilføjet Fra"
"Add to Cart","Føj til kurv"
"Add to Compare","Tilføj til sammenligning"
"Add to Wishlist","Tilføj til ønskeseddel"
"An error occurred while adding item to wishlist.","Der opstod en fejl under tilføjelse af element til ønskelisten."
"An error occurred while adding item to wishlist: %s","Der opstod en fejl under tilføjelse af element til ønskelisten: %s"
"An error occurred while deleting the item from wishlist.","Der opstod en fejl under sletning af varen fra ønskelisten."
"An error occurred while deleting the item from wishlist: %s","Der opstod en fejl under sletning af varen fra ønskelisten: %s"
"An error occurred while updating wishlist.","Der opstod en fejl under opdatering af ønskelisten."
"Are you sure you want to remove this product from your wishlist?","Er du sikker på, at du vil fjerne denne vare fra din ønskeliste?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på, at du vil fjerne denne vare fra ønskelisten?"
"Back","Tilbage"
"Can't delete item from wishlist","Kan ikke slette vare fra ønskeliste"
"Can't save description %s","Kan ikke gemme beskrivelse %s"
"Can't update wishlist","Kan ikke opdatere ønskeliste"
"Cannot add item to shopping cart","Kan ikke tilføje vare til indkøbskurv"
"Cannot add the item to shopping cart.","Kan ikke tilføje varen til indkøbskurven."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Kan ikke tilføje det valgte produkt til indkøbskurven, da produktet blev fjernet fra ønskelisten"
"Cannot configure product","Kan ikke konfigurere produkt"
"Cannot load wishlist item","Kan ikke indlæse ønskeliste element"
"Cannot move item to wishlist","Kan ikke flytte element til ønskeliste"
"Cannot specify product.","Kan ikke angive produktet."
"Cannot specify wishlist.","Kan ikke angive ønskeliste."
"Cannot specify wishlist item.","Kan ikke angive ønskeliste element."
