"-- Please Select --","-- Vælg Venligst --"
"Add to Cart","Føj til kurv"
"Are you sure to delete this fallback color?","Er du sikker på du vil slette denne fallback farve?"
"Choose an Option...","Vælg en indstilling..."
"Configurable Swatches","Konfigurerbare Sure"
"Dynamic Price Change for Swatches in Product Listing","Dynamisk prisændring for visninger i produktlister"
"Enabled","Aktiveret"
"General Settings","Generelle Indstillinger"
"Height","Højde"
"Innermost dimensions, not including border, in pixels","Indre dimensioner, ikke inklusive grænse, i pixels"
"In Stock","På Lager"
"Out of Stock","Ikke på lager"
"Previous","Forrige"
"Product Attributes to Show as Swatches in Product Detail","Produktattributter, der skal vises som visninger i produktdetaljer"
"Product Attribute to Use for Swatches in Product Listing","Produktattribut der skal bruges til observationer i Produktoversigt"
"Remove This Item","Fjern Dette Element"
"Swatch","Swatch"
"Swatch Dimensions in Layered Navigation","Swatch dimensioner i lagdelt navigation"
"Swatch Dimensions in Product Listing","Swatch dimensioner i produktliste"
"Swatch Dimensions on Product Detail Page","Swatch Dimensioner på produkt detalje side"
"Width","Width"
