"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Indkøbskurv Prisregler baseret på ""%s"" attribut er blevet deaktiveret."
"%s Coupon(s) have been generated","%s Kupon(er) er blevet genereret"
"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Tilføj Ny Regel"
"Alphabetical","Alfabetisk"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Der opstod en fejl under generering af kuponer. Gennemgå loggen, og prøv igen."
"Apply","Anvend"
"Apply the rule only if the following conditions are met (leave blank for all products)","Anvend kun reglen, hvis følgende betingelser er opfyldt (efterlad blank for alle produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Anvend kun reglen på varer i indkøbskurven, der matcher følgende betingelser (efterlad blank for alle varer)"
"Apply To","Anvend Til"
"Apply to Shipping Amount","Anvend på forsendelsesbeløb"
"Are you sure you want to delete the selected coupon(s)?","Er du sikker på du vil slette de(t) valgte kupon(er)?"
"Attribute ""%s"" %s %s %s","Attribut ""%s"" %s %s %s"
"Auto","Automatisk"
"Auto Generated Specific Coupon Codes","Auto Genererede Specifikke Kupon Koder"
"Buy X get Y free (discount amount is Y)","Køb X få Y gratis (rabat beløb er Y)"
"By Fixed value","Efter fast værdi"
"By Percentage","Efter Procentdel"
"Can't acquire coupon.","Kan ikke erhverve kupon."
"Cart Attribute","Egenskab For Indkøbskurv"
"Catalog","Katalog"
"Code Format","Kode Format"
"Code Length","Kode Længde"
"Code Prefix","Kode Præfiks"
"Code Suffix","Code Suffix"
"Conditions","Betingelser"
"Conditions combination","Kombination af betingelser"
"Coupon","Rabatkupon"
"Coupon Code","Kupon Kode"
"Coupon Qty","Kupon Antal"
"Coupons Information","Kuponer Information"
"Coupon with the same code","Rabatkupon med samme kode"
"Created On","Oprettet Den"
"Customer Groups","Kundegrupper"
"Dash Every X Characters","Dash Hver X Tegn"
"Date Expire","Dato For Udløb"
"Date Start","Dato Start"
"Default Label","Standard Etiket"
"Default Rule Label for All Store Views","Standard regeletiket for alle butiksvisninger"
"Description","Varebeskrivelse"
"Discount Amount","Rabat Beløb"
"Discount Qty Step (Buy X)","Rabat Antal Trin (Køb X)"
"Edit Rule","Rediger Regel"
"Edit Rule '%s'","Rediger Regel '%s'"
"Excluding prefix, suffix and separators.","Undtagen præfiks, suffiks og separatorer."
"Fixed amount discount","Fast rabat på beløb"
"Fixed amount discount for whole cart","Fast rabat på beløb for hele indkøbskurven"
"For matching items only","Kun for matchende varer"
"For shipment with matching items","For levering med matchende varer"
"FOUND","FUNDET"
"Free Shipping","Gratis Forsendelse"
"From Date","Fra Dato"
"General Information","Generel Information"
"Generate","Generer"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Hvis %s %s %s for et underudvalg af varer i indkøbskurven, der matcher %s af disse betingelser:"
"If an item is %s in the cart with %s of these conditions true:","Hvis en vare er %s i kurven med %s af disse betingelser sand:"
"If empty no separation.","Hvis tom ingen separation."
