"%s Screenshot","%s Skærmbillede"
"%s violation(s)","%s overtrædelse(r)"
"Accessibility Scan","Skanning Af Tilgængelighed"
"Accessibility Scan Report","Tilgængelighed Skannings Rapport"
"Accessibility Violations","Tilgængelighed Overtrædelser"
"Advanced","Avanceret"
"Are you sure you want to delete this scan?","Er du sikker på du vil slette denne scanning?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core kunne ikke automatisk evaluere %s check(s) (for eksempel farve kontrast over et billede). Gennemgå dem manuelt."
"Back","Tilbage"
"CLI","CLI"
"Command failed (exit code %s): %s","Kommando mislykkedes (exit kode %s): %s"
"Command timed out after %s seconds: %s","Kommando udløb efter %s sekunder: %s"
"Complete","Complete"
"Completed","Afsluttet"
"Conformance level used when starting a scan without an explicit level.","Overensstemmelsesniveau, der anvendes, når en scanning startes uden et eksplicit niveau."
"Critical","Kritisk"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron udtryk. Standard: <strong>0 3 * * *</strong> (dagligt ved 3am)."
"Cron Schedule","Cron Skema"
"Date","Dato"
"Default WCAG Level","Standard WCAG Niveau"
"Delete","Slet"
"Delete Scans After","Slet Scanninger Efter"
"Desktop","Skrivebord"
"Desktop Viewport","Desktop- Visning"
"Enabled","Aktiveret"
"Export PDF","Eksporter PDF"
"Failed","Mislykkedes"
"Fix all of the following","Ret alle følgende"
"Fix any of the following","Ret en eller flere af følgende"
"General Settings","Generelle Indstillinger"
"How to fix","Sådan repareres"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Ugyldig scan URL ""%s"": hver URL skal tilhøre en af de konfigurerede butik base URL'er"
"Learn more","Lær mere"
"Manual","Manuelt"
"Maximum time in seconds to wait for a single page scan.","Maksimal tid i sekunder til at vente på en enkelt side scanning."
"Minor","Mindre"
"Mobile","Mobil"
"Mobile Viewport","Mobil Visning"
"Moderate","Moderat"
"Needs Review","Behøver Gennemgang"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Ingen automatisk detekterbare overtrædelser blev fundet. Automatiseret kontrol dækker kun en del af WCAG, så manuel test med et tastatur og en skærmlæser anbefales stadig."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s er installeret, men scanneren kræver version %s eller nyere."
"Node.js Binary Path","Node.js Binær Sti"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js blev ikke fundet (på udkig efter ""%s""). Installer Node. s %s eller nyere, eller indstil dens fulde sti i System > Konfiguration > Tilgængelighedsskanning."
"npm Binary Path","npm Binær Sti"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm blev ikke fundet (på udkig efter ""%s""). Installer det sammen med Node. s, eller indstil dens fulde sti i System > Konfiguration > Tilgængelighedsskanning."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Én URL pr. linje. Hver URL skal tilhøre en af de konfigurerede butiksbase-URL'er."
"Page Title","Side Titel"
"Path to the node executable. Default: node","Sti til den kørbare node. Standard: node"
"Path to the npm executable. Default: npm","Sti til eksekverbar npm Standard: npm"
"Pending","Afventer"
"Periodically scan the URLs below via cron, using the default WCAG level.","Skan periodisk webadresserne nedenfor via cron, ved hjælp af standard WCAG niveau."
"Please provide a valid URL to scan","Angiv venligst en gyldig URL til scanning"
"Run a New Scan","Kør en ny scanning"
"Running","Kører"
"Scan #%s","Scan #%s"
"Scan failed","Scanning mislykkedes"
"Scan failed: %s","Scanning mislykkedes: %s"
"Scan History","Skan Historik"
"Scan ID","Skan ID"
"Scanning... this can take a couple of minutes.","Scanning... dette kan tage et par minutter."
"Scan not found","Scan ikke fundet"
