"Action","Handling"
"Active","Aktiv"
"Add New Rule","Tilføj Ny Regel"
"Apply rule to source products matching the following conditions (leave blank for all products)","Anvend regel for kildevarer, der matcher følgende betingelser (efterlad blank for alle varer)"
"Are you sure?","Er du sikker?"
"Catalog","Katalog"
"Change status","Skift status"
"Conditions","Betingelser"
"Conditions Combination","Betingelser Kombination"
"Cron expression for rule processing. Default: <strong>0 3 * * *</strong> (daily at 3am).","Cron udtryk for regelbehandling. Standard: <strong>0 3 * * *</strong> (daglig ved 3am)."
"Cron Schedule","Cron Skema"
"Cross-sell Products","Krydssalg Produkter"
"Delete","Slet"
"Delete Rule","Slet Regel"
"Description","Varebeskrivelse"
"Disabled","Deaktiveret"
"does not match source","matcher ikke kilde"
"Edit","Rediger"
"Edit Rule '%s'","Rediger Regel '%s'"
"Enabled","Aktiveret"
"From Date","Fra Dato"
"How rule-generated links combine with existing product links.<br/><strong>Replace</strong>: delete existing links, then insert rule results (default).<br/><strong>Merge</strong>: keep existing links and append rule results, with no duplicates.","Hvordan regelgenererede links kombineres med eksisterende produktlinks.<br/><strong>Erstat</strong>: Slet eksisterende links, og indsæt derefter regleresultater (standard).<br/><strong>Flet</strong>: Behold eksisterende links og tilføj regelsæt resultater, uden dubletter."
"ID","ID"
"Inactive","Inaktiv"
"Link to target products matching the following conditions (leave blank for all products)","Link til målprodukter, der matcher følgende betingelser (lad feltet stå tomt for alle produkter)"
"Link Type","Link Type"
"Lower number = higher priority","Nedre tal = højere prioritet"
"matches source","matcher kilde"
"Maximum Links","Maksimum Links"
"Maximum number of linked products per source product (leave empty for unlimited)","Maksimalt antal sammenkædede produkter pr. kildeprodukt (lad være tomt for ubegrænset)"
"Merge (keep existing links, append rule results)","Flet (behold eksisterende links, tilføj regleresultater)"
"Merge Behaviour","Flet Adfærd"
"Name: A-Z","Navn: A-Z"
"Name: Z-A","Navn: Z-A"
"Newest First","Nyeste Først"
"New Rule","Ny Regel"
"Oldest First","Ældste Først"
"Please select rule(s).","Vælg venligst regel(er)."
"Price: High to Low","Pris: Høj til lav"
"Price: Low to High","Pris: Lav til høj"
"Priority","Prioritet"
"Product Attribute","Produkt Attribut"
"Product Link Rules","Regler For Produktlink"
"Product Relationship Rules","Regler For Produktforhold"
"Random (Default)","Tilfældig (Standard)"
"Related Products","Relaterede Produkter"
"Replace (delete existing links, insert rule results)","Erstat (slet eksisterende links, indsæt regleresultater)"
"Rule Information","Regel Information"
"Rule Name","Regel Navn"
"Save and Continue Edit","Gem og fortsæt redigering"
"Save Rule","Gem Regel"
"Sort Order","Sortér Ordre"
"Source Product Conditions","Kilde Produkt Betingelser"
"Source products matching %s of these conditions are %s:","Kildeprodukter, der matcher %s af disse betingelser er %s:"
"Status","Status"
"Target Conditions","Mål Betingelser"
"Target product attribute will be compared to source product","Målproduktattribut vil blive sammenlignet med kildeproduktet"
"Target Product Conditions","Betingelser For Målpræparatet"
"Target products matching %s of these conditions are %s:","Målprodukter, der matcher %s af disse betingelser er %s:"
"The rule has been deleted.","Reglen er blevet slettet."
"The rule has been saved.","Reglen er blevet gemt."
"This rule no longer exists.","Denne regel eksisterer ikke længere."
"To Date","Til Dato"
"Total of %d record(s) were deleted.","Total af %d post(er) blev slettet."
"Total of %d record(s) were updated.","Total af %d post(er) blev opdateret."
"Up-sell Products","Up-sell Produkter"
