"%1$s incl tax.","%1$s inkl. moms."
"* Required Fields","* Obligatoriske Felter"
"-- Select --","-- Vælg --"
"Add New Option","Tilføj Ny Valgmulighed"
"Add Selection","Tilføj Markering"
"and","og"
"Bundle","Bundt"
"Bundle Items","Samlede Elementer"
"Bundle Product","Bundt Produkt"
"Buy %1$s","Køb %1$s"
"Buy %1$s for","Køb %1$s for"
"Buy %1$s for %2$s","Køb %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Køb %1$s for %2$s (%3$s inkl. moms) hver"
"Buy %1$s for %2$s each","Køb %1$s for %2$s hver"
"Buy %1$s with %2$s discount each","Køb %1$s med %2$s rabat hver"
"Catalog Product View (Bundle)","Katalog Produktvisning (Bundle)"
"Checkbox","Afkrydsningsfelt"
"Choose a selection...","Vælg et valg..."
"Click for price","Klik for pris"
"Close","Luk"
"Default","Standard"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Drop-down"
"Dynamic","Dynamisk"
"each","hver"
"Excl. Tax","Ekskl. Moms"
"Excl. Tax:","Ekskl. Moms:"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gave Besked"
"Incl. Tax","Inkl. Moms"
"Incl. Tax:","Inkl. Moms:"
"Input Type","Input Type"
"Is Required","Er Påkrævet"
"Message:","Besked:"
"Multiple Select","Vælg Flere"
"N/A","N/A"
"None","Ingen"
"No options of this product are available.","Ingen muligheder for dette produkt er tilgængelige."
"Percent","Procent"
"Percent Discount","Procent Rabat"
"Please enter a number greater 0 in this field.","Angiv et tal større 0 i dette felt."
"Please enter search conditions to view products.","Indtast venligst søgebetingelser for at se produkter."
"Please select options for product.","Vælg venligst indstillinger for produkt."
"Please Select Products to Add","Vælg venligst produkter at tilføje"
"Please specify product option(s).","Angiv venligst produkt(er)."
"Position","Placering"
"Price as configured","Pris som konfigureret"
"Price Range","Pris Interval"
"Price Type","Pris Type"
"Qty:","Antal:"
"Radio Buttons","Radioknapper"
"Required options are not selected.","Obligatoriske indstillinger er ikke valgt."
"save","gem"
"Selected required options are not available.","Valgte krævede indstillinger er ikke tilgængelige."
"Separately","Separat"
"Ship Bundle Items","Send Samlede Elementer"
"Shipment","Forsendelse"
"SKU","Varenummer"
"Store View Title","Butiks Visnings Titel"
"There is no defined renderer for ""%s"" option type.","Der er ingen defineret renderer for ""%s"" option type."
"This product is also part of bundle(s)","Dette produkt er også en del af bundle(r)"
"To","Til"
"To:","Til:"
"Together","Sammen"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Use Default Value","Brug Standardværdi"
"User Defined Qty","Bruger Defineret Antal"
