"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Er du sikker på, at du vil deaktivere de valgte cron job(er)?"
"At %s","Ved %s"
"Callback","Callback"
"Clear History","Ryd Historik"
"Close","Luk"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Planlagte opgaver) - alle tidspunkter er i minutter"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron ser ikke ud til at køre. Ingen job er blevet udført i den sidste time. Kontroller, at cron er konfigureret på din server."
"Cron history has been cleared. %d record(s) deleted.","Cron historie er blevet ryddet. %d post(er) slettet."
"Cron job ""%s"" has been disabled.","Cron job ""%s"" er blevet deaktiveret."
"Cron job ""%s"" has been enabled.","Cron job ""%s"" er blevet aktiveret."
"Cron Jobs","Cron Job"
"Daily","Dagligt"
"Daily at %s","Dagligt hos %s"
"day %s","dag %s"
"Disable","Deaktivér"
"Disabled","Deaktiveret"
"Enable","Aktiver"
"Enabled","Aktiveret"
"Every %d hours at minute %d","Hver %d time i minut %d"
"Every %d minutes","Hver %d minut"
"Every cron run","Hver cron løb"
"Every hour","Hver time"
"Every minute","Hvert minut"
"Execution History","Udførelse Historik"
"Failure History Lifetime","Mislykket Historik Levetid"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For korrekte URL'er genereret under cron kørsler skal du sørge for, at Web > Sikker og Usikre Base URL'er er eksplicit angivet."
"Generate Schedules Every","Generer Tidsplaner Hver"
"History","Historik"
"History Cleanup Every","Historik Oprydning Hver"
"hour %s","time %s"
"Hourly","Time"
"Invalid callback: %s::%s does not exist","Ugyldig tilbagekaldelse: %s::%s findes ikke"
"Invalid model/method definition, expecting ""model/class::method"".","Ugyldig model/metodedefinition, forventet ""model/class::method""."
"Job Code","Job Kode"
"Last Run","Sidste Kørsel"
"Last Status","Seneste Status"
"minute %s","minut %s"
"Missed","Ubesvaret"
"Missed if Not Run Within","Glemt hvis ikke Kør Indenfor"
"month %s","måned %s"
"Monthly","Månedligt"
"Monthly on day %d at %s","Månedligt på dag %d på %s"
"Next Run","Næste Kørsel"
"No callbacks found","Ingen tilbagekald fundet"
"No execution history found.","Ingen eksekverings historik fundet."
"No job code specified.","Ingen jobkode angivet."
"No schedule ID specified.","Ingen tidsplan ID angivet."
"Not scheduled","Ikke skemalagt"
"Pending","Afventer"
"Please select cron job(s).","Vælg cron job(s)."
"Run Cron Job","Kør Cron Job"
"Running","Kører"
"Running...","Kører..."
"Run Now","Kør Nu"
"Schedule","Tidsplan"
"Schedule Ahead for","Planlæg forude for"
"Schedule not found.","Tidsplan ikke fundet."
"Success","Succes"
"Success History Lifetime","Succes Historie Levetid"
"Too late for the schedule.","For sent for tidsplanen."
"Total of %d cron job(s) were disabled.","Total af %d cron job(er) blev deaktiveret."
"Total of %d cron job(s) were enabled.","Total af %d cron job(er) blev aktiveret."
"Unable to save the cron expression.","Kan ikke gemme cron udtrykket."
"Unknown cron job: %s","Ukendt cron job: %s"
"weekday %s","ugedag %s"
"Weekly","Ugentlig"
"Weekly on %s at %s","Ugentligt på %s hos %s"
