"Additional Product Attributes","Yderligere Produktattributter"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Godkendelsestype"
"Auth Token","Auth Token"
"Bearer Token","Bearer Token"
"Custom Header","Brugerdefineret Header"
"Custom Header Name","Brugerdefineret Header Navn"
"Debug Mode","Fejlfindingstilstand"
"Displayed Error Message","Viste Fejlmeddelelse"
"Enabled","Aktiveret"
"None","Ingen"
"Request Timeout (seconds)","Anmodning Timeout (sekunder)"
"Select product attributes to include in the API request payload.","Vælg produkt attributter til at inkludere i API-anmodning nyttelast."
"Shipping Bridge","Forsendelse Bro"
"Ship to Applicable Countries","Send til gældende lande"
"Ship to Specific Countries","Send til bestemte lande"
"Sort Order","Sortér Ordre"
"Title","Titel"
